Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
A320/B769,Business Class,4.0,July 2018,4.0,5.0,4.0,yes,St Petersburg to Bangkok via Almaty,4.0," |  St Petersburg to Bangkok via Almaty. There has been significant improvements to this airline in the fourteen years since I first flew. It was a day service between St Petersburg and Almaty on a clean A320. Seats were comfortable, spacious and with a reasonable recline. Food was good and well presented. In flight entertainment was on tablets and there was a reasonable selection. Cabin service was a little hit and miss - I asked for wine with my meal and by the time I realised that it had been forgotten I had finished and did not ask for it. The cabin crew spoke reasonable/good English but only spoke to me in Russian because initially I had spoken to them in Russian. The check in in St Petersburg was fast, efficient and in English. They had a bus for business class passengers to go to the plane. The flight departed and arrived on time and my luggage was among the first offloaded in Almaty. The Almaty - Bangkok sector was a night flight on a new Dreamliner 769 with a dinner type meal at about 2.30 am. Check in in Almaty was slow because the operator was dealing with problems for a couple of economy class passengers. (It would have been faster to use the economy check in counter)! Food was good and the seat/bed was comfortable and there was quite a selection of in flight entertainment. I was identified as a foreigner and so spoken to in good English. The plane left and arrived on time and again my luggage was amongst the first off the plane.",Solo Leisure,5.0,nan
nan,Economy Class,5.0,April 2018,5.0,5.0,5.0,yes,Astana to Dubai,5.0," |  Astana to Dubai. It was very nice family trip from start to finish. Everything about the flight was perfect, quick check-in, boarding, quality of special meal, reservation of seats and comfort, kids amenities, entertainment system, cleanness of cabin. I would only recommend to provide wifi access but cabin crew informed me that internet is available on some flights. Since I flew with my daughter of 4 years old I had things to do and hadn’t had a chance to enjoy internet anyway. Crew is very positive and i have been individually welcomed as a Silver member. Overall it was very memorable flight and I would recommend Air Astana!",Family Leisure,5.0,nan
A320,Business Class,5.0,June 2018,5.0,5.0,4.0,yes,Kiev to Almaty,3.0," |  Kiev to Almaty. During my stay in Kiev transit, I was upgraded to business class, which made my day. On-board  service was professional, good english-speaking, good service. Food quality and presentation incl. menu fulfilled expectation without any complaints. Choice of beverages was interesting. Entertainment via wifi is working well, the provided screens on high quality. Air Astana are highly recommended from me.",Business,4.0,5.0
A320,Economy Class,3.0,June 2018,3.0,2.0,2.0,no,Dushanbe to Astana via Almaty,3.0," | Air Astana has practically a monopoly in the Central Asian region where I live and work and they don’t hesitate to remind the customer of that. I have travelled approximately 75-100 legs on this airline for business and have purchased several tickets to and from Moscow for both myself and my fiance. You’d think this sort of ‘loyalty’ (is it really loyalty when you consider the lack of available options?) would earn me a little more respect than what I received today, but judging from my experience with the gate agents contracted by the airline at various airports, all I seem to get is ignorance and hostility. Customer service is arguably not very highly esteemed in Central Asia in my experience so I’m long past expecting “service with a smile.” I was caught unawares today by a excess baggage fee when flying out of Dushabe. Apparently Air Astana has recently started offering bare bones fares whose limitations are in no way reflected in the pricing. These fares offer a downright insulting 1 kg baggage limit (10kg for Nomad Club Silver members) when the standard tickets allow for 20kg (30kg) respectively. I unknowingly booked this fare through a third-party website where there was no indication that this wasn’t a standard fare ticket. As I said, the ticket price wasn’t particularly cheap. I expect this sort of thing from FlyDubai or Wizz Air but from a national flagship airline? Seriously? Of course what incentive do you have to treat repeat customers well when you practically have a government-backed monopoly? And about the Nomad Club, it’s quite possibly the stingiest airline rewards program there is. Almaty Airport, the airline’s hub, is a glorified bus station which is insanely overcrowded, overpriced, and boring. On a positive note, the air crew staff are polite, if not exceedingly. Not the worst but not the best.",Business,2.0,nan
A320,Economy Class,5.0,June 2018,5.0,3.0,5.0,yes,Atyrau to Istanbul ,5.0, | I have had to recently use some other airlines and this has reinforced my appreciation of Air Astana’s cabin services. Air Astana has set and manages to maintain exceptional high standards of service. Al the cabin crew appear to have fundamental English skills. The new uniform is fresh and professional. The safety video has been improved and is actually pleasant to watch even after many flights in a short time frame. The new aircraft have screens on the backs of the seats and passengers can select their entertainment. The new earphones are great and I always keep the set. The passenger pack is in a useful bag and the products inside are good but I miss the mini-biro pen. The food and beverages are of good quality with a proper cutlery. I have found the cabin crew to be attentive and responsive to my needs. Depending on the airport I have boarded check-in staff may not have the same consistency but my recent check in at Atyrau was good (this is not usually a friendly airport though there are some exceptional individuals working there). I would say without fear of reproach that Air Astana is my preferred airline of choice.,Solo Leisure,3.0,nan
nan,Economy Class,5.0,May 2018,3.0,5.0,2.0,yes,Delhi to Astana,4.0," | Flew Delhi to Astana with Air Astana. Fantastic service from cabin crew, and airport personnel. Improved meals. Still need to get personal TV screens on all seats, on all flights. The ""watching shows/films on my own personal device"" is a cheap way out, I definitely do not like this option. In the year 2018, all planes should have screens on all seats especially on long flights! Always feel safe on Air Astana flights! Air Astana is a top-notch airline!",Business,4.0,nan
Airbus 320,Business Class,5.0,March 2018,5.0,5.0,5.0,yes,Almaty to İstanbul,5.0, |  Almaty to İstanbul in March 2018. There was no delay on flight. I remember smiling crew faces for that trip. There was delicious food and good entertainment for 6 hours flight. Note: wishing to see bigger planes for such a long vayage. ,Business,5.0,nan
nan,Economy Class,5.0,May 2018,5.0,5.0,nan,yes,Antalya to Almaty,5.0, |  Antalya to Almaty. I write to commend staff on an exceptional level of service when I traveled with Air Astana on the 23 May. The service I had was a superb experience throughout the flight. I trust that you will pass on this recognition to the specific staff members from this flight.,Business,5.0,nan
A320,Business Class,5.0,May 2018,5.0,4.0,5.0,yes,Istanbul to Atyrau,5.0," |  Istanbul to Atyrau. I'm traveling for more than 15 years with this company (I am also a ""Nomad Club"" member as Gold). I can  recommend Air Astana since their prices even better than competitors in the region. The airline is improving. The last flight  was a safe, comfortable and pleasant flight. The staff is very nice and friendly the food is good. Topping all that were the good selection of movies on board.",Business,5.0,nan
A321,Business Class,5.0,April 2018,5.0,5.0,5.0,yes,Tashkent to Almaty,4.0," |  Tashkent to Almaty. Excellent food, high tech inflight entertainment via their application and on time. Although flight was only for one hour thirty minute crew was attentive. The only thing I would feel to improve to make announcements shorter since all are in three languages.",Business,5.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Moscow-Astana-Almaty return. First sectors a 3.5h night flight and wasn't really crowded. I had a row for myself so laid down and had a sleep. Unfortunately after 1h they switched on the lights and served some food. I tried to continue my sleep. As we were delayed and as I didn't have an absolute proper Visa it took me a while for immigration. Searching my bag was easy even I was late and the belts already stopped. Air Astana had some helpful staff there and got my Bag from the luggage room in a minute. Finally I didn't catch my connecting flight. But the rebooking to the next Astana-Almaty flight worked without problems on this Airport. On this flight they served breakfast that was OK. ALA Airport is hell. Staff (even Air Astana check- in) is nearly not speaking English and to get to the domestic check-in you have to have a print out of your ticket as they don't know what an e-ticket is. Staff in-flight was always kind and helpful and had a good English.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,I flew to Bangkok from Almaty December 2009. We had trouble at the beginning. Although we checked in on the website they couldn't provide the same seats so we had to sit separately from my wife. They also sold 1 ticket for 2 people but they just couldn't do anything with the situation. The only way would've been to seat one of these guys to the business class. We waited 2 hours on the plane (of course some people missed their connection in Bangkok in the result of this unprofessionalism) until they saw no other solution but that. Very unprofessional attitude. Later on cabin crew were helpful and friendly food was OK good classical music channel to listen airplane relatively new clean very small legroom though for a tall guy.,nan,4.0,nan
