Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Business Class,1.0,July 2018,nan,1.0,nan,no,Toronto to San Francisco,1.0," |  Toronto to San Francisco. Air Canada has a problem in their system where they can't get the spelling of my name right. Every time I make a booking the system deletes the last letter of my name ""Maryam"" becomes ""Marya"". Because of this, I can never check-in online at their system and with any booking I have to see an in person agent every time. As a frequent flyer for business, I am a NEXUS holder, never check baggage and always check-in online to avoid long waiting lines. However because of this problem I will forever have to get to airport early, and stand in line to have an agent correct my name on my boarding pass otherwise security will not let me through with the error on my boarding pass. Last week I flew to SFO from YYZ and Air Canada refused to let me bypass an-hour long line to have the change made and get on to my flight. They told me security would not have a problem letting me through but of course what happened? Security would not let me through and made me go back and stand in line for the Air Canada agent to change my name on the boarding pass. This is insane for an airline like Air Canada to not solve a problem that affects every person whose first name ends in the letter ""M"". They told me the system thinks that ""M"" stands for Mr. or Ms. so it gets mixed up. When I reached out to the Customer Relations team, after providing me with a 25% one time discount, told me they would not help me further, update me on whether this issue would ever be solved, or speak to me regarding this issue again. ",Business,1.0,nan
nan,Economy Class,5.0,July 2018,nan,1.0,nan,no,Boston to Toronto,2.0," |  My flight was canceled due to a technical failure. It was the last flight out of Boston so there was no alternative for the day. We ended up in a long queue and were at the counter shortly before midnight, only to be told that the next available flight is 2 days from now. We politely declined and asked them to organise a hotel. They said there's nobody to do it and we should do it ourselves and expense the money back. Now finding a hotel in the middle of the night in Boston can be a real adventure. We managed to do it and were as conscious of cost as possible. In the end Air Canada only wanted to reimburse us a 100$ total for the hotel stay. We paid way more. Although they didn't care about what happened to us they didn't even want to cover basic costs. It's now over 4 weeks and we haven't seen a penny. The ticket cost were supposed to get charged back to my card end of June. Nothing has arrived yet. The same happened with a Delta flight and I got my money back within a week. In summary a total disappointment.",Couple Leisure,1.0,nan
Boeing 787,Economy Class,4.0,July 2018,3.0,1.0,5.0,yes,Montreal to Tokyo,4.0," |  Good pilots, clean planes, On time with 1 slight delay, Efficient and professional plane staff. Montreal Airport staff was horrible. I was unable to use the self check in kiosk to to technical issues (missing info on my schedule). It took 1 hour to handle a small queue of 5 which kept growing. The staff of 5-6 counters worked extremely slow compared to counter staff such as Japan (my final destination) or swissport staff. On the other hand, airport security were extremely efficient and fast?? Air Canada Management need to experience the check in experience themselves.",Family Leisure,4.0,nan
Boeing 777-300ER,Economy Class,5.0,July 2018,4.0,5.0,5.0,yes,Hong Kong to Vancouver ,3.0," |  Hong Kong to Vancouver . First ever trip of me I am on the study tour in UBC, so I am heading to Vancouver on my first ever flight. The Air Canada flight round-trip is very good, regard that the seat is lack of room somehow, the service, the cabin is in good condition. Both flights (B777-300ER) are seems paired up with the Beijing flight (AC30/29) at the time. Kind of punctual arrival and departure, flight experience is incredible in general anyway.",Solo Leisure,4.0,3.0
Boeing 787,Economy Class,4.0,July 2018,3.0,1.0,3.0,no,Milan to Los Angeles via Toronto,2.0," |  Check-in and boarding ground crew seemed harried and disorganized; both took more time and were less pleasant other airlines. Boeing 787 cabin is cramped, but that's typical across most carriers. App is hard to navigate, requiring me to reenter my name every time I open the app. Baggage was delayed 24 hours, and then delivered after midnight. The one bright spot is that cabin crew were polite and competent on all flights. AC used to be a better experience than the US carriers a few years ago. ",Business,1.0,nan
nan,Premium Economy,nan,July 2018,nan,1.0,nan,no,Quebec to Austin via Toronto,nan," |  Quebec to Austin via Toronto. I was to fly out of Quebec this morning with a connection in Toronto to Austin, TX. The flight was about 30 minutes delayed before the gate agent mentioned anything. I was actually receiving email alerts from Air Canada before hearing anything from the gate agent about the delays. My flight from Quebec was delayed 7 hours which left me no way of making my connection in Toronto. I went to the gate agent in order to re-book my connection. She very quickly told me I would have to worry about it when I got to Toronto and there was nothing they could do for me. I waited around 2 more hours and went back to the same gate agent. I again asked about re-booking my connection. She then gave me a pamphlet and told me to call their 800 number. Called the 800 number and waited on hold for 30 minutes. When someone finally answered it hung up the call on me. I called back and waited 45 minutes on hold. The guy that answered told me there were no other flights for the day that would get me back to Austin and he asked me if I could travel tomorrow (as if I had a choice in the matter). I had paid for premium seats on my initial flights (sounds as though I am out that money). He put me on hold as he booked me for the following day flights (I was on hold at least 20 minutes). During this time I booked a nearby hotel for the night because the pamphlet I was given said the airline would not be responsible for costs related to travel interruptions because it was beyond their control. I went back to the gate agent. Told her after 1.5 hours on the phone that I had been re-booked for tomorrow and asked her about getting my luggage back. The only good thing she did all day was call down and had my luggage pulled off the plane. Gave me a $10 meal voucher to the only place to eat in the airport which of course had a line wait of no less than 45 minutes due to all of the other stranded passengers. She then said she could get me to Toronto today (but still would have to spend the night in Toronto). If she could do that why couldn’t she have re-booked me to begin with instead of having me wait on the phone for 1.5 hours? Supervisor standing behind her seemed as though she could care less as well. So here I sit in a hotel room at my expense in Quebec. I will have to fight the battle with them tomorrow that I have already paid $60 to check my luggage from yesterday. I am sure they are going to want me to pay that again. I will also have to pay for another day of parking at Austin. The worst customer service of any airline I have traveled on.",Business,1.0,nan
nan,Economy Class,2.0,July 2018,nan,1.0,nan,no,Amsterdam to Bogota via Toronto,2.0," |  Amsterdam to Bogota via Toronto. My luggage did not survive a transfer, it got to my destination two days later but I was only informed of this fact three days later, and then I had to go get it myself whilst they told me they would send it to my hotel. Amsterdam to Bogota via Toronto and the flights were delayed. The staff did not bother to keep us informed about transfers and luggage. No apologies whatsoever. ",Solo Leisure,1.0,nan
nan,Economy Class,nan,July 2018,nan,nan,nan,no,Edmonton to Shanghai via Vancouver,nan," |  Air Canada offers free pre-seat selection for their Asia flights, namely China flights. However, after I booked my round-trip flights Edmonton to Shanghai via Vancouver, they changed my seat selection without notice. After I booked flights, selected seats and made payment, they sent me a confirmation email. In this email they changed all my seats to last row, but they didn't give me any heads-up and so I didn't find out. Today when I was re-organizing my email folder, I happened to see it.  Air Canada has thrown us to the last row. I just talked with their customer service agent, and he said the mistake was caused by flight changes. It is a lie because first of all they only changed domestic leg but all my seat selections including international legs have been changed; Secondly, it is only a departure time change (earlier departure), not equipment change. I can imagine how people will be disappointed and shocked when they arrive at airport and find out their selected seats are long gone. And I'll be forced to pay extreme caution to Air Canada when next time I fly with them.",Couple Leisure,1.0,nan
Boeing 737Max,Economy Class,4.0,July 2018,5.0,4.0,4.0,yes,San Francisco to Montreal,4.0," |  Flew with Air Canada from San Francisco to Montreal and the service was very good, not all flight attendants was smily but at least two were really kind with passengers. Food we bought on board was excellent. Overall flight, onboard entertainment as tv movies and series are just enough, but could offer more choices in French, seats of the B737 MAX not bad, I've seen worse on other B737-8 and 737-9 from other airlines. Luggage arrived very fast on carousel in Montreal. Didn't try wifi onboard so I can't review this part of the experience but will give three stars, guessing it's working properly.",Family Leisure,5.0,3.0
nan,Economy Class,2.0,July 2018,1.0,1.0,1.0,no,Los Angeles to Vancouver,2.0," |  Los Angeles to Vancouver.After waiting over an hour in line to check in they began letting people who arrived after us to check in before us.  Half the kiosks were broken and there was no one to assist so I got in line to get checking in by an agent. I was there more than 2 hours before my flight. The moment I got to the agent she said the flight was closed and she had to put me on a later flight but it was still 45 minutes before my flight was scheduled to take off so I asked for security. The woman at the counter was so rude and never apologized, she told me it was my fault. Once I spoke to security they also called the Air Canada manager who said he could put me on my original flight and over rode the counter agent. I was able to make the flight. I’m in Canada and they lost my bag.",Business,1.0,nan
