Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Business Class,3.0,December 2017,3.0,1.0,3.0,no,New York to Delhi via Beijing,3.0," |  New York to Delhi via Beijing. We flew business call on Air China, and they lost our bags for almost 1 week (which reported immediately) and did not help us find them. They lost track of them entirely, multiple bags. Furthermore, upon eventual return of the bags there was significant damage to the bags (again, which we reported), but the airline did not follow-up. We emailed and called customer service and they continued to give us the run around without any answers. ",Couple Leisure,2.0,nan
nan,Premium Economy,1.0,May 2018,1.0,1.0,1.0,no,Montreal to Hong Kong via Beijing,1.0," |  Montreal to Hong Kong via Beijing. Our flight from Montreal on May 19th departed at 4:00pm, 10 minutes earlier than the  departure time of 4:10pm. We had a connecting flight in Beijing on May 20th  at 6:30pm on flight and was supposed to be landing at 5:00pm however the plane only landed at 5:50 pm in Beijing. Due to this delay we missed our connecting flight to due the poor customer service from Air China at Beijing airport. When we arrived at the Beijing airport we were able to see that the were doing a last call however nothing was done to communicate to hold the plane for us and for other passengers that were supposed to be on that flight as well. This was the first time that we had flown with Air China and was the worst experience. We stayed in Beijing airport trying to figure out what to do until 9pm where we were told that we are getting a hotel to stay for the night with a meal included and will be catching a flight the next morning at 8am. We had taken a bus that brought us to a hotel which was the worst hotel ever in my life. Is this how you treat customers? We went into the restaurant hoping for a good meal after all of this terrible customer service and making us miss our flight. We were presented with a buffet that was the most disgusting food ever and with nothing to drink. Once we got into our room it smelled rotten and the bed was like sleeping on a piece of wood. The next day we went back to the airport to catch our flight and arrived in Hong Kong only to find out that one of our luggages is missing and that it was still in Beijing and the other luggage was damaged with one of the wheels broken which I had to purchase another luggage($150). We ended up getting the missing luggage delivered to us 12 hours later and found out that the luggage was damaged as well with the handle on the side ripped off. This is ridiculous and the customer service that Air China provides is way below standard and is a joke. On our way back from Japan on June 7th at Haneda airport, when checking in, we had asked for an upgrade to Premium economy for the flight CA879 from Beijing to Montreal and they agent had told us that the do not do upgrades and we would need to do it in Beijing when we catch our connecting flight. Once we got to gates in Beijing they told us that they do not do upgrades either. Customers looking to upgrade their seats and give Air China more money are turned down.  That being said, overall this is the worst experience I have ever witnessed from an airline.",Family Leisure,1.0,1.0
nan,Economy Class,1.0,July 2018,1.0,1.0,1.0,no,Beijing to San Francisco,1.0, |  Beijing to San Francisco. Worst customer service ever. We were told that there were business class seats available for upgrade purchase but they kept on telling us that we had to wait for people to come to our gate. When someone finally came to the gate. She was very unpleasant and didn’t even acknowledge us and just gave us this dirty look as if we were bothering her. Never again will we fly with this airline again. Everyone does not know how to help people that do not speak their language and they have a whole lot of attitudes. They shouldn’t work in a customer service based job if they don’t know how to deal with customers. If I was able to rate it a 0 out of 10 I would have,Couple Leisure,1.0,nan
nan,Business Class,2.0,July 2018,2.0,3.0,2.0,no,Newark to Singapore via Beijing,3.0," |  Newark to Singapore via Beijing. This was a business trip. Picked air china because of the timing/schedule of dates worked well with my needs and it was very cheap. My trip was all business class from Newark to Singapore via Beijing. Outbound My flight had a long long layover to begin with, on my way to the airport my travel called me and informed me that my connection flight in Beijing departure time was changed by 6 hours later! Worst layover of my life! Service was ok on the flight, food so so. Entertainment selection for western audience is minimal. Seats are ok as far as incline etc. The lounge was packed and chairs were not comfortable for long haul seating. Food tasted like mediocre Chinese restaurant food. After 48 hours of ordeal I got to Singapore 6 hours late. Return flight supposed to leave at 11:30 at night was delayed by 3 hours and I had a connection in Beijing leaving me just an hour to connect! While waiting in the lounge I got a call from Air china that they booked me on an earlier Singapore airline flight (only best thing the did!) in order to make the connection. what a difference of service in Singapore air! Made it to Newark and my luggage didn't after all this. Lessons learned - you get what you pay for. Expected Air china to be a flagship airline with China being a global power, but not so. Would I give them a try again - no.",Business,3.0,nan
Boeing 777,Economy Class,5.0,July 2018,5.0,5.0,nan,yes,Beijing to Los Angeles,5.0, |  The flight was pleasant. Boarding was in order with Mandarin and English. Waiting area was clean and spacious. Plane interior clean and comfortable. Spacious seat for average size persons. Flight attendants are helpful.  Food was good and adequate. Touched down to LAX was the perfect. I see no problem with AQir China and will take this airline again if the price is right. This ticket was 20% cheaper than other airlines.,Solo Leisure,5.0,nan
nan,Economy Class,2.0,July 2018,2.0,1.0,2.0,no,Beijing to Houston,2.0," | I have flown Air China about 3 times now. This airline does provide a cheaper price compared to other companies. Yet, the type of service I’ve received on past experiences was not worth the price I paid. I understand that I chose an economy seat and I was not expecting any kind of first class treatment. However, this company’s overall customer service is poorly managed. From checking-in to flight attendants, including any department that has the name “Air China”, I’ve seen and had only rude experiences from employees. Employees are very impatient with questions that you asked and raising their voices at you being very disrespectful. Although I’ve decided to come back to this airline after every disappointing experience for its cheaper price tag, this will be my last time boarding with this airline. Even with it’s cheaper flights, I strongly agree that it is not worth the money for such customer service.",Family Leisure,1.0,1.0
nan,Economy Class,1.0,June 2018,1.0,1.0,2.0,no,Washington to Ho Chi Minh City,1.0," | I have flown with Air China for the third time and this will be my last. Service is terrible. Flight attendants were rude at times. Food is also terrible. Since it's first come first served, there is no guarantee you can choose what meat you prefer since it will run out. The rice is always bad, so sticky and the noodles are not better. People (and flight attendants) will speak Chinese to you if you are Asian and mostly will continue to do so even when you tell them you are not Chinese. Transiting in Beijing is also a terrible experience. If you don't know where to go, even if you ask they are not very happy and look very annoyed that you asked. Or worse, just shouted at you in Chinese and pointed to somewhere. The time of transit is very short, which you will easily miss your next flight (more troubles). The last thing I am most frustrated about is, at the end of the flight, you will likely lose your luggages. Happened a few times already. And when it does, you have to wait at least 3 days for it to delivered (very late at night). So, never again.",Solo Leisure,1.0,nan
nan,Economy Class,4.0,June 2018,3.0,4.0,2.0,yes,Geneva to Osaka via Beijing,4.0," |  Geneva to Osaka via Beijing. Pleasant flight - nothing fancy or incredible, but the level of service you expect for such a flight. My luggage was delayed and arrived a few days later - the airline promptly responded to my requests for compensation and within two weeks the matter was settled. Good ground service and customer service at their call center. Overall highly recommend for their professional management.",Business,5.0,nan
nan,Economy Class,5.0,June 2018,4.0,4.0,4.0,yes,Warsaw to Ho Chi Minh City via Beijing,3.0," |  We flew Air China from Warsaw to Ho Chi Minh City and back via Beijing. Cabin staff was nice and helpful, there were no delays or issues with our baggage. The food was quite good (I would say it was better flying to Ho Chi Minh City then back to Warsaw), flight entertainment were also good (30-40 movies in English and new releases like Black Panter and other older movies). The planes were quite old and I believe Air China should update their airplane fleet. We booked lounge in Beijing and as we have 15 hours layovers, it was nice to come to lounge, have some snacks, drinks, use showers and rest a little (we spend most of layover time visiting Great Wall of China and Forbidden City). But over all we were pleasantly surprised with the service, staff, food and flights.",Couple Leisure,4.0,nan
nan,Economy Class,1.0,June 2018,1.0,1.0,1.0,no,Vancouver to Hong Kong via Beijing,1.0," |  Vancouver to Hong Kong via Beijing. I have never been compelled to write a review for anything. Ever. That was until I experienced the absolute most horrendous customer service from Air China.  I was travelling with a group of 7. I had booked a round trip from Edmonton to Hong Kong. This booking was done via Flight Hub which would include an Air Canada flight from Edmonton to Vancouver and an Air China flight to HK. Upon arrival at the airport in Edmonton Air Canada alerted me that my middle name was missing from the flight info and were happy to add it. Air Canada updated both my boarding passes. When I got to Vancouver I went to the Air China check in counter to receive my boarding pass and I waited 2 hours until they told me I wouldn't be allowed on the flight because of my missing middle name. This information came was communicated to me 10 minutes before gate closing. This gave me absolutely no time to contact Air Canada or Flight Hub for help. Air China were unwilling to add my middle name despite showing my passport and other government issued IDs. I had to cancel and rebook my entire round trip because they wouldn't add my middle name on the return flight either. One of my friends stayed behind and took the flight with me. On the return flight my friend was rejected from the flight for ""breaking the sequence"". Upon enquiry Air China confirmed that his seat was still reserved for him but he would have to pay an $1200 USD to get it back. Air China was incredibly unhelpful and threatened to call security when was asked why he was rejected from the flight even though they themselves confirmed the seat was reserved for him. ",Family Leisure,1.0,1.0
