Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
AI 0112,Economy Class,1.0,July 2018,1.0,1.0,1.0,no,London to Colombo via Delhi,1.0," |  London to Colombo via Delhi. Very disappointing trip. We are on holiday in Sri Lanka with out our luggage. Wearing the same clothes since we flew on the 27 July 2018. Said they were able to deliver the luggage 29 July but it was just a word with no meaning.  My family including my child having really hard time without our stuff. No empathy, Very irresponsible I will never recommend for anyone.",Family Leisure,1.0,1.0
Boeing 787,Economy Class,3.0,July 2018,3.0,3.0,2.0,yes,Vienna to Delhi,3.0," | Flew Air India from Vienna to Delhi. Check in at Vienna Airport was smooth and efficient. Plane was not full, and cabin crew were largely professional & polite. There is room for improvement for the entertainment system, with lackluster movie options and only Indian music on offer. Dinner and breakfast were served on this red-eye flight - Food was standard airline fare. Departed on time & landed slightly before schedule.",Solo Leisure,3.0,nan
A320,Economy Class,3.0,July 2018,3.0,3.0,nan,yes,Delhi to Singapore,2.0," | This flight was the 2nd leg of my journey from Vienna to Singapore, via Delhi. While the 1st leg was operated by a much more spacious B787, this leg was operated by a smaller and more cramped A320. Flight was delayed by an hour due to late arrival of aircraft. Only lunch was served on this afternoon flight - food was largely average. Surprised to find no inflight entertainment on board despite Air India not being a low cost carrier.",Solo Leisure,3.0,nan
A319,Economy Class,4.0,July 2018,5.0,5.0,nan,yes,Coimbatore to Mumbai,5.0," | Air India was actually excellent to my surprise, and heavily contrary to the views I have heard about it. I am a Star Alliance Gold member, and hence I was lucky to board with Business Class passengers. I thought I would fly with Air India in a domestic flight and it was great for Air India to join the alliance as passengers like me want an opportunity to accrue miles from star alliance flights. Check in was smooth, ground staff were courteous and kind at Coimbatore Airport and they even gave me a lounge pass for me and my mother, although there was no Air India contract lounge in Coimbatore Airport. Boarding was smooth and in a sequence with priority passengers first. Also, the crew greeted us well and the aircraft had clean interiors and clean lavatories. Food was excellent too. There's no Star Alliance carrier in North America (United/Air Canada) that offers complimentary meals on a domestic flight. Also, the legroom was excellent, especially for a person who is 6 ft 4 inches. The crew were very kind to offer my mother a blanket and some medicine when she felt sick. Overall, I enjoyed it. Hats off to Air India and hope they improve more even further! Only thing I suggest is at least provide in-flight wifi either for free or for purchase to not bore passengers.",Family Leisure,5.0,nan
nan,Economy Class,3.0,July 2018,2.0,1.0,1.0,no,Mumbai to Ahmedabad,3.0," |  My experience with Air India was terrible. My family and I had to wait for more than 3 hours because the numbers on our tickets didn’t match theirs, even though we were still on their list of boarding passengers. Our tickets were issued from Turkish Airlines since we had a connecting flight from Istanbul, Turkey to Mumbai and then to Ahmedabad. We have previously dealt with this same situation when we were going from Mumbai to Ahmedabad, but when we called Turkish Airlines and explained this situation in front of the Air India staff, we were immediately given our tickets. However, this time, we had to pay for our tickets again. Air India was simply cheating us by making a huge deal out of a small mistake that they themselves have made with our tickets. We had to pay double the amount for our tickets only to recieve the same treatment and service. I would rate Air India zero stars if I could. I will never board Air India ever in my life.",Family Leisure,1.0,1.0
A319,Economy Class,5.0,July 2018,5.0,4.0,nan,yes,Mumbai to Bangalore,5.0, |  I had travelled on this morning flight from Mumbai to Bangalore on the A319. The web check in worked well and so was able to print the boarding pass in advance without any technical issues. The flight itself was a pretty full flight and the flight was delayed by 40 mins which was a tad disappointing but of no real consequence. The crew and staff were very friendly and courteous and were quite prompt to respond to requests. The seat was quite comfortable with great seat pitch which has to be one of the biggest plus points of the carrier. During the flight breakfast was also served which was good and filling followed by tea/coffee. Touchdown was very smooth and the disembarkation process and retrieving baggage was no hassle. Would not hesitate to fly again.,Business,4.0,nan
nan,Economy Class,1.0,July 2018,nan,1.0,nan,no,Delhi to Bhopal,1.0, |  Delhi to Bhopal. The worst of all flights.The staff is rude and not customer friendly. They didnt let around 20 people to board the flight even when we were on time. They wasted our time so that they can mark us late. They wont even refund your money The worst part is they wont even let you exit. Even after cancelling your flight they got problem with you exiting the airport. There are other competitive flights with customer friendly staff. I would prefer to use other airlines to avoid all the drama.,Family Leisure,1.0,nan
nan,Economy Class,1.0,July 2018,1.0,2.0,1.0,no,Chicago to New Delhi,2.0," |  Chicago to New Delhi. Traveling for first time with Air India on international sector and I think this is the worst of all flights i have taken internationally. Unfriendliness of staff is  seen even before the flight has taken off. On top, they seem so rude. I am traveling with a 6yo and every other flight I have taken so far with my son (Delta, Air France, unites, Lufthansa, American Airlines) have been so friendly and helpful but it’s a different story here. Plus the flight seems so uncomfortable. It’s so hot, on asking they have been asking to wait since half an hour now. My son has asked for water 3 Times now but alas no one is listening us. Hating it already, plus now they announce technical issue in flight. Never ever again am I flying in air India. ",Family Leisure,1.0,1.0
nan,Economy Class,3.0,June 2018,3.0,1.0,1.0,no,Hyderabad to Birmingham via Delhi,3.0," |  Hyderabad to Birmingham via Delhi. Air India offered the worst possible service on the return flight. It all started when airline agent didn't check the baggage through to the final destination and I had to pick up the entire lot (6 bags) plus 2 hand luggage, baby changing bag and the laptop bag also while handling a toddler. Add to that the flight was delayed by 2.5 hours from Delhi to Birmingham and the onward flight from Birmingham to Belfast missed. Had to wait for several hours before some lady with half information and no patience booked a hotel for us to stay overnight and booked the next flight at 18.45 next day (even when there were 3 other flights from the same airline available at earlier times). Add to this, we were kicked out of the hotel by 12:00 forcing us to go to the airport 7 hours earlier and spend time with a toddler till the flight came. Flight was delayed by 25 min...(fortunately it didn't get cancelled) and we reached our destination 24 hours later than planned. Worst airline, worst service and absolute indifference from the staff.",Family Leisure,3.0,2.0
Boeing 787-8,Economy Class,5.0,June 2018,5.0,5.0,4.0,yes,Surat to Frankfurt via New Delhi,4.0, | Surat to Frankfurt via New Delhi. Both the filghts were on time. The transit in New Delhi was quite easy and seamless. Food provided on both the flights was pretty decent for an economy class. IFE is very good. It has a huge collection of bollywood movies. This is the fourth time I am flying on this route and had a very good experience with this airline.,Solo Leisure,4.0,nan
