Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,4.0,June 2018,3.0,1.0,2.0,no,Mauritius to london,1.0," |  The attitude of the cabin crew has improved. The quality of films has improved as well but the screen is abysmal so one cannot really see the film. Or for some passengers around me, their screens were not working at all. But what is disgusting with this airline is if there are delays and communication. The communication of the on ground staff is appalling - first they do not know how to handle angry passengers, they do not know how to keep the passengers updated and the airline does not have a CRM (all complaints fileId directly with the airline will go into a black hole - not even an acknowledgement of receipt). It is an unpredictable airline - if you manage to get onboard, service is ok but if something goes wrong such as cancellations (which happen very often) or long delays, then only God can help you. The only choice we have on this route (direct flight) is British Airways and therefore, if you have the choice, it is preferable to avoid Air Mauritius.",Solo Leisure,1.0,nan
A350,Economy Class,5.0,July 2018,5.0,5.0,5.0,yes,Paris to Mauritius,5.0, |  Paris to Mauritius. Amazing experience compared to my flight from Toronto to Paris. Smooth flight with a very soft landing. Amazing on board staff providing caring service. Food was excellent and breakfast superb. I am very proud to see the effort which is put by the staff to make the trip for passengers remarkable. Thank you for ensuring excellent customer service provided to travellers.,Family Leisure,5.0,nan
nan,Economy Class,1.0,May 2018,1.0,1.0,1.0,no,Mauritius to Singapore,1.0," |  Mauritius to Singapore. Flight was cancelled 3 hours before departure. No update was given to know what was the way forward - especially since a connection was involved. When you call Air Mauritius, the people were rude, and could not help at all. It took 7 hours of timeless wait on the phone, without someone to even lodge a decent complaint to finally get redirect to another flight combination, with inconvenient timing. They do not even get the emails right. No compensation for the delay - no apologies for the inconvenience. No miles, no upgrade, nothing. It's as if we need to be grateful that they actually redirected us, for a ticket which we have paid for! The service on board was below standards compared to the price, but I never knew that the on ground customer service was so lousy as well.",Business,1.0,nan
A340-300,Business Class,5.0,October 2017,4.0,4.0,3.0,yes,Mauritius to Chennai,5.0," |  Mauritius to Chennai. Since the plane was overbooked, I was upgraded to business class. My first notion on the journey was that it would be a hectic journey as I has to travel overnight. But the attendants onboard the aircraft made sure to keep me as comfortable as possible. The seats were excellent, cabin service was outstanding. Staff was well trained, polite and professional. I would recommend flying in the business class on this airline.",Family Leisure,4.0,nan
nan,Economy Class,1.0,July 2017,2.0,1.0,nan,no,London to Mauritius,1.0," |  London to Mauritius. In July 2017 myself, my wife and 2 children aged 1 and 3 travelled to Mauritius. As a regular kestrel Flyer, I expected better treatment and better service. They are very child unfriendly.  When we landed, one of our luggage was missing. This is despite the flight was the flight was delayed by more than one hour. We landed on a Sunday, and had to attend a wedding the same night. My wedding clothes and that of my wife were in that luggage. I complained to the staff, they could not care less and said I was not entitled to anything and was sent away. No manager was available and later in turned out that the duty manager on the day was busy attending to the Prime Minister's wife in the State lounge and could not be bothered about paying passengers. I complained to their customer service, and the service I received was poor. I wrote to the CEO and their Chairman. No response at all from them. When we returned to the UK 2 weeks later, two Air Mauritius Staff were travelling. They were being given business class treatment when they were travelling in economy in front of paying customers. I spoke to the cabin crew about this, and they could not care less. What they offered me is 5000 travel points, 50 Euros, and to use their lounge when I travel next which is pathetic to what my family went through travelling with them. ",Family Leisure,1.0,nan
nan,Economy Class,5.0,September 2017,4.0,4.0,1.0,no,Paris to Mauritius,1.0," |  Paris to Mauritius. The food was good (chicken, fish and special meals). The entertainment on the plane wasn't good (little screen with 18 channels and you couldn't choose a movie). Another issue was the leg space, a problem when you are bigger than 180cms. The cabin crew was friendly and can speak at least 3 languages (French, English and a native language). When you have a question, they will try to help you with a smile.",Solo Leisure,4.0,nan
nan,Economy Class,1.0,September 2017,1.0,1.0,1.0,no,London to Mauritius,1.0," |  I travelled from London Heathrow to Mauritius. I was expecting comfort but things have not changed. Customer service at the check-in desk was nice and welcoming. Customer service within the flight was nice too. Negative - Seat was very uncomfortable (for an average guy of 6 feet). Leg space under the seat in front of you is awful. There was a black box next to my feet. Arm rest was painful, food below average. Cold tea / coffee served and I had to complain. Entertainment was poor. The new movies contained strictly old movies. Overall, people only travel with Air Mauritius because it’s a direct flight however I have to say that this service is not good value for money.",Solo Leisure,1.0,nan
A340-300,Business Class,4.0,August 2017,3.0,4.0,1.0,yes,Mauritius to London,4.0," |  Mauritius to London Heathrow. Really good flight, Check in very quick and easy followed by swift Fast Track immigration. At 6'4"" I always find the seats a bit difficult but was surprised that these Old Type seats were very comfortable in sitting mode and also sleep mode. Not Lie flat but fine as I managed 9 hours sleep. No dinner for me as the flights are evening 2200 departures and I do not wish to eat that late. Woke in time for breakfast which was OK. Looking forward to the A350 on this route soon. Entertainment very old and not worth bothering with, staff were very friendly but still do things the old Mauritian way.",Couple Leisure,4.0,nan
A340,Business Class,4.0,August 2017,4.0,2.0,2.0,yes,London to Mauritius,4.0, |  After a bad flight a few years ago I decided to fly again as they are the only non stop flights from Heathrow to Mauritius. Glad I did despite the old aircraft I managed 9 hours sleep and found the seats more comfortable than expected as they are not flat. Didn't have dinner but woke early for breakfast which was very good. The crew were friendly and smiled except for one. Looking forward to my return and looking forward to the new aircraft A350 at the end of this year. Only problem for me is the chaos at Heathrow boarding gates (gate 8) as Business Class passengers are unable to see the signs or even get through the chaotic crows! Maybe an announcment would be helpful or heaven forbid maybe one of the many managers standing doing nothing at the gate could assist?,Couple Leisure,5.0,nan
A330-200,Economy Class,1.0,June 2017,1.0,3.0,nan,no,Singapore to Mauritius,1.0," |  Singapore to Mauritius. The worst flight experience. We should have flown on a Budget airline to Mauritius for a better experience! There was an hour delayed departure out from Singapore and the aircon in the plane was not working.  After take off, my husband's entertainment system was not working and we press the call bell and no one attend to us. I have to walk to the galley to inform crew about my husband's entertainment system not working.  After informing about the unserviceable system and I doubt he did anything because they were more concerned about meal service.  Finally we get hold of another Stewardess and inform her and she said she will do it later as she was occupied.  When we receive our tray, I informed the 3rd crew again about the entertainment system and she said she will reset again and doubt that it will work. She offered a seat change but we paid for the exit row (USD50 each) to enjoy the extra legroom instead of having to move to another seat behind and be separated. There were many announcement throughout the flight duration.  First meal service was rushed and after that lights switched off within 2 hours.  Our holiday mood to Mauritius was dampened by the experience with Air Mauritius.  ",Couple Leisure,1.0,nan
