Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,4.0,July 2018,1.0,3.0,nan,no,Kuala Lumpur to Bali,1.0, |  As a low-cost airline AirAsia has no entertainment and food or drink should be paid on the flight. I found the leg space insufficient for a person who is 5’10” or more. I hope AirAsia provides better services to customers in the near future.,Couple Leisure,2.0,nan
nan,Economy Class,5.0,July 2018,nan,3.0,nan,yes,Kuala Lumpur to Manila,1.0," |  Kuala Lumpur to Manila. The first flight to Malaysia was fine, no problems. The return to Manila was terrible! I am 6' 2"" and I had no clearance for my knees.  This was not a planned trip. I have been in Philippines for 3 years and had to leave, for a silly rule. and come back again, so it was just a quick trip, away and back. For an international flight the seat configuration was uncalled for. ",Solo Leisure,5.0,nan
nan,Economy Class,4.0,July 2018,nan,3.0,nan,yes,Jakarta to Kuala Lumpur,3.0," |   Jakarta to Kuala Lumpur. Self check-in machines are not available across the airport, but it is only available in the Airasia check-in counter section, which requires a bit of walking. This same goes to the boarding gate which is quite far. I hope Airasia could get a better spot of it.",Solo Leisure,3.0,nan
nan,Economy Class,4.0,July 2018,nan,3.0,nan,yes,Kuala Lumpur to Jakarta,3.0," |   Kuala Lumpur to Jakarta. Check-in went well, as there are many self check-in machines in the KLIA2 airport. Boarding was relatively on-time and there was no issue. The best part is when landing in Jakarta, since Airasia is now operating in the new airport where they provide better services.",Solo Leisure,3.0,nan
nan,Economy Class,2.0,July 2018,nan,1.0,nan,no,Narita to Phuket via Bangkok,1.0," | Very disappointed with Air Asia as a frequent flyer after last experience. Online check-in had errors and glitches which did not allow me to checkin early, charged 40,000 yen at airport. Showed pictures of website glitches and errors, airline does not care or understand. Then I was accidentally tripled charged on my return flight baggage. Had 5 transactions for baggage totaling over $800 USD! My two tickets cost only around $700. Was refunded for some of the excess charges, however such a hassle and online help and calling is very time consuming and stressful and not user friendly. I figured if I provided pictures and explained my problems the airline would understand the online checkin and website had experienced problems and was not working properly. Poor customer service using live chat and submitting cases on issues, just replied back with automated answers. Like talking to a computer. Nobody should have to get charged over $800 USD and worry about 5 charges for 2 small check-in bags, especially unauthorized charges. Very disappointed and will never fly again because of airlines poor recognition of the problem, poor customer service and failure to refund a small cost that should never of happened. Nobody should have to go through that stress while on vacation!",Couple Leisure,1.0,nan
A320,Economy Class,4.0,August 2017,3.0,4.0,nan,yes,Bangkok to Kuala Lumpur,4.0," Comme d'habitude, Air Asia est une compagnie sérieuse et confortable. Les prix proposés sont très intéressant, j'utilise toujours depuis 10 ans cette compagnie depuis Bangkok vers différentes destinations en Asie. Je n'ai jamais connu le moindre problèmes, continuer comme cela, merci.",Solo Leisure,4.0,nan
nan,Economy Class,4.0,July 2018,nan,4.0,nan,yes,Kuala Namu to Kuala Lumpur,3.0," |  Kuala Namu to Kuala Lumpur. As usual, Air Asia always provide smooth experience without any hassle from check-in until departure. However, Airasia is now implemented a strict 7kg policy where cabin baggage has to be strictly only up to 7kg, or else it would be charge expensively.",Solo Leisure,3.0,nan
A320,Economy Class,5.0,June 2018,nan,5.0,nan,yes,Kuala Lumpur to Colombo,5.0, |  On the 5th June I travelled on Air Asia from Kuala Lumpur to Colombo. The plane was an Airbus 320 and very comfortable. I was able to get a lot of rest during the 3.5 hour flight. I had three seats to myself.,Solo Leisure,5.0,nan
A320,Economy Class,5.0,June 2018,nan,5.0,nan,yes,Colombo to Kuala Lumpur,5.0, |  On the 21st June I had a flight on Air Asia from Colombo to Kuala Lumpur. It was a red eye flight and we arrived around 5am in the morning. I had to clear customs although I had a flight on Air Asia in the evening. The time went very quickly so it must have been a good flight. I was able to stretch out and get some rest.,Solo Leisure,5.0,nan
nan,Economy Class,4.0,May 2018,5.0,4.0,nan,yes,Hong Kong to Kuala Lumpur,5.0," |  Hong Kong to Kuala Lumpur. Very good experience, bought the premium flex package and still cheaper than other airline e.g. Cathay Dragon. Also you can enjoy a better flight experience than the traditional airline. The lounge is good too. It is a good place for you the relax.",Family Leisure,5.0,nan
nan,Economy Class,4.0,nan,1.0,nan,1.0,yes,nan,4.0,Departed Perth to Denpasar return with the family. No delays on either flight. Service was standard budget airline though much better than Ryan or Easyjet. My only complaint is regarding the unbelievably bad quality of the inflight hot meals. I pre ordered them to simply break the boredom for the kids and wish I hadn't bothered. Disgusting and simply inedible.,nan,5.0,nan
