Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
Boeing 777-300,Premium Economy,5,July 2018,4,1,2,no,Miami to Warsaw via Paris,2," |  We flew Air France from Miami to Warsaw connecting in Paris. Air France has only one round trip a day from Miami to Paris. I had been tracking the flights for three weeks before our departure date, on flightradar. Most of the time the incoming flight was late.  On July 11, 2018, I received a text message from Air France at approximately 10:30 AM stating that our fight would be delayed one hour, from 7:40 PM to 8:40 PM. The plane departed at 10 PM, two and twenty minutes late.  We arrived in Paris forty minutes before our connecting fight to Warsaw. The plane sat on the runway for approximately twenty minutes, because our gate was not available. I cannot understand why this flight could not have been assigned another gate. Most of the people around me missed their connecting flights, like me. We ran as fast as we could to the connecting flights gate. We arrived ten minutes before flight departure time, but the gate closes twenty minutes before departure. We went to customer service, with long lines and few people working behind the counter. The first connecting flight to Warsaw was filled. They put us on the second connection, approximately six hours later. Thirty minutes after getting my connecting flight changed, I received a text message that I missed my original connecting flight, brilliant. In my opinion Air France could care less about their Miami/Paris, one round trip a day. Their customer service needs a lot of improvement. This was my first and last time to fly Air France. ",Couple Leisure,3,nan
nan,Business Class,nan,August 2017,nan,nan,nan,no,Cape Town to London via Paris CDG,nan, |  I booked flights for December 2018 with Joon from from Cape Town to Paris and Air France from Paris to London a few weeks ago in business class. End of last week they cancelled my flight from London to Paris (CDG) which meant we arrived in Paris CDG at 22.05pm at night. Our next flight is not until 9.35am the following and I asked that they should book a hotel on the airport so that we can catch the connection the following. They have now told me that we have to book our own hotel for the overnight.,Business,1,nan
nan,Business Class,4,June 2018,4,3,4,no,Bogota to Paris,5," |  Business Class from Bogota to Paris. The plane was great and service on board to but when I got to Paris my 2 bags didn't. Because I had a connection in Bogota I took my time to ask the person in the counter if he could check if my bags where on board, I flew Business from Medellin in Avianca, and the AF person left me a couple of minutes waiting before boarding, I suppose checking if my bags were ok and he told me I was fine. The connection was like 1 hour and if my bags had priority on them I assume there would be no problem. When I got to Paris, as I already told, my bags didn't arrive and I went to the service counter of Air France to ask for help. The first response was go to the carousel again for 30 minutes more, I had waited like 45 minutes, that sometimes bagas appear. I did as I was told and then went back to file my missing baggage. This time they filed my request and told me they will contact me for future delivery because my bags hadn't reached Paris and they didn't know where they were. For the next 4 days I was not reached by Air France by email, phone or anything regarding my bags. I called them several times and the answers were: first we haven't located your bags and then the bags are in process of being delivered to you. Also I tried to check the status of my bags on their site, as I was told I could do, but the system never gave me accurate information. Finally the 12th my bags finally had arrived with no previous contact with me to arrange the delivery or even to let me know finally my bags were on Paris. Just a single paper saying 1 zip open on the small suitcase. When I checked my bags the smaller one had thelock broken. I filled the complain at AF following their procedures and until now more than 20 days later the only contact from AF has been  an automated e-mail. I just expect AF to compensate me for the basic things I had to buy. ",Couple Leisure,3,nan
nan,Economy Class,1,July 2018,1,1,1,no,Amsterdam to Paris,1, |  I landed in Paris nearly 30 hours ago and my checked in luggage still remains in Amsterdam. I have spoken to a number of people over the phone and they can't even give me a date or time when my luggage will arrive and said that my luggage is not a priority as they have other luggage that has been delayed for over 5 days. I leave Paris in 3 days for my next destination and I still may not have my luggage.,Couple Leisure,1,1
nan,Economy Class,5,July 2018,2,2,1,no,Paris to Athens,3," |  I was flying from Paris to Athens on 20th July at 20:30, in the gate they changed the departure hour at least three times, we finally enter the plane at 21:40 and we were waiting inside the plane at least two hours before the plane Fly. Totally unacceptable and I don’t think I will fly with them again.",Solo Leisure,1,nan
A380,Economy Class,5,July 2018,3,4,2,yes,Shanghai to Paris CDG,5," | Flew Air France from Shanghai to Paris CDG. The overall experience was quite pleasant, except for the old and outdated entertainment system on board. The movies are very outdated, the screen is very old and worked very slowly. However, we got a very good price for this flight so it's still very worth it.",Solo Leisure,5,nan
A380,Economy Class,4,July 2018,2,3,2,yes,Paris to Shanghai ,4," | This flight was delayed for 4 hours in total. As we arrived at CDG from MAD, I got the mail that the flight AF116 was canceled and the replacement was AF116A. We managed to find food in the very expensive CDG airport. After dinner, we went to the door only to find out they were giving out food vouchers, the found staff insisted they broadcasted it however we really didn't hear anything. Also, we saw many people getting their vouchers at the time, meaning that many people were not aware of the vouchers earlier. What i didn't like was the ground staff's attitude. After 2 hours, they said due to technical issues with the engine, they had to postpone another hour. 30 mins after it, they said again that the flight would be delayed from another hour. I respect the ground staff because I understood it was not their problem, but I believe AF already knew that they would be delaying the flight for anther 2 more hours but they were just reluctant to admit it. We arrived at PVG 4 hours later than scheduled. Not to mentioned the old and slow entertainment system on board and the not tasty at all food offered in the airplane.",Solo Leisure,5,nan
nan,Economy Class,4,July 2018,3,1,2,no,Athens to New York via Paris,3," |  Athens to New York via Paris. Been traveling for 20 plus years and never once a flight have misplaced my luggage, when company try and stuff 3 connecting flights into 1 big Airbus, this is what happens. Crew was great, food was basic, wifi was not working, bathroom smelled, but a client most value their belongings. My luggage was a carry on item, and they insist on checking it for me and even put a priority on it, which is a joke.",Couple Leisure,2,1
Boeing 777-200,Economy Class,4,July 2018,3,1,4,no,Paris CDG to Seattle,4," | Paris CDG to Seattle. Pre-flight experience was the worst I've ever had in 38 years of flying. I arrived 2.5 hours before departure. Air France employees detained me after I waited 30 minutes in the security clearance line up, and found my carry-ons to be 16kg instead of the max 12kg. The agents who nabbed me from the security line gruffly told me to go to ""#2"" in French. After some futile discussions, I realized they wanted me to go back to another terminal and line up with the folks checking in. I was aghast, as this line was extremely long (which is why I always check in ahead of time) and a bit of a walk. So I go back to this other monster line that a nearby agent informed me was the correct one. After waiting 45 min in this line, I was told I was in the wrong line, that I need to be in an adjacent line. So I line up for another 30 min, and when I get to the front the attendant wants 50 euro to check one bag. Which is fine, but her card reader was broken. So she tells me I need to go to another line to pay the bill, and takes my bag. I protest, saying I will miss the flight if I line up again. She eventually takes me by hand to cut in front of this other payment line in another terminal, then to the front of customs. I felt like a criminal because of their cheapo weight policies that even the worst American airlines haven't instated. Can't you just do this at the gate? So silly and ruined my flying experience with much unneeded stress.",Business,3,nan
nan,Economy Class,1,July 2018,3,3,2,no,Los Angeles to Dusseldorf via Paris,1," |  Los Angeles to Dusseldorf via Paris was one of the worst flights I have taken with a premium airline.  On the plane, before the takeoff or taxing I was sitting and listening to music. The steward came up to me and asked showing him my phone to see if I had a plane mode on (which it was). When I refused showing him the phone , he grabbed the phone and checked the airplane mode. Both flights of mine (LAX to CDG and CDG to DUS) were delayed for over 1h. The seats were extremely uncomfortable. If the person in front wanted to extend the seat, you would have it on your lap (and I'm only 5'4) what makes working completely impossible. The entertainment was 3/4 in French. I understand it's a french airline but  not everybody speaks french or wants to have the subtitles taking half of the little screen.",Solo Leisure,1,nan
