Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
A321,Economy Class,3.0,November 2017,4.0,3.0,2.0,yes,Seoul to Shanghai,3.0," |  Seoul to Shanghai. At the boarding gate airline members carried out an accurate weight and size-inspection of carry on luggage.  Seats were comfortable enough for this 2-hour-flight. In flight entertainment selection is mediocre. Flight attendants are very strict with drinks being brought into the cabin. I carried a beverage which I bought in the departure hall, when they caught me sipping at it they requested me to give it up and started making a fuss over it. Meals were served during the short flight, quality was acceptable. Considering the bargain ticket a recommendable airline.",Business,5.0,nan
nan,Economy Class,5.0,March 2018,5.0,5.0,4.0,yes,Seoul Incheon to Jakarta,4.0," |  Seoul Incheon to Jakarta. I was highly impressed by the service provided by the air crew. Their response was very good. Aircraft was much comfortable affordable and food was also good especially arrange as I wanted Muslim food. I have travelled through Emirates, Qatar and Thai previously, however, I found this airline above all. Overall a great experience.",Solo Leisure,5.0,nan
nan,Economy Class,3.0,February 2018,3.0,3.0,1.0,no,Singapore to Seoul,4.0, | Took OZ754 from Singapore to Seoul and was assigned a flight without any personal in-flight entertainment! I am very surprised at this. Service was so-so. Food portion and taste was also ok. The only good thing is that the leg room is wider. I will not consider taking Asiana again for my next Korea trip.,Couple Leisure,3.0,nan
A330,Economy Class,4.0,December 2017,3.0,4.0,3.0,yes,Tokyo Haneda to Gimpo,3.0, | Haneda-Gimpo-Haneda on Asiana's A330. The aircrafts were a little old but no problem for this 2-hour flight. Seats were okay. PTVs were also okay but a little difficult to navigate. Meals were good for this short flight. Flight attendants were friendly and professional.,Business,4.0,nan
A380,Business Class,5.0,December 2017,5.0,4.0,5.0,yes,Seoul to Los Angeles,4.0," |  Seoul to Los Angeles. This was just one leg of our trip which was Los Angeles to Sydney return. However all legs were excellent. We had the same seats for all our flights and the same aircraft as well, the A380. We were in 9E and 9F. Embarkation was smooth and awe were warmly greeted as we arrived to the aircraft and directed to our seats. The FA's were all very polite and professional and friendly. The lie flat quadra-smartium seats were fine though I do think they could provide a duvet for extra padding. However we slept well. The food was very good and the selection of wine, beer and spirits was quite good. I like a Scotch and they had an 18 yr old Chivas Regal or a 17 yr old Ballantine's and the cognac was a camp XO, very good! The IFE was fine and we had plenty of movies and other programming to choose from. Most importantly its the high level of professionalism displayed on board by the staff that really sells it for me. I am treated like a most welcome guest.",Couple Leisure,5.0,nan
A350-900,Business Class,5.0,November 2017,4.0,5.0,3.0,yes,Seoul Incheon to London,4.0," |  Seoul Incheon to London. This was my first flight with Asiana Airlines, which I took after having checked it had the new business class. It was an excellent flight. Configuration is 1-2-1. Seats are wider than on British Airways and there's pretty good storage. Service was excellent, food was good. WiFi worked perfectly. Small quibble but movies were mostly poor quality (ie poorly reviewed) and not as extensive as the best systems. All in all, an excellent trip, and I’d be very happy to fly them again, with the new business class.",Business,4.0,5.0
Boeing 777-200,Economy Class,4.0,November 2017,5.0,2.0,1.0,no,Incheon Seoul to Honolulu,3.0," |  Avoid Asiana's Honolulu-Incheon route. Super old aircraft with a six inches IFE screen. Very limited entertainment, around 10 movies in total that you don't even want to watch because the screen is small and old. I don't understand why Asiana will deploy an old aircraft with limited entertainment for a long haul flight. Please use these old aircrafts for short hauls. The only saving grace was the food! Delicious and more than enough in terms of quantity. Two full meals for a 9-hour flight.",Solo Leisure,1.0,nan
Boeing 777,Economy Class,5.0,October 2017,5.0,5.0,5.0,yes,Chicago to Ho Chi Minh City via Seoul,5.0," |  Chicago to Ho Chi Minh City via Seoul. Flight with Asiana Airlines was very comfortable with great service and inflight food. My flight was overnight and allowed me to sleep on my normal schedule and arrive refreshed. I will definitely add this to my list of preferred airlines. Seats are spaced for great leg room and the seat width is comfortable for a 6 foot, 240 pound man.",Solo Leisure,5.0,nan
OZ751,Economy Class,5.0,October 2017,3.0,5.0,3.0,yes,Seoul to Singapore,3.0," |  Seoul to Singapore. My friend and I packed some snacks and drinks on the flight and while settling down in our seats are so inconvenient as there are other passengers walking along the aisle. Cabin staff took initiative to help us hold on to our food as we are putting our carry-on luggage at the overhead cabinet and waited patiently till we’re done with putting our carry on luggage. Throughout the flight she smiled while serving food, drinks or even just walking down the aisle. Hoping that this compliment will reach her so that she could keep up her good work. However the downside of the seat is the legroom is too small for my legs if there’s wider legroom it would be more comfortable. Nonetheless, I would fly Asiana Airlines again if I ever have a chance to visit Korea again.",Family Leisure,5.0,nan
A330,Economy Class,2.0,September 2017,2.0,3.0,1.0,no,Seoul to Singapore,4.0," | Food wise, it was bleah to meh but palatable. The FA were quite fast to attend to general request. The IFE screen was small and the selection of movies was meagre but with the small screen with poor resolution, my handphone (Samsung Note 3) provided better entertainment if I wanted to use it. I pre-ordered an item for Duty Free purchase for my wife on the prior flight and supposed to collect it on this flight. However, they said there was a mistake made by the FA on the prior flight who helped make our pre-order. The response that I got was: ""please call us when you reach your destination and we will sort it out."" What? Call? I told them they should try to rectify it on their end and when we disembark. Why aren't the FA trained properly? It could have been better managed!",Couple Leisure,2.0,nan
