Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
A350-900,Economy Class,4.0,July 2018,4.0,4.0,5.0,yes,Taipei to Vancouver,4.0," |  Taipei to Vancouver. I was impressed with the comfort and service. The staff was very friendly, they were prompt with meal time and very accommodating. The take off and landing were quite smooth, and I was happy with how painless the boarding was. The food was pretty good, with enough in the meal to fill me up for hours. For economy class the seats were decently comfortable, and the leg room was more than I was expecting. I loved the touch screens and the quantity of movie choices. My overall experience was as comfortable and painless as a flight can be. I would recommend this airline to anyone looking to take a lengthy flight.",Couple Leisure,4.0,nan
nan,Premium Economy,3.0,July 2018,3.0,5.0,4.0,yes,Christchurch to Auckland,5.0," |  Christchurch to Auckland. Have previously flown with this airline in Business Class and could not fault it. We flew Premium Economy this time and were very disappointed. The seats are very comfortable and lots of movies to choose from, but the food and service were average. We had flown from Brisbane to Auckland three days earlier and were fed Fried Rice - no other choice(s) that was it! Coming back it was chicken with mushrooms, rice and vegetables. It was OK, but under seasoned and very bland. My husband cannot eat mushrooms and he eats hardly any vegetables. When he advised the hostess of this she came back with a serve of garlic bread from Business Class. That was his meal! He has a healthy appetite and was not impressed. I would point out that the same meals were being service to Economy Class, so not effort made to provide something a little bit better in Premium Economy. Drinks service limited - one with your meal, and another one just after. That was it. I do not think they were ever offering spirits. They also did not come round offering water on a regular basis, as most airlines. Will definitely go Business Class next time - I do recommend that.",Couple Leisure,4.0,nan
A350,Premium Economy,5.0,July 2018,3.0,5.0,4.0,yes,Brisbane to Gatwick via Taipei,4.0," |  Brisbane to London return. Both flights the air crew and ground staff were great. Food was pretty good both trips, and enough choices for entertainment, including a number of recent movies, although would be pressed to have enough movies to do two London trips in the same month. At the price point I think China Airways offers a great product and Taipei airport is big enough to happily spend time during transit. Point to note duty free shopping is not a bargain.",Solo Leisure,5.0,nan
Boeing 737-800,Economy Class,4.0,July 2018,3.0,4.0,nan,yes,Hong Kong to Taipei,3.0," |  Hong Kong to Taipei. Reasonable price, good service, the staff were polite and helpful. Really surprised that we would have a meal even for the short flight. The food is pretty delicious. However bigger portion would be better.",Family Leisure,4.0,nan
nan,Economy Class,1.0,July 2018,nan,1.0,nan,no,Vancouver to Taipei,1.0," |  Vancouver to Taipei. One of the worst experiences I have had boarding a gate. Prior to boarding the gate I was hassled over my returning ticket which I did have. The boarding staff of China airlines were terrible they were forcing me to purchase another ticket. On top of that I am being told they will not allow me to board the gate, they will close the gate on me and that I would be sent home. I was forced to purchase a ticket that I will not use and cannot be refunded on now. All of my friends who flew out to Bali did not have any of these issues or forced to purchase a ticket going home. The absolute worst experience.",Solo Leisure,1.0,nan
nan,Economy Class,5.0,July 2018,5.0,5.0,5.0,yes,Sydney to London via Taipei,5.0, |  Sydney to London via Taipei. Flight was originally on the 10th to London but rescheduled for the 11th because of a tropical storm heading towards Japan/Taiwan. I was upset because I was going to now miss the Semi final match between England and Croatia. I gave China airlines a ring was on hold for an hour (at this point I was ready to give up) and then was told at 10:15am that if I get to Sydney airport by 11am they would get me on an earlier flight and reach Taiwan before the storm does. So jumped in an Uber and was 5mins late. Thankfully I was put on an earlier flight as soon as I arrived! ,Solo Leisure,5.0,nan
A330,Business Class,4.0,June 2018,4.0,4.0,3.0,yes,Taipei to Denpasar,3.0," |  Taipei to Denpasar. After a substandard flight from LHR to Taipei via Amsterdam, I was transferred to Bali. The transfer process in Taipei airport isn’t as easy as other major hubs as it involved a lot of stairs and lifts and a very confusing layout. The CI lounge in T1 was very crowded and it didn’t feel like a hub lounge for a major airlines, and when the main lounge was crowded they sent passengers to a small lounge which felt like a classroom. Outward journey: we left Taipei ontime. Boarding was easy and smooth. To my disappointment it was an old A330 with very dated interior. The seating was comfortable for a 5 hour flight. Entertainment was again very dated. Unlike my experience with their long haul flight, shortfall flights with China Airlines seem to be a different class. All the crew members on this flight was very friendly and approachable, and they didn’t stop providing any food or drink throughout the flight. It was indeed one of the best flights I had in terms of services. Landed in Bali on time but it was a long wait for the luggage. Return journey: check in at Bali was very slow but the agents were all very friendly. Returning flight was a slightly newer plan (A330). Service was again better than most of the long haul flight but definitely not as good as the outbound journey. Arrival at Taipei was very efficient. Quick immigration check and luggage was out within few minutes.",Couple Leisure,4.0,nan
A350,Business Class,3.0,June 2018,3.0,4.0,4.0,yes,LHR to TPE via AMS,3.0," |  OK service, issue with the planes I travelled London Heathrow to Taipei (with onward journey to Bali) in June with China Airlines. It involved a stop over at Amsterdam and the flight between London and Amsterdam was on KLM, while AMS to TPE was on China Airlines. Outbound flight left Amsterdam on time and arrived at Taipei few minutes ahead of schedule. China Airlines use new A350 for its European routes with the exception of Frankfurt. Once I got onboard I immediately noticed that the seat control panel wasn’t working. As a result there were only three possible positions throughout the flight – sit up, relax or flat bed. The table lamp was also disable because of this. I reported to the crew but they didn’t do anything until almost landing. Service was pretty efficient but not particularly warm nor friendly. Returning lag was slightly better. The CI lounge in Taipei terminal 1 was very dark and crowded until late evening. It was renovated 2-3 years ago but has started to show some sign of poor maintenance. The food and drink provided is substandard. Boarding was late by circa 20 minutes but the process was very easy for business class passengers. I was greeted by name by the cabin manager and the team which doesn’t always happen on CI long haul flights. Some of the crew members on this flight were exceptional. However I experienced problem again with the hardware. One of the toilets was out of order which means there was only one toilet for the business class cabin; the window shed in seat 14K was also broken. Seems to me that CI has a lot of maintenance issues. Overall it was a typical China Airlines long haul flight I’d expected. Nothing special and definitely not as good as it main competitor EVA. However the flight time suits me better (as EVA quite often involves a stop over at Bangkok).",Solo Leisure,4.0,4.0
A330,Economy Class,2.0,January 2018,2.0,2.0,2.0,no,Taipei to Beijing,3.0," |  Taipei to Beijing. They were just doing their job. Very few ground staffs were there to help with the boarding. The flight attendants made no greeting when boarding and very limited interaction during the entire flight. The guy sitting next to me did not straight the seat back when takeoff and landing yet no cabin crew paid attention to it. The meal was okay. I am not picky about flight meal at all. A flight attendant sat on the jump seat with her legs crossed and stared into space after meal service. Together, the service was below average regarding Asia's airline but I would fly with China Airlines again if the ticket goes really affordable.",Solo Leisure,3.0,nan
nan,Economy Class,5.0,April 2018,3.0,4.0,3.0,yes,Los Angeles to Taipei,3.0," |  Los Angeles to Taipei. As a mother travelling with infant, it was really hard time to keep baby feeling comfortable and didn't disturb to other passengers. But the flight crews helped me too many things during the flight. I do appreciate the cabin staff help. I would recommend about China Airlines. Good Service! ",Family Leisure,5.0,1.0
nan,Business Class,4.0,nan,4.0,nan,nan,no,nan,4.0,Tokyo-Shanghai-Paris and Paris-Beijing-Tokyo. Trusted this airline because it is a Star Alliance member. International transfer at Shanghai was terrible. You have to immigrate and emigrate wasting a lot of time. Cabin crews were cheerful and trying to help passengers. Shanghai-to-Paris old A330 overall shabby but seat was not bad with full-flat and wide leg space. Paris-to-Beijing new 777-300ER clean and new aircraft full-flat bed but leg space was very narrow (not shot). Food was OK. Finally they lost my bag even though intra-airline connection.,nan,3.0,nan
nan,Economy Class,4.0,nan,3.0,nan,4.0,yes,nan,4.0,Given the at-best mixed reviews on Air China's economy class product on this site I was pleasantly surprised at the JFK-PEK-SIN-PEK-JFK trip that I just completed this morning. When I searched for the flights Air China was among the most competitive in terms of the price (only United and Delta were cheaper). The JFK-PEK legs were on B777-300ER while the PEK-SIN legs were on A330-300. Seat comfort was expected given the class nothing stellar but nothing too bad either. On all legs AVOD was available. Food was decent but as far as I could tell only Asian options for the main dishes were available (featuring rice or noodle and some protein). Portion size might be small if you usually eat big (might be a problem for Americans). Flight attendants did a few rounds bringing water but you could also venture to the galley yourself to help yourself with some water and snack. If you are Asian the flight attendants would most likely talk to you in Mandarin first. I had no problems with transfers in PEK.,nan,5.0,nan
