Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,1.0,August 2018,1.0,1.0,1.0,no,Tel Aviv to Vienna,1.0," |  
Tel Aviv to Vienna. The worst airline in the world; It is one thing to take security seriously, but to refuse to answer simple and righteous questions to why I am receiving an extra security check, violates my rights as a passenger and only suggests that staff, working for this airline, act extremely unprofessional and treat their passengers with absolutely zero human decency and respect. A passenger like myself, who has no history whatsoever, which could suggest a potential threat, deserves to be heard out, especially when the two companions, one of whom is my boyfriend, did not receive any kind of extra security checks. This airline treats their passengers like terrorists, without having any hint or evidence of any wrongdoing or criminal history. If you can avoid traveling with this airline, I would highly suggest you do so. This airline calls themselves safe and professional, but none of these values are taken into consideration.",Couple Leisure,1.0,1.0
Boeing 777-200ER,Business Class,5.0,July 2018,4.0,4.0,3.0,yes,Tel Aviv to London,3.0," |  Tel Aviv to London. Wide body aircraft for 5hr flight. Business class with flat seat configuration 2x3x2. The business class is not up-to-date and entertainment is old. no real privacy but overall ok. Service and air crew very very good, professional and high standards . Overall ElAl business class deserve a high rank.",Business,4.0,nan
Boeing 767-300ER,Business Class,5.0,July 2018,4.0,4.0,2.0,yes,Luton to Tel Aviv,4.0," |  Luton to Tel Aviv. Full business service in 2x2x2 configuration with full flat bed. The 767 is not young but overall kept clean and in high standard maintenance. Entertainment is very old but the team offer Ipad. Service was very good, and the ElAl business team found to be professional nice and welcoming.",Business,4.0,nan
nan,Business Class,2.0,December 2017,2.0,2.0,1.0,no,Los Angeles to Tel Aviv,1.0," |  El Al is the only airline that flies direct from Los Angeles to Tel Aviv. This is the only reason i fly with them since their equipment was old and broken. We fly business and we never got a comfortable seat (none is 180 degree flat), they are very old and do not work properly. The crew admits to these issues but nothing is done. We took many flights with El Al in the past, but no more. We will wait for the competition to bring the newer A/C (787?!) and lower the outrageous price that El Al charges when there is no competition. ",Family Leisure,1.0,1.0
Boeing 767-300,Business Class,5.0,March 2018,5.0,4.0,3.0,yes,"Milan, Italy to Tel Aviv",5.0," | Flew El Al Israel Airlines from Milan, Italy to Tel Aviv. Old aircraft but good maintenance. Full business class with flat bad for 4H flight, excellent food and the best cabin crew I have met in the last 10 years. Professional, nice, calm, quick – best in class. Overall super nice flight thanks to the air crew.",Business,4.0,nan
Boeing 767,Premium Economy,3.0,March 2018,2.0,2.0,1.0,no,Johannesburg to Tel Aviv ,2.0," | I am a frequent flyer, I travel about 40 weeks a year. Using many companies from Virgin Atlantic to BA to others, London is a major hub after all. It's been many years since I've taken a flight with El Al. See I am originally Israeli and take pride in all things from Israel, but this one even my best selling skills cannot spinoff. El Al is charging 900 pounds for a flight from Johannesburg to Tel Aviv (I do LND to JNB every two weeks) which is 9 hours duration, they use a plane from the 80s that is so dated in its seats, décor and electrical (no USB ports or electric plugs) and no entertainment device for an 9 hours flight (thanks for helping me to focus on my work more). If I've had any other direct flight I would simply not choose to fly El Al. In short I'd say get your act together and be competitive, if more companies would fly to TLV you would simply go out of business.",Business,1.0,2.0
Boeing 737,Business Class,5.0,February 2018,4.0,2.0,3.0,yes,Paris CDG to Tel Aviv ,3.0," | Flew Paris to Tel Aviv. Check in located at the poorest part of CDG at 2A far from the gates and security. King David lounge is no more than poor, embarrassing, old and spartanice. The food is inedible. The 737-900 configuration is 2x2 with full business service but do not expect a full bed like in the 787 or 777 that El Al operate. The Air crew were very good as usual – that’s the best part of El Al, although issues with hand luggage - the aircraft was full and ground team were very soft - this causes 30 min delays as they had to take down lots of luggage from the cabin.",Business,3.0,nan
Boeing 737-900ER,Business Class,5.0,January 2018,4.0,5.0,4.0,yes,Tel Aviv to Rome ,3.0," | Flew Tel Aviv to Rome. Flying business in single aisle aircraft in Europe is usually getting the same seats but without the middle seat occupied. On El Al you get 2x2 configuration with nice business seats and full business service. The seats are hard and manual but its dramatically better vs other options. The service on this flight was nothing beside perfect. Warm welcome, super professional and nice team. Really can be a top service in any airline.",Business,5.0,nan
Boeing 737-900,Business Class,5.0,January 2018,4.0,1.0,3.0,no,Munich to Tel Aviv,4.0," |  Munich to Tel Aviv. We can even start before explaining the check in and security process for El AL in Munich, which is the most complicated and unfriendly. Its start in Terminal 1 (the old one in the Airport), then goes to check in K. this check is located after the parking area. At the beginning you think you are lost. But that’s the direction. Then you arrive to the separated terminal dedicated to ElAl. No lounge for business class, slow check in and security, no shops or proper drinks (small kiosk with basic things). Flight with a friendly and professional air crew but who will remember that after the long long way to this terrible terminal.",Business,2.0,nan
Boing 787-9,Economy Class,1.0,December 2017,1.0,1.0,1.0,no,Newark to Tel Aviv,1.0," |  I have never been that much disappointed at a flight company. El Al has the worst service, worst meals, and worst manners i have never seen. I flew from Newark to Tel Aviv on the 28/12/2017 on the flight that is supposed to take off at 19h45. Although I booked 2 tickets when made the reservation, I was not even sitting next to my fiance. We asked to have the places changed, and a  rude lady told me the flight was full and she could not do anything for us, then when boarding she actually changed my fiance's seat to a more far away place. Once in the airplane, we discovered all seats were mixed up and everyone was trying to change seats and it was a big mess, we had more than an hour delay on the aircraft because people were being off boarded and their luggage needed to be found in the hold. We could not sleep in the plane because everyone was standing and even before we land the captain was begging the passengers to seat because they were already waiting with their suitcases. Last surprise was finding my luggage broken with things missing and my padlock disappeared with the zip. When going to the claiming counter at the airport, the lady told me that the zip was not included in the insurance, and she could not do anything for me. ",Couple Leisure,1.0,nan
