Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
A380 / A330,Economy Class,1.0,July 2018,3.0,1.0,3.0,no,London to Kuala Lumpur via Abu Dhabi,3.0," |  London to Kuala Lumpur via Abu Dhabi. The worst flight experience I have had in all 24 years of my life (inclusive of budget airlines). Mainly due to - upon arrival in Malaysia from London just 2 days before my relative's wedding, of which I was an organiser - my check-in baggage being left behind in Abu Dhabi, which had my wedding ceremony clothing and materials. Thanks to the worst possible timing for a baggage delay, I have had to sink my savings to get backup, subpar clothes for what was otherwise a perfectly planned wedding! This is not the first time I've heard of Etihad's baggage handling issues, and I regret not listening closer to friends' advice. To add salt to injury, stewardesses on the flight were rude, one of which said during meal service, ""we only have the vegetarian pasta option, is that okay?"", with her hand already half outstretched with the tray close to my table. She could have some common courtesy and ask for my preference first! I have had better and more courteous service on Easyjet and Ryanair. Unfortunately I have a return flight leg from Kuala Lumpur back to London and I am nervous thinking about what problems are going to surface on that leg of the journey. If I could afford it, I would rather purchase another airline's tickets and take a longer transit than fly this airline again.",Couple Leisure,2.0,1.0
nan,Economy Class,nan,September 2017,nan,nan,nan,no,Dublin to Brisbane via Abu Dhabi,nan," |  
I logged online to upgrade 3 of our 10 travelers to extra leg room seats. My parents and my partner and infant. When one of the seats was not assigned, even though I had paid for it, I called the help centre to find out why. When I spoke to the agent he told me I had not selected extra leg room seats, rather standard seats. These travelers already had standard seats allocated beside the rest of my family, before I went online to upgrade, so I ultimately chose seats away from the rest of our family for nothing, because I thought they were extra leg room seats. When I asked could I still get the extra leg room and pay the difference they advised me I will have to pay full price, the money I already paid 321 odd euro will be lost in the process. I am shocked and feel like I have been robbed. An honest mistake, which they found out about with 10 minutes of my doing So, meant nothing to them. Also, the seat I assigned for my partner and my child in the same transaction did not get allocated but I got charged for it. So they are also in the wrong. I am just been fobbed off every agent I speak to. Policy policy policy is all I am hearing. They do not seem to take general misunderstandings into account. There should at least be some sort of grace where time is concerned. They were aware I had made the error within 15 minutes. Why is there no proper customer service within this company. Nobody cares that I am in more debt with nothing now to show for it. My parents will have to suffer on their first ever flight, 24 hours long, with no space. This airline has absolutely no consideration for their customers if this is how they treat us when a mistake is made. They keep saying it was my mistake but they never allocated a seat for my partner so they too made a mistake, where is their liability? I am in dismay by the lack of understanding in a genuine case. I already had seats before I went online. Surely they could see this was an honest error made. We paid over 10,000 for our group trip, now an added 321 for nothing. Worse seats than what I had initially.",Family Leisure,1.0,nan
nan,Economy Class,1.0,July 2018,1.0,1.0,nan,no,Riyadh to Tokyo via Abu Dhabi,1.0," |  Riyadh to Tokyo via Abu Dhabi. Airline staff forced me to check a bag that was carry on size, resulting in a $320 baggage fee. Bag’s handle was destroyed in route, so I contacted their customer service. Representative was unhelpful and I wasn’t given so much as sky miles for my damaged bag. Will never use again.",Business,1.0,nan
nan,Economy Class,2.0,July 2018,2.0,1.0,2.0,no,Athens to Brisbane via Abu Dhabi,2.0," |  Athens to Brisbane via Abu Dhabi. Etihad has the worst customer service I have ever received. They overbooked our flight from Abu Dhabi to Brisbane, and the man who was telling us this was smirking the entire time. They were all very rude and not one person apologised for the overbooked flight. This route is a once a day flight so we had to wait over 2 hours for our bag to get back to us before they put us up in a 3 star hotel. I would never fly Etihad again based on this experience. No apology and no refund and the flight tickets were not cheap either. Avoid!",Couple Leisure,1.0,1.0
nan,Economy Class,2.0,July 2018,1.0,2.0,4.0,no,Abu Dhabi to Bangkok,1.0," | Abu Dhabi to Bangkok. This is a general review, I use Etihad quite often because it operates from my home city and the airmiles accrued through my credit card give me Gold Class membership which allows Business Class service prior to boarding the flight. About 8-10 years ago Etihad was my favourite airline edging out Emirates, Singapore and Qatar. It has steadily deteriorated since that point and for the last few years has felt like a budget airline. It feels like everything is run for the benefit of the airline and the customer is just a cash cow. It is the only airline I now that regularly boards the passengers one hour and 15 minutes before scheduled departure and is almost always late to depart. My last few flights menat that we were boarded almost two hours before take off and that makes a long haul flight that much more uncomfortable. During the two hour wait there are no refreshments and no entertainment. Two bum numbing hours without even a view out of the window as distraction. The refreshements seem to be fewer and further between, even the in seat call button frequently fails to get a response. During my last flight, the meal options were beef, chicken or vegetarian when I asked what the dishes were I was told again 'beef or chicken' I eventually established it was beef and rice or chicken and rice (I didn't ask about the vegetarian option). Airline food is universally mocked for being generally unpalatable but I remember that several years ago Etihad in-flight food as being something that I actually looked forward to. The food on my last flight (Bangkok - Abu Dhabi) was amongst the very worst I have ever had and I left all but small sample bites from the dishes. I also noticed on my last trip that Etihad are now offering an option to buy extra food items. A five star premium airline that sells snacks!! I'm sure that the decline in quality of the food and the introduction of paid for snacks is no coincidence. The entertainment system is still very good but it is switched off unceremoniously about 30 minutes before landing. Some airlines have the entertainment available from the moment you sit down until the time to leave and when I enquired why this isnt possible with Etihad I was told it was for safety reasons. Maybe Etihad have different safety regulations to other Middle East carriers but I suspect that it is so they can collect in the headsets early - which summarises the apparent Etihad policy of prioritising airline convenience over customer comfort. At every stage it seems that costs have been cut and cut and cut and has turned what once was a premium airline which was a pleasure to fly with, into a hollowed out shell with stressed staff, disgusting food, poor service, scant regard for customer comfort and an unwavering eye on the bottom line. In short a budget airline in all but name and price. Think twice before using this airline.",Solo Leisure,1.0,nan
A320,Business Class,3.0,July 2018,nan,3.0,nan,yes,Bahrain to Abu Dhabi,3.0, | Short flight from Bahrain to Abu Dhabi and the plus side was the departure and arrival was spot on so no worries on connecting flights having issues. Service inflight was quite efficient with a clean Cabin. Let’s hope scheduled timing is kept up.,Solo Leisure,3.0,nan
A380,Economy Class,1.0,July 2018,1.0,1.0,1.0,no,Abu Dhabi to London,1.0," |  Abu Dhabi to London. Worst airline ever.  Aircraft was way too cold. No way for any passenger to control air con. In flight entertainment was lacking, Emirates and Saudi Airlines far better! The cabin crew who were over stretched for the amount of passengers. Would never fly Etihad again. In flight meal was lacking badly.  It’s a shame it won’t let me leave a 0 out of 10!",Family Leisure,1.0,1.0
nan,Economy Class,1.0,July 2018,1.0,1.0,4.0,no,London to Bangkok via Abu Dhabi,2.0, |  London to Bangkok via Abu Dhabi. First and last time I will ever fly with Etihad. Their baggage policy is ridiculous even if you are just a little bit over the allowance they will charge you extra. It's as if they get commission on these extra charges. They weigh and add every bit of luggage you have even carrier bags that might contain a jacket! Lots of passengers packing and re-packing to meet the weight guidelines. The food selection is bad. Good entertainment system altho it suddenly stops 30 minutes before landing. All other airlines entertainment you can play right until taxiing.  Avoid Etihad.,Solo Leisure,1.0,1.0
nan,Economy Class,1.0,July 2018,1.0,1.0,1.0,no,Perth to Rome via Abu Dhabi,1.0," |  I traveled Perth to Rome via Abu Dhabi at the beginning of July alone with a one year old baby. I travel to Italy once a year and i usually go with Emirates or Qatar. This time I chose Etihad mainly because of the inflight nanny service. This service wasn't available on my flight and only found out on the day I flew out. The planes were both very uncomfortable, and no comfort kit or baby toys were offered (as Emirates and Qatar  do). Although I requested baby food, nothing was provided. During the flight no one of the staff came and asked if I, a mum traveling solo with a young child, needed help. (Last year Qatar flight attendants came several times making sure all was good and gave me baby food, toys and a pouch with baby lotions and nappies). The food for adults was barely edible and there was no meal choice. I think Etihad has to be considered a low cost airline not a 5-star and should definitely cost less, much less as it is so bad. Not worth the money! It cost more than Emirates and Qatar but it's worth zero compared to them. I will never choose Etihad again or recommend it.",Family Leisure,1.0,2.0
A380,Economy Class,1.0,July 2018,1.0,1.0,1.0,no,Abu Dhabi to London,1.0," | Abu Dhabi to London. Very bad experience with Etihad. Not enough cabin crew for flight, air conditioning is not through individual vents like other A380s, cabin crew are very rude. IFE system is not up to date & not a lot of choice, no food menu offered (when compared to other Arab carriers menu offered). 4 toilets were not working on this flight. I have no intentions of flying Etihad again. Overall very poor.",Family Leisure,1.0,1.0
