Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,2.0,July 2018,nan,1.0,1.0,no,Stuttgart to London Heathrow,2.0, | Flight from Stuttgart to London Heathrow was delayed three times. Eventually we departed 2h35 late. Zero communication from staff as to what was going on. Zero apology from crew. Zero drink/voucher offered. Will not be flying with Eurowings again.,Solo Leisure,2.0,1.0
nan,Economy Class,2.0,July 2018,1.0,1.0,1.0,no,Koln to Budapest,2.0," |  Second time I have flown Eurowings - never again. It is a truly miserable airline. The first time I flew (Koln-Zurich) my first flight was delayed 2.5 hours, and my return flight was delayed 1.5 hours. However, that is pleasant compared to my most recent experience, a Friday night flight scheduled from Koln-Budapest. After waiting more than three hours after hour initial 6:10 departure time, we boarded the plane. It was at that point that the pilot came on the intercom and informed us that the flight had exceeded the maximum time a flight crew is allowed to be ""on"", and thus the crew could not fly us. This was intentional - the delay was publicized fairly early, and avoiding the regulation would have literally been as simple as looking at one's watch. Additionally, there were only two staff working the customer service line for several hundred passengers. Took roughly an hour and a half to move thirty people through before me - can't imagine the people in the back of the line. Once I got to the desk, my questions were ignored and I was handed a ""Customer Relations"" card with a phone number that rang for over an hour with no response. Flight was delayed until the next morning at 10:10 AM, which means that everything I booked in Budapest (a little under 200 Euros) went by the wayside without being used. Absolutely pathetic airline. Your flight will not take off on time. The staff will try to scam you (and deny the EU regulations regarding passenger rights that are a) easily available online b) on a card in the airport). You would be better off walking.",Solo Leisure,1.0,1.0
nan,Economy Class,nan,July 2018,nan,1.0,nan,no,Cologne to Stansted,nan, |  Cologne to Stansted. This was a disastrous experience and will never fly with Eurowings again. First up on my outbound flight I was refused boarding saying that my passport had only 3 months left on it despite not needing a visa to travel to Germany. My visit to Germany was for just 5 days. Ended up using the train. On the return flight the flight was delayed by 75 minutes and upon reaching London had to pay extra money for overstaying in the car park. On top of it my baggage was damaged by handlers. No apology has been offered. Have put in a claim and up to now they haven't acknowledged anything only to be given a claim/ticket number. Have emailed numerous times for update on the claim all I get is Zero response. Will never use them again.,Solo Leisure,1.0,nan
nan,Economy Class,5.0,July 2018,5.0,5.0,nan,yes,London to Hamburg,5.0, |  London to Hamburg. Had a disastrous time checking in at Heathrow and have written a full review on this. However Eurowings were very helpful as my mother is very elderly so has less mobility. Eurowings crew ensured my mother got to her seat safely and even radioed ahead for wheelchair assistance at the aircraft door when we landed. The seats are very comfortable and for once people are given free soft drinks and a snack. I would say better than BA in this instance.,Family Leisure,4.0,nan
A320,Economy Class,4.0,July 2018,4.0,3.0,nan,yes,Munich to Dortmund,4.0," |  I was flying from Munich to Dortmund on Eurowings. This flight is also a Lufthansa codeshare flight. At Munich Airport, Eurowings departs from the modern and sleek Terminal 2 (i.e. the Lufthansa terminal). Eurowings has its own counters with its own agents and a different booking system, therefore its not possible to check in at the Lufthansa counters. There is a separate counter for Business Class/HON/FTL/Sen passengers. While Eurowings is not part of the Star Alliance, they have an agreement with Air Canada/United/ANA so that as a United Gold passenger I could use the lounge and priority check-in. No priority bag tags, though: they do not have them at all. The flight itself was good. In the so-called Smart fare a sandwich and a non-alcoholic drink plus water were included. Foodwise that is more than Lufthansa would offer on a domestic flight. The first ten rows have regular Lufthansa legspace, beginning in row 11 it is much more narrow. There was an additional 5€ charge for a seat in the first ten rows even in Smart fare/UA Gold. Crew was good. Flight was on time and boarding easy. I still prefer full-service carriers, but if Eurowings is considered low-cost than it is probably the best low cost carrier for me. Sidenote: The business class fare would have been 30€ more expensive.",Business,5.0,nan
A319,Economy Class,4.0,July 2018,4.0,4.0,nan,yes,Dusseldorf to Hamburg,4.0, |  Originally my Eurowings flight from Dusseldorf to Hamburg was supposed to depart on the 9th of July at 8.45 pm but unfortunately that flight got cancelled. I went up to the Eurowings Counter where they had already organized a room in the Maritim Hotel at Dusseldorf Airport including Dinner and Breakfast. And they gave me a seat on the next available flight at 06.40 am the next morning. The extra leg room seat was very comfortable as well. The Service on the aircraft was very professional and good.,Solo Leisure,5.0,nan
A320,Economy Class,5.0,July 2018,5.0,5.0,5.0,yes,Dusseldorf to Bucharest,5.0," | Dusseldorf to Bucharest. This was the first time I flew Eurowings. While boarding seemed to take forever, it was well organized and there was plenty of room at the gate for all the passengers. The on-board experience was very pleasant. The cabin crew was very friendly and courteous. The seat was more comfortable than other low-cost airlines. I also greatly appreciated being allowed to take my hand-trolley on board, boarding the flight through a jet bridge, rather than a crammed bus and, most of all, being able to select a seat for free. I will definitely fly Eurowings again in the future, it's a great airline for short-hauls flights.",Solo Leisure,5.0,1.0
nan,Economy Class,2.0,July 2018,nan,1.0,nan,no,Dublin to Berlin via Düsseldorf,2.0," |  Flight from Dublin to Düsseldorf was last minute delayed-at first 20 mins which turned into an hour and a half. Finally arrived in Düsseldorf now to find the next flight from Düsseldorf to Berlin has also been delayed by an hour, although it could be more. Several other of their flights displayed on the airport screens are also delayed. Not going to make public now resulting in an expensive taxi fare. Poor conduct and frustrating travel. Should’ve spent the extra to fly with somebody more reliable",Solo Leisure,2.0,nan
nan,Economy Class,nan,June 2018,nan,1.0,nan,no,Vienna to Miami via Dusseldorf,nan," |  Vienna to Miami via Dusseldorf. I didn’t even get to go on it because of their last minute cancellation, within less than 12 hours from departure. Besides the awful inconvenience of missing the trip, I have lost over €400 euros that the airline has failed to compensate. I have tried everything to communicate with them, I wrote an email and the auto-response answered I’d be contacted by Eurowings within six weeks. I talked to them at their Vienna airport counter and the airline staff misinformed me passing me on to some department that didn’t even have to do with my claim, and all the contact phone numbers they provide will make you wait hours on the phone without an answer, besides charging for the call. Eurowings offers really poor customer care, avoid them if you can.",Solo Leisure,1.0,nan
nan,Economy Class,2.0,June 2018,1.0,1.0,1.0,no,Stansted to Dominican Republic via Germany,1.0, | The flights were late we were dumped at the wrong airport and are hundreds pounds out of pockets. Staff on the ground didn't give a toss about this and just dismissed our worries. We voiced our concerns and the issues but all that happen we were downgraded to basis flights. I called customer services and after 45 mins I was cut off. It took the airlines 3 days yes 3 days to get to our resort and still waiting for contact from them to see what they are going to go about it. It ruined our holiday completing and then on the way back we got sent to another airport but not the one we expected to be at. Had to pay for another set of coach tickets home another £101 and rebook the taxi. Never in my life time will I use this airline again. Staff were rude and just brush us off.,Couple Leisure,1.0,1.0
