Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
Boeing 787-9,Business Class,5.0,July 2018,3.0,5.0,3.0,yes,London to Bahrain,5.0," |  London to Bahrain. I'm a regular on the LHR-BAH route but this was the first time on the 787. A huge improvement generally compared to the A330, and that certainly wasn't bad. It's very quiet and smooth, and the new staff uniform is very smart. The seat is excellent and all-aisle access is a good move. The handheld IFE controller is a down point though,  not very intuitive how to use it. In fact, IFE generally is a miss... the screen is massive and high quality, but the film and TV selection is small, and seems to just be lifted from the A330, a big miss to upgrade this. Gulf Air food is normally very good but on this flight it wasn't great, with a dry prawn salad and a massively overcooked beef dish. However, I think this is a one off that I can forgive based on history. Little things matter, so for the first time I've seen on a GF flight, they handed out landing cards whilst en route - just made arriving a bit simpler. So overall, a big jump in the right direction, but don't waste the excellent IFE screen with poor content.",Business,4.0,nan
nan,Economy Class,5.0,July 2018,3.0,3.0,2.0,yes,London to Islamabad via Bahrain,4.0," |  An okay experience overall, London to Bahrain, then to Islamabad, IFE was very limited and a little outdated, the connecting flight to Pakistan had no IFE. The meals were hot on both the outgoing and return flights, cabin crew were attentive, Nothing to complain about, nothing to overly praise either, I am not sure if they are competing with the other Arab region airlines, if they are, Gulf Air still have a little way to go.",Solo Leisure,4.0,nan
Boeing 787-9,Business Class,5.0,June 2018,5.0,5.0,3.0,yes,Dubai to London via Bahrain,5.0," |  I think I have flown with Gulf Air on and off for 36 years and they have had some highs and lows but I have stuck with them as service levels have been good and in premium class have always tried very hard. They now have a game changer in the shape of the Boeing 787 twice daily to London. I chose them over a UAE direct route as in the busy summer period the fare was 80% less though still considerable. Decent lounge in Bahrain, short flight in from DXB good breakfast served. London leg in the new 787 is fantastic, champagne good on the ground lounge at LHR T4 very calm and civilised. The new seat is well contained but with aisle access, gracious cabin crew, wonderful Sky chef both ways and the crew worked non stop with about 2o pax both ways. Food is served individually, delicious desserts trolley served, afternoon tea round 2, on time. AVOD is only about 60 movies, also wine lists had not been printed. Aircraft is only a month old and comfortable. ",Business,4.0,3.0
nan,Economy Class,2.0,July 2018,1.0,1.0,2.0,no,London to Dubai via Bahrain,2.0, |  London to Dubai via Bahrain. The first leg of the outward journey was fine - we boarded and departed from Heathrow on time and the crew were professional and efficient. Then we got to Bahrain and quality went out of the window. The Gulf Air ground crew were rude and insolent. Then the flight crew didn't bother to turn up on time and the flight to Dubai was delayed - no word of explanation or apology. The flight attendants seemed unable to communicate verbally. I am now on the return part of my journey and sitting in Dubai airport where (surprise surprise!) the flight to Bahrain has been delayed by 1.5 hours- once again with no explanation. I will undoubtedly miss my connecting flight back to Heathrow. Gulf Air? Never again!,Solo Leisure,1.0,nan
A330 200,Business Class,3.0,August 2017,3.0,3.0,2.0,yes,Paris to Bangkok via Bahrain,3.0,"Bon rapport qualité/prix, nourriture et service correct, siège confortable mais pas totalement à l'horizontal. Avions à l'heure, salons confortables. RAS, je recommande .",Solo Leisure,4.0,nan
nan,Economy Class,3.0,June 2018,1.0,2.0,2.0,no,London to Islamabad via Bahrain,2.0," | I flew from London to Islamabad (via Bahrain) with Gulf Air on 11 June. I checked-in two bags in London. Only one bag arrived in Islamabad. The missing bag arrived one week later! There was no apology from Gulf or explanation why it had taken a week for my bag to arrive. Customer services were poor. My advice would be not to travel with Gulf. There are plenty of other, better airlines operating in the region with more convenient routes and flight times.",Solo Leisure,2.0,nan
A330 / Boeing 787-9,Economy Class,4.0,June 2018,4.0,3.0,4.0,yes,London to Bahrain,5.0, | London to Bahrain. I fly Gulf Air regularly to the UK and around the gulf region so this airlines suits me fine with good routes and timings. I've found them punctual nearly all the time. The service on the ground and on board is acceptable. This was interesting for me because the return was on one of their brand new Dreamliner planes (3-3-3 economy configuration) and it was pretty comfortable. I was lucky as the plane wasn't completely full. The armrests lift up fully and so following meal service I was able to get some sleep across the three seats. Perfect.,Solo Leisure,4.0,nan
nan,Business Class,3.0,February 2018,2.0,2.0,nan,no,London to Dubai via Bahrain,1.0," |  London to Dubai via Bahrain. I flew with my family and my wife’s chair didn’t work, I complained on the flight and they then moved my wife and daughter some rows behind us, this was done by moving a single passenger to the seat that was working.  On the way back my wife’s chair didn’t recline and again the same nonsense! Not to mention that Gulf cancelled my connecting flight from Dubai to Bahrain but chose not to rebook it. I found this out when I then tried to call and double check all my details. I made a formal complaint to Gulf air who took 2 months to respond, they accused me of lying. They are the poorest airline I have ever flown with.",Family Leisure,1.0,nan
nan,Economy Class,5.0,April 2018,5.0,4.0,4.0,yes,Athens to Mumbai via Bahrain,4.0," |  Athens to Mumbai via Bahrain. It was a great experience particularly while travelling from Bahrain to Mumbai. I was very happy  with the hospitality of one of the hostesses, she was so helpful and courteous.",Couple Leisure,5.0,nan
A320,Economy Class,2.0,April 2018,2.0,1.0,2.0,no,Abu Dhabi to London via Bahrain,2.0," |  Abu Dhabi to London via Bahrain. They won’t honor your seat assignment even when you go to the trouble of checking in online and have a confirmation (my seat was 12D, but during the boarding process they changed it to row 28 - the last one in the plane!). On my outbound flight they lost my luggage and  couldn’t print my boarding pass for the second leg of the trip causing me to stand in line for over 30 minutes at the Transfer Desk in Bahrain to get it printed and almost missed my connection.",Business,2.0,1.0
nan,First Class,nan,nan,nan,nan,nan,no,nan,nan,CDG to BAH return. Booked on Business was put in Falcon Gold which is the former 1st class. The 8 front seats on the A330 although well worn are comfortablek. With the help of the stewardess managed to lay flat during the night flight but took care not to touch anything until breakfast. The maintenance is obviously poor as I was not the only one with this problem. IFE is not to today's standard (limited choice of films and language and you have to wait for the film to begin without knowing when it will). Breakfast good but the meal on the in-flight was definitely not first class and wines were lower range. Crew in this cabin was nice both ways. No bar open between services. All in all not what you expect from 1st class.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,CAI-BAH-DXB in Y class. Check in at CAI was smooth. Cabin crew seemed generic and left no impression despite a relatively light load. A340 is by now unbearable and I do recommend against flying GF on their A340s. Wonky IFE bad seats shabby interior make for a really bad experience. Catering was quite poor - the main was alright but salad/desert were terrible. No bread or butter to be seen. Cabin did not give each passengers their own soda can which I find disappointing considering the amount of money a ticket costs. Transfer in BAH was smooth and efficient and I would rate the transfer experience ahead of DXB AUH and even DOH. More seating space in BAH than there was a few years ago. Second leg was an A330-200 better interior snack box more worthwhile and friendlier crew. GF really does need to re-motivate its employees and get rid of those A340s. I find QR to be the better airline although it isn't quite value-for-money as GF is.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,London Heathrow - Bahrain. Flight wasn't full so I found a 3-Seater at the rear end of the A340 and slept. Breakfast was great and attendants professional. Gulf Air needs to replace their aging A340.,nan,4.0,nan
