Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
Boeing 787-9,Premium Economy,5.0,July 2018,4.0,5.0,5.0,yes,Sydney to Tokyo,5.0," |  This was my first time traveling with Japan Airlines and  I could not have been more happier. I made sure to arrive early to check in as me & my partner could not find any seats together. Upon talking to the check in staff they were able to give us a free upgrade to premium economy in order to compensate not being able to have me and my partner seated together on our booked economy fare. I was so shocked by the kindness and sincere empathy the check in staff had in regards to my situation. It was definitely an amazing start to the trip. Apart from being upgraded, JAL's amazing service continued to shine through its efficient ground staff, seat product and service on board. My first encounter with Japanese efficiency transpired with JAL's extremely fast and efficient boarding process. I was one of the first to board and it felt like 5 minutes after I sat down we were already on pushback, boarding literally took about 10 minutes which was amazing for a full flight. Boarding being done quickly meant we had a prompt ahead of schedule departure which was fantastic knowing how busy Sydney Airport can get traffic wise during the morning rush. Staff were very welcoming and friendly. Also, the cabin seemed extremely clean. The toilets were clean and hygienic. During meal service, staff were generous with the food & beverage offerings. Food is never an aspect of air travel I like, however, Japan Airlines offers a range of food options throughout the flight and you can pick up or ask for fresh food like instant noodles, chips, biscuits and chocolate. I couldn’t stomach the lunch service, however the instant noodles were a life saver. There was also regular hot towels distributed through the flight which made it a nice touch. One interesting observation I made was the lack of odour in the cabin. You know that strong aroma you get during the food service in which kind of makes you want to gag (well... at least for me)? Or when the cabin crew usually run drinks service and the whole cabin gets infused with the horrible bitterness of bad coffee? Well there was none of that here, It was very pleasant. I found JAL's IFE to be one of the most responsive I have experienced. The flight map is so interactive and explorable. You can zoom in and out of the map and get detailed views of your flight path. The entertainment selection was also excellent and there are movies in over 20 languages! Being onboard the Boeing 787 also meant the windows are big and the electronic tint provides a calming ambiance to the cabin. This is matched with the soft warm white lighting which was turned on after lunch so people could relax. And later on the flight when the lights were turned off a gentle purple illuminated the ceiling.  Overall, Japan Airlines proved to be one of the best carriers I have ever chosen to fly with. From the moment of check in to disembarkation, Japan Airlines truly lived up to my expectations of being a 5 star Skytrax airline.",Couple Leisure,5.0,nan
Boeing 787-900,Economy Class,4.0,July 2018,4.0,1.0,4.0,yes,Tokyo Narita to Kuala Lumpur ,4.0," | Flew Tokyo Narita to Kuala Lumpur. Check in line at Narita was not as efficient as expected of JAL and the queue was very long. Spent almost an hour in the line and the ground staff were not too friendly. Things changed on board as the service was impeccable as usual and the seats, in-flight entertainment, and meals were perfect.",Solo Leisure,3.0,4.0
Boeing 787,Business Class,5.0,May 2018,5.0,4.0,1.0,yes,Tokyo to Melbourne,4.0," | First time with Japan Airlines. The flight to Tokyo was late at night, so not much to report. The return flight was during the day and was mostly excellent. Highlights are the excellent service and the food. Just wonderful. Unfortunately, there are lows and they related to hardware and software. The seat is comfortable, however my window seat had almost no storage space except for among the magazines next to the screen (see pic). The IFE is truly sub-standard. Very few movies, the music select was small and in each category there were only a few tracks. Painful to operate as well. This is nickle and dime stuff in a premium product and a pity as the service is so very good.",Couple Leisure,4.0,nan
nan,Economy Class,5.0,June 2018,5.0,5.0,5.0,yes,Tokyo to Ho Chi Minh City,5.0," | Tokyo to Ho Chi Minh City. This is probably the best flight crew I have ever had. I lost a bag with souvenirs for my parents inside which is totally my responsibilty for losing it. I informed the police at the airport and he guided me to the information counter to the JAL staff. They were calling and running to get my lost package. This is amazing, never thought I could claim my baggage again. Through this I want to thank the police officer that helps me and staff from JL079.",Solo Leisure,5.0,5.0
Boeing 787-8,Business Class,3.0,March 2018,4.0,3.0,3.0,yes,Tokyo Narita to San Diego,2.0," |  Tokyo to San Diego. I have had four Japan Airlines flights in the past 30 days, all the flights were in business class. There is a huge difference between the business class offerings of these flights. The 787 is a great aircraft.  US Immigration in San Diego is quick and efficient. JL65/66 very poor and uncomfortable business class seats. I am very surprised that JAL would use old seats in a new aircraft. The pillow is tiny and inadequate. Service is not up to the normal JAL levels. Narita immigration is very slow. Positives for flights #01 & #02. - Super seat layout. - Very comfortable seats. Super attentive service. Haneda immigration is super fast.",Business,3.0,3.0
Boeing 777-200,Business Class,5.0,April 2018,4.0,4.0,3.0,yes,Singapore to Tokyo Haneda,4.0," |  Singapore to Tokyo Haneda. This is one airline I would definitely fly again if heading towards Japan or onwards to USA. It represents great value for money when compared to other premium Asian carriers who  charge 40-50% more for the same product / route. Haneda is a great airport and ground services are in line with any major international airport. Once onboard, one was greeted with warm smiles and friendly approachable service. In flight amenities are within expectation for J, with a (mouth) moisture mask, eye mask, toothbrush, hairbrush and ear plugs. Additionally a pyjama top  is also handed out sometime before or after meal service; as well as a refreshing eye moisture freshening mask before landing. Oddly though, the pyjama vest was offered to me on the day flight back but not the red eye going into TYO. As for the most crucial component of the flight, the herringbone arranged seat - cushion comfort is better than SQ though one still struggles with the non-linear layout somewhere between the pelvis (protruded by the outer front shell) and the left (or right depending on yr location) ankle position which comes into contact with the inner wall curvature. Food wise, the Japanese meal set was excellent- sushi and accompaniments were top notch and fresh. One could also enjoy premium arabica coffee, and on demand cup noodle snacks if needed. Overall, I would definitely try JAL out again simply because their service is excellent and the cabin product is in line with most of the premium Asian carriers.",Solo Leisure,5.0,3.0
Boeing 777-300,Business Class,5.0,April 2018,4.0,5.0,4.0,yes,Tokyo Haneda to New York JFK,4.0," | JAL didn't disappoint for the most part. The check-in at Haneda was fast and accommodating. I say accommodating because they checked my luggage all the way through to my final destination on American Airlines connecting flight, despite the fact that these were two separate tickets. It seems a small thing, but it was major for me as JFK is a nightmare to connect through. On top of that, the agent gave me my boarding pass for the American flight! Onboard both directions the seats were wide and comfortable. I'm very large and I didn't feel particularly cramped or hindered even when in full recline. The seat cushions themselves are a bit thin, but they do have the extra air weave pads to help with this. Looking around the cabin, you can't help but feel it needs a refresher, but it is perfectly comfortable. The service onboard was kind and fast! They have an onboard order as you like service after the main meal and the food comes to you incredibly fast. The handset ordering function for this food was broken/unavailable both directions, but the response time of the FA was speedy. The food was good and you will not starve. However, if you are particular about your diet in any way, you may wish to order special meals. The western and the Japanese meals one way both featured beef which I don't eat. With the large a la carte menu it is easy enough to work around, but I found the set menus of the first meals to be really limited. AVOD was adequate and better than I remembered. Luggage delivery on the return from JFK was very slow, even for priority service. I'll probably fly them again, especially on the Haneda flights internationally.",Solo Leisure,4.0,nan
Boeing 787-8,Economy Class,4.0,March 2018,1.0,3.0,2.0,no,Tokyo Narita to Vancouver,1.0," |  Tokyo Narita to Vancouver on Boeing 787-8 in Economy. Was looking forward to this flight but was really disappointed. The aircraft is one of the first generation 787 and although it's not that old, it felt that way onboard. IFE is using Magic V on this particular aircraft, there was limited content and only few New Releases. Response time is good on the touch screen. Food is the part that I was most excited about but it turned out to be my biggest disappointment. It was probably my high expectation based on the promise of ""Collaboratively-designed menus by 6 young talented chef"" according to their website. I appreciated the metal cutlery though. The food itself tasted bland. The side dishes are OK and the miso soup was a nice touch but oh so salty.There are only 2 meal service and the last one does not give you a choice but the Soba was ok. They also does not give the whole can of Soda unless you ask for it specifically. Flight Crew - very polite, smiles a lot and efficient. Seat felt cramped and I'm only 165CM. When the passenger in front of me reclined her seat, the backseat TV was almost touching my face. Overall, the experience was not horrible. Would I fly JAL again? Most likely if the fare is good, but will bring my own food just to be on the safe side.",Solo Leisure,3.0,nan
Boeing 777-300ER,Economy Class,5.0,March 2018,5.0,1.0,4.0,yes,New York to Tokyo Narita,2.0," |  New York to Tokyo Narita. Return flight, same high quality service inflight as outgoing flight. Ground service at JFK a different story. Several check-in staff members unable or unwilling to speak Japanese to Japanese passengers, slowing check-in. Even with English-speaking passengers, check-in took 3x as long as at NRT and was not thorough (security and fragile item questions skipped). Saw staff I remember from previous years’ visits still dealing with passengers like newbies. Delays here compounded delays at security (due to TSA shift change and terminal flight departure bunching). T1 requires removal of suitcase belts due to outdated conveyer equipment. Check-in gate support by same ground staff with same problems. ",Business,4.0,nan
777W,Economy Class,5.0,March 2018,4.0,5.0,4.0,yes,Tokyo to New York,3.0," |  Tokyo to New York. Fast and efficient check-in at NRT; reliable, polite and thoughtful Japanese ‘omotenashi’ on-board service. FA checked with our group leader about student group member needs before departure, and followed up in flight. When they ran out of one of two dinner options at the back of the plane, I accepted what they had, but explained that I would have to eat around the main dish (curry) which contained shrimp I was allergic to. The FA asked for a few minutes, and after passing out the remaining meals, she disappeared into the galley, reappearing with a beef curry not on the menu. JAL also allows larger suitcases (203 instead of the standard 157cm). Unloading time average at JFK.",Business,5.0,nan
