Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
A320,Economy Class,1.0,August 2017,2.0,2.0,nan,no,Shanghai Pudong to Hong Kong,2.0," |  Shanghai Pudong to Hong Kong. Miserable flight experience and try to avoid it ! The flight was delayed for 2 hours due to airline reasons, but no explanation, broadcast or any apology ! Another hour taxing before departure. Thereby, no express service at Hong Kong Airport upon arrival in midnight, and I have to take a taxi. The most horrible is its cabin service. Flight attendants were very indifferent, impatient and grumpy when requested. No welcome and farewell at the cabin door, the crew kept chatting instead. The language skill of cabin crew is ridiculous, and pronounced Hong Kong in Chinese phonetics.  The catering is the same as domestic flights, and far from quality and delicacy. Feel shameful about such a poorly-organized and unprofessional airline !",Solo Leisure,3.0,nan
A320,Economy Class,4.0,June 2017,2.0,3.0,nan,yes,Shanghai Pudong to Xi'an,4.0," |  Shanghai Pudong to Xi'an flight with Juneyao Airlines. Delayed by two hours due to inclement weather, but the communication and information was very poor indeed - there was a blanket refusal to give any information (such as an estimated delay time or even where the plane has left the previous destination). Check-in online does not work unless you have a Chinese mobile phone number, which is a big minus when travelling and forces you to get to the airport early. Juneyao counters do have apparently convenient bag-drop locations. On the positive side, the seats are very comfortable and have head rests (even for a short-haul flight). A hot meal was served on this short 2.5 h flight and the service is better than many Chinese airlines.",Solo Leisure,3.0,nan
A321,Economy Class,2.0,April 2017,1.0,2.0,nan,no,Hong Kong to Shanghai,3.0," |  Flew Hong Kong to Shanghai with Juneyao Airlines. Due to bad weather visibility and air traffic delays we were boarded before we had an air traffic control slot. We remained on the aircraft for over four hours then we were deplaned and were marched through security again taking another hour and a half and reboarded. We eventually took off at 0600, seven hours late. I am amazed that the crew who said that they started at 1600h were within their legal hours. Absolutely no extra food or refreshments whatsoever during the 10 hour ordeal. Worse still no apology, in fact the pilot said nothing. We complained to the ground handling agent asking for refreshments but we were told that one of the worlds busiest 24 hours a day airport could not provide catering. I have been to over a hundred countries on thousands of airlines and never have I been delayed eight hours without an as much as an apology.",Business,2.0,nan
A320,Economy Class,5.0,February 2017,4.0,2.0,nan,yes,Krabi to Shanghai,4.0," |  Juneyao Airlines was a complete surprise. After a painful experience dealing with the crowds of people coming back to China after New Year's Holiday, I was afraid the flight was going to be the same. The experience flying from Krabi to Shanghai was the opposite: the plane was modern, comfortable and clean. Since I didn't know anything about the airline prior to my flight, I thought it was going to be one of those horrible charter airlines, but it's not. The crew were really nice, correct and helpful. The snack was good and the seat was comfortable. The airlines website English version is not really helpful and when you need to do something it takes you to the Chinese version. The cell phone app (at least for iPhone) is only available in Chinese. Not really helpful, but not surprising since I was the only non Chinese in the plane.",Solo Leisure,4.0,nan
nan,Economy Class,1.0,December 2015,1.0,1.0,1.0,no,Tokyo to Shanghai,1.0,"When booking with Juneyao Airlines you cannot book very small children online, you need to call. When you call you find out that the child pays 10%, everything still reasonable. Then you find out your ticket was a discount ticket, you didn't see the full price when you paid, your child pays 10% of full price ticket (which is hugely inflated), and will work out more than your adult ticket. But you already paid for your ticket and with all the cancellation rules you have to pay, so they have tricked you into paying a high price for your baby. What an immoral airline, only a snake could implement an idea like that exploiting families with babies. Of course everybody has to make a profit but you do it by being open about prices and charges. So be careful if you book with them.",Family Leisure,1.0,1.0
A320,Economy Class,5.0,November 2015,nan,5.0,nan,yes,PVG to FUK,5.0,"Juneyao Airlines from Shanghai Pudong to Fukuoka return, both flights on time and with new A320 aircraft, modern, clean, spacious, ground service efficient, cabin crew friendly and helpful. Water and snack provided, no entertainment but it's acceptable for this 1.5hr journy. Airfare is very cheap (only RMB1000 including tax). Overall very enjoyable experience with Juneyao Airlines.",Solo Leisure,5.0,nan
A320,Economy Class,3.0,September 2015,3.0,4.0,nan,yes,Lijiang to Shanghai Pudong via Wuhan,3.0,A reasonable flight for this domestic Juneyao Airlines service with basic food offerings provided on both legs and a choice of drinks on the Lijiang - Wuhan leg (which was the longer of the two). A short 20 minute stop in Wuhan enabled us to make up some lost time from the delayed departure. No inflight entertainment provided so bring your own. Cabin crew spoke limited English but were happy enough to help.,Family Leisure,3.0,nan
nan,Economy Class,4.0,nan,4.0,nan,nan,yes,nan,4.0,Flew Juneyao Airlines for a domestic flight PVG-WUH. The flight left within 30 minutes of scheduled and all announcements were given in both Mandarin and English. There wasn't any in-flight entertainment aboard but it did not matter on this short flight. There was a food and beverage service that began about 20 minutes after take off consisting of a bottle of water and a saucy pork sandwich that was quite good. Arrived in WUH within 20 minutes of scheduled time. Overall a good experience.,nan,4.0,nan
nan,Economy Class,3.0,nan,3.0,nan,nan,no,nan,3.0,First time flying domestic in China WUH to PVG. Used Juneyao as first leg to fly back home to States - bad decision! Juneyao leg delayed by 2 hrs causing us to miss every subsequent connecting flight. We were delayed three days at PVG as our international flight was booked three days out. Juneyao refused to help us out in any way with accommodations or replacement flights. Will stick to trains for domestic travel in China.,nan,2.0,nan
nan,Economy Class,1.0,nan,3.0,nan,nan,no,nan,4.0,I booked a connecting flight with Juneayo from Hong Kong to Qingdao via Shanghai. At the check-in at Hong Kong Airport I was rudely informed by a Juneyao employee it was not possible to check-in for both flights and send the luggage directly to Qingdao. As expected I lost my connecting flight to Qingdao (the flight was delayed I had to pick up luggage in Shanghai and doing the check-in again). The truth is the Juneyao employee in Shanghai was much more polite and they changed my flight with a different company (China Eastern which I recommend never had problems with them) and no additional charges but I got to Qingdao with more than 6 hours of delay (that is later than midnight). It was a long day travelling for such a short trip. Of course I'm never going to travel with Juneyao again. Rude employees in Hong Kong and there is no previous warning about such company politics anywhere.,nan,1.0,nan
