Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Business Class,5.0,nan,5.0,nan,5.0,yes,nan,5.0,MYD-NBO-EBB. Flights were on time on both lags. The Business Class Lounge at the New Terminal 1A was excellent. Nice hot meals of different varieties comfortable seats and sleeping area WC were clean and sparkling. In-Flight and Ground Crew were both very helpful and smiling. The Flight time were short but enjoyed the service.,nan,5.0,nan
nan,Business Class,5.0,nan,4.0,nan,4.0,yes,nan,5.0,My wife and I used the airline for 8 flights to (and in) East Africa from Heathrow recently. The aircraft's were new clean and comfortable. Staff were excellent on every flight and could not have done more for us. Hitherto we have used British Airways because they happen to fly direct to Entebbe but now we will always use their Nairobi connection even though there is a stop off. Kenya Airways attitude and their lovely staff make the B.A. crates and ageing crews on the African routes no longer acceptable.,nan,5.0,nan
nan,Economy Class,1.0,nan,3.0,nan,2.0,no,nan,3.0,KQ861 & 860 HKG-BKK-HKG. First flight with Kenya Airways turned out to be the worst air travel experience. The outbound flight was cancelled without prior notice. Passengers kept queuing in front of Kenya Airways counter at HKG airport with no information. Staff at the counter asked passengers to wait in the queue for hours until finally the airline managed to offer an alternative flight with another airline but will depart 5 hours later. Very poor management of the situation. Passengers were confused and exhausted.,nan,2.0,nan
nan,Business Class,5.0,nan,4.0,nan,5.0,yes,nan,5.0,I am a seasoned business traveller for 40 years. Flew Kenya Airways Bangkok to Dar es Salaam via Nairobi in Feb 2015. Initially was nervous because the business ticket price was so low less than half the nearest competitor. However on the downside flight left 30 mins late (no big deal). On the upside access to Air France Lounge New Dreamliner with flat beds good pillows and big warm blankets great entertainment service was very good and the food was fine. Transit through Nairobi using Simba lounge - good facilities cooked breakfast etc. then onto Dar in an older 737 but still comfortable and well cared for. I have travelled with the best and this was as good as any business class trip I have had with any major airline.,nan,5.0,nan
nan,Business Class,5.0,nan,5.0,nan,4.0,yes,nan,5.0,Flew Business Class round trip CDG (Paris) to/from NBO (Nairobi) on the wonderful new Kenya Airways 787 Dreamliner. (CDG-NBO #113 on Jan-1-15 and NBO-CDG #112 on Jan 9-15) What an airliner and what wonderful service by the caring flight staff. The plane really is the best airliner in the sky right now quiet w/ photochromatic adjustable oversized windows excellent air circulation and higher humidity. As for Kenya Airways they made these two flights extremely comfortable with great food excellent South African wines great lay flat seats (2+2+2 configuration) very adequate inflight AV and very caring services presentation. In addition the Pride and Simba lounges at the new Jomo Kenyatta International Airport Terminal are world class now as well with excellent food beverage TVs quiet areas beautiful bathrooms w/ showers quality WIFI connection - everything you would expect from a Skyteam partner.,nan,5.0,nan
nan,Economy Class,5.0,nan,5.0,nan,5.0,yes,nan,5.0,On this very short flight from Nairobi to Kilimanjaro I flew on a brand spanking new E-190. Was very impressed with the plane - plenty legroom love the big windows and each seat also had its own built-in IFE screen. Never seen that on a regional jet. Staff are very friendly and if you sit on the left hand side of the plane you can see Kilimanjaro towering at 5895 m as you're landing in Arusha.,nan,5.0,nan
nan,Business Class,5.0,nan,4.0,nan,3.0,yes,nan,5.0,I was flying from NBI-BOM and BOM-NBI in 777-300 and return was 777-200 check in went well during both flights. Inflight service was good the flight attendants were polite and helpful. The seats are pretty comfortable. I would recommend this airline.,nan,5.0,nan
nan,Economy Class,5.0,nan,5.0,nan,4.0,yes,nan,5.0,KQ 202 on 3/1/2015. KQ203 on 9/1/2015. NBO-BOM-NBO. First of all I will compliment the New KQ Terminal which is excellent. The flight was on a new Boeing 777-300ER. Departed on time. The flight was full. Meal was good and I asked for a second round. Despite the flight being full the air hostess without any hesitation and with a smile on her face served me for the 2nd time. The seats were comfy and IFE was OK. Needs an update and increase the movie and music options. Return flight was also good. Ground Service crew were all kind and helpful. Departed on time and landed on time to. Would recommend KQ to everyone who would like to travel to KQ route network. Keep up the good work KQ.,nan,5.0,nan
nan,Economy Class,4.0,nan,2.0,nan,2.0,yes,nan,2.0,Flew from Paris via Amsterdam to Nairobi. The 777-300 from AMS/NBO was a new aircraft. The seat width and pitch was OK. The seat back entertainment was fairly limited. The food and beverage service was extremely slow. Bearing in mind that the flight departed at 20.40 the service did not begin for at least 2 hours after take off. Cabin crew was pleasant and helpful. My return flight was on the Dreamliner. The seat pitch and width were OK however the seat itself is very hard I had to use the small pillow they provide to sit on. I can't say that I noticed a huge difference between the Dreamliner and the 777 other that the size of the aircraft. If I was doing that route again I would consider flying with KQ.,nan,2.0,nan
nan,Economy Class,5.0,nan,3.0,nan,2.0,yes,nan,4.0,It was with some trepidation that I used Kenya Airways for a last minute flight up to the UK from Zambia. However I have to say that I was really surprised by how much they have improved in the 6 years since I last used them. The Embraer jet from Lusaka to Nairobi was clean. The meal small but tasty and there was some IFE on the seat back TVs. The plane seemed quite new and the staff efficient and smiling. Punctuality was also excellent. An even bigger surprise was the new modern airport at Nairobi. We were transferred quickly onto the London flight and although it was an older 777 it was not full so there were many spare seats at the back. Again we were on time getting to London. Well done KQ on all that you have achieved!,nan,5.0,nan
