Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
Boeing 737-800,Economy Class,5.0,July 2018,4.0,5.0,nan,yes,Prague to Amsterdam,5.0," |  Prague to Amsterdam. I am very satisfied with this KLM flight. The plane seemed in a very good condition, provided spacious economy seating, had very professional treatment from the ground staff, to the cabin crew, and to the pilot himself who kept us updated at all times, and was able to arrive just on time. The only negative thing I would say is that it lacked entertainment system.",Solo Leisure,3.0,nan
nan,Economy Class,2.0,July 2018,1.0,1.0,1.0,no,Nairobi to Washington via Amsterdam,1.0," |  Nairobi to Washington via Amsterdam. I had a very bad experience flying KLM. I bought my round trip tickets from the KLM official website to fly from Dulles airport to Nairobi and back. I'm a green card holder but my 2 children that flew with me (ages 3 and 11) are American citizens. Flying into Kenya had 1 connection stop at Paris CDG which went fine. Our return flight had 2 connections, Paris and Amsterdam which, to my greatest shock, is not okay with a green card but is ok with an American passport. I requested to have my children fly as unaccompanied minors while I reschedule my flight at extra fees bit I was denied that. All I was told is to exit the airport go home until I could raise enough money to buy new tickets with 1 connection in Europe or reschedule our flight at $817 each to fly the next morning. So, I had to pay an additional $1634 for my children that were in time and didn't need visas to make 2 connections in Europe.",Family Leisure,1.0,1.0
Boeing 777-300,Economy Class,5.0,July 2018,5.0,4.0,3.0,yes,Bangkok to Amsterdam,4.0," | 
Bangkok-Amsterdam with KLM Royal Dutch Airlines. Friendly crew. The food was good with a locally cooked pad thai for lunch. Wine was served, in small bottles, which makes a nice change compared with the wine served straight in plastic glass. You could ask for more, without being given the usual nasty stare. Another meal was served 3hr before landing, nice potato salad with raviolis in tomato sauce. Rounds of drinks were provided during the flight. The IFE was OK. Very nice flight, in a refurbished aircraft. Given the price paid, the flight was excellent.",Family Leisure,5.0,1.0
nan,Economy Class,3.0,July 2018,1.0,3.0,nan,yes,Stuttgart to Amsterdam,3.0," | Flew KLM from Stuttgart to Amsterdam. They were on time, even earlier in Amsterdam, however that time has been consumed by poor airport operations. Good value for money, average seats and meal.",Family Leisure,4.0,nan
Boeing 737,Business Class,5.0,July 2018,4.0,3.0,nan,yes,London to Amsterdam,3.0," |  KLM is a very efficient carrier in terms of its online check in and customer service interface. However the ground service at London was very poor, so were its lounges. Check in at Heathrow Terminal 4 was a nightmare. Despite being a Sky Priority member traveling on business class the queue was long. Later I realised there was technical issue with the luggage belt in the business class check in section. No explanation was given and there was no attempt to serve business class passengers using economy class check in. The Skyteam lounge in T4 was also very poor. It is a very boring and dated lounge and the F&B offers weren’t great. It was far inferior to the Plaza Premium lounge on the other side of the airport. It was very disappointing to see a substandard Skyteam lounge considering they have so many flights out of T4. The service inflight is what really makes KLM a reputable airlines. The crew were chatty and extremely friendly. Everyone received a warm welcome – not only for business class passengers. Breakfast served was decent – fresh juice, good quality yoghurt and warm pastry. Returning journey was as good as outbound. Skyteam (KLM) lounge 52 was large but very basic considering its KLM’s hub. It felt like a waiting room in a large train station. Gate at Schiphol was crowded and boarding was late, but ground staff were friendly. Crew in the cabin again was first class and very elegant. Unfortunately my luggage didn’t arrive in Heathrow, perhaps due to the short connection (1 hour) in Schiphol. The queuing system at luggage enquiry wasn’t great but the handling agent was very sympathetic and knowledgeable. I was united with my luggage later in the evening so nothing to complain!",Solo Leisure,4.0,nan
Embraer 190,Business Class,5.0,June 2018,4.0,5.0,nan,yes,Dublin to Amsterdam,4.0," | Business class return - over night flight. Check in fast with return boarding card offered. DAA lounge ok - flight on time, seats are the same as Y class within more leg space and recline. Business class was full but the crew were very efficient on both legs, friendly, professional, efficient and immaculate presentation. Drinks were flowing and the food for the one hour flight was grilled salmon salad, etc. Bussed to terminal and on the train within 15 minutes. Well impressed with all staff on the ground and air, would use again for sure.",Business,4.0,nan
nan,Economy Class,5.0,June 2018,5.0,4.0,nan,yes,Inverness to Zürich via Amsterdam,4.0," |  Inverness to Zürich via Amsterdam. I always use KLM when I travel in Europe because the staff is friendly, the app is very simple and you get quick notifications when the gate changes or anything else important happens, when my bag got lost, they retrieved it to my house two days later and called me in advance to ask if I am around (luggage can always get lost and is not the fault of the airline). KLM is very professional.",Solo Leisure,4.0,nan
"Boeing 747, Boeing 777 ",Economy Class,3.0,June 2018,1.0,1.0,1.0,no,Chicago to Cape Town via Amsterdam,2.0," | We flew as a family of four from Chicago to Cape Town in June 2018, with tickets booked on Delta.com in January. One among our teenage children is a minor. Apparently, we are required to carry a birth certificate for minor children regardless of being on a US passport, to enter South Africa. KLM did not inform us (1) at the time of booking with their Skyteam partner, Delta, on delta.com (2) during online check-in on klm.com and (3) during check-in at O'Hare. Imagine our shock when they did not allow us to board the Amsterdam to Cape Town flight! What followed was a 48 hour nightmare where KLM showed that they did not care about us as customers. Eventually, we did continue our trip after a lot of welcome help from Delta and a lot of personal cost borne by us. The true worth of an airline shows up when things do not go to script. KLM showed that it has neither the technology, nor the process, or the people to operate as a customer-oriented international airline in the 21st century. Shame on you, KLM, for not taking accountability for your deficiencies and for putting us through hell. KLM does not deserve to be on SkyTeam, and in fact should go extinct just like the 747s it continues to fly from US to Amsterdam or its time honored tradition of skimping on meal service.",Family Leisure,1.0,1.0
Boeing 737,Economy Class,3.0,May 2018,nan,5.0,nan,yes,Paris to Amsterdam,3.0," |  I was booked to fly from Paris to Amsterdam in the evening on KLM, but when I arrived in Paris off another flight, I found out that my flight had been cancelled (maybe due to strikes?). I checked my email and I had already received an email telling me that I had been automatically re-booked onto another flight, which was an awful red-eye overnight journey via Munich - the last thing that I wanted to do after just getting off another 12 hour flight. I went to the Air France/KLM help desk and the kind lady there managed to change my auto-booking to a convenient early morning, direct flight on Air France. She also organised a hotel for the night close to the airport, meal, shuttle and food vouchers, and an amenities kit. The wait time for all this was not too long — maybe less than half an hour — quite good given that there were quite a number of people stuck there. Even though it was quite annoying that I arrived a day late in Amsterdam, I was satisfied with the overall service of Air France/KLM and the way they handled the cancellation.",Solo Leisure,5.0,nan
Boeing 777,Economy Class,4.0,June 2018,5.0,4.0,5.0,yes,Amsterdam to Incheon,5.0," | KLM is quite a nice airline to fly - I would recommend them. The check-in at Schiphol airport was very efficient, although the attendant that served me was not friendly. The food on-board was quite good. I ordered a gluten free meal and this was tasty and included a GF bread roll, which is a rare bonus. They also offered me a drink at the same time as they served my special meal, which doesn't usually happen - quite a nice touch. They brought plenty of drinks out throughout the flight. I thought the seat was really comfortable for economy class, with a good head rest, and unusually for me I even managed to sleep for an hour or two. The flight attendants were quite warm and friendly and graciously obliged my requests for extra drinks and snacks. Were were given hot wipes (disposable towels) in the morning before landing. The entertainment was also quite good, with user interface being one of the simplest and easiest to use in my experience, although I think that there is room for improvement with their range of TV shows. The pilots gave several clear updates throughout the flight, which I always appreciate. Plane landed basically on time. Overall a good experience!",Solo Leisure,5.0,nan
