Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,3.0,February 2018,nan,1.0,nan,no,Johannesburg to Durban,1.0, | Flew Kulula from Johannesburg to Durban. Long wait. Under staffed. Rude. Asked for seat with leg room and he put me in back seat with no leg room. Awful. This isnt the first time. Particularly poor is the attitide of the check in staff. Also not well presented or dressed but mainly lack of service.,Business,1.0,nan
nan,Economy Class,2.0,November 2017,nan,1.0,nan,no,Durban to Lanseria,3.0, |  Durban to Lanseria. My wife was at check-in 40 mins before flight and only found out then that Kulula changed the check-in times from 30 mins to 45 mins before departure. No Kulula employee was willing to help even thought she had a small bag which could be taken in as hand luggage. This happened on the 13th Nov 2017 and I emailed Kulula on that day and to date I have not received any response. Pathetic customer service from Kulula.,Couple Leisure,3.0,nan
nan,Economy Class,3.0,November 2017,nan,5.0,nan,yes,Durban to Johannesburg,3.0," |  Durban to Johannesburg with Kulula. Nice to be honest, simple planes, old, but crew were nice and not aggressive. Flight on time, a low cost airline that gives a fair service. Fast check in. 45 minute normal flight. Plenty of space for the bags.",Solo Leisure,3.0,nan
nan,Economy Class,2.0,March 2017,1.0,1.0,nan,no,Johannesburg to Cape Town,1.0," |  
Had a very bad experience with Kulula flying from Johannesburg to Cape Town. I had picked exit row seats when purchasing the tickets months in advance. When we go to leave the bags at the counter they said the flight had changed. They reassigned seats and I asked them to make sure to give us exit row seats. They agreed and said we had exit row seats. One of our group had a check in bag 2 kg over the limit. The other check in bags were 6 kg, 2 kg, and 1 kg under the limit. But they said for the 2 kg overage which would cost us R300 or we have to move things around. So after 5 minutes of shuffling things around they say we are good to go. Once we get onboard we realize not only are these not exit row seats but we can not recline the seat back. Customer service is deplorable.

",Couple Leisure,3.0,nan
nan,Economy Class,1.0,July 2016,1.0,4.0,nan,no,JNB to GRJ,3.0," |  I experienced over 2 hour delays on both Kulula flights to and from George from Johannesburg, which caused extreme dissatisfaction as plans had to be rearranged and some fell through. I also checked in online but my seats that I had specifically chosen were disregarded as another aircarft had to be used. The service was in my opinion a little unprofessional and I found it really disappointing as I felt that I did not get my money's worth regarding both flights. Not very keen to use this airline again as delayed flights seem to be a pattern.",Solo Leisure,2.0,nan
nan,Economy Class,1.0,June 2016,nan,1.0,nan,no,CPT to JNB,1.0," |  Cape Town to Johannesburg with kulula. Bad service and unreliable timing. Paid more for front seat and did online booking. Flight was more than 2 hours late and could not use bag drop off, had to book in again and get in queue to book in. Was then informed about different seat, nor what we have paid for. Tried to change to earlier flight that was not full, but ground staff totally unfriendly to help. Very disappointed with their service.",Solo Leisure,1.0,nan
Boeing 737-800,Economy Class,5.0,August 2015,nan,3.0,nan,yes,Johannesburg to George,3.0,"For a lowcost airline, Kulula has a very good product. Liked that baggage is included. The airplane was clean and  the crew was smart, outstandingly friendly and very funny. They made so many jokes I primarily thought i wasn't flying but in a comedy show. Very impressive and still professional. Certainly recommended.",Solo Leisure,4.0,nan
Boeing 737-800,Economy Class,2.0,September 2015,3.0,4.0,1.0,no,Johannesburg to East London,1.0,"I flew Kulula from Johannesburg to East London return. I don't think I have ever been so uncomfortable on an aircraft and I have flown on numerous low cost airlines before. The seating is dreadful. The crew on the outbound flight were not too friendly, but a lot better on the return. I would not recommend Kulula due to the seating. They could remove one row to try to be a little more competitive.",Solo Leisure,2.0,1.0
Boeing 737-800,Economy Class,5.0,June 2015,nan,4.0,nan,yes,JNB to DUR,3.0,"My recent return trip from JNB to DUR, MN603 and MN612, respectively, was punctual and uneventful. While the seats were a little cramped, I couldn't complain since it was a budget airline. Service was good and I especially enjoyed the jokes made by the flight attendants during their announcements.",Solo Leisure,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Flight JNB to CPT and return a few days later. Full planes on time clean and friendly staff. What more do you need?,nan,4.0,nan
