Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,2.0,July 2018,nan,1.0,nan,no,Johannesburg to Durban,1.0," | I have had endless problems with Mango Airlines on multiple consecutive occasions. I try and make payment for a flight booking on their website and I am informed that there was an error with payment, payment has not been processed and I do not receive a booking confirmation. Yet I receive a notice from my bank informing me payment has been processed and allocated to Mango. After phoning the bank and receiving an authorization code Mango still insists they have not received payment and refuse to issue me a booking confirmation. This is after waiting more than 30 minutes for someone to answer their phone. This has happened every time I try to phone and with every department. The staff are very helpful and have a nonchalant attitude, not really caring or helping to help resolve the issue. One person that assisted me informed me that the website was down but as soon as the website is operational again I will automatically receive my booking confirmation. After a few hours I still had not received the confirmation. Mango simply say they have not received payment, they cannot issue a booking confirmation. This has happened twice in a row. Shocking service, I will never use this airline again.",Solo Leisure,1.0,nan
nan,Economy Class,5.0,July 2018,5.0,1.0,5.0,no,Zanzibar to Johannesburg,3.0," |  I am very disappointed with Mango. The return flight to Johannesburg was delayed by over an hour due to mechanical problems. On our return Johannesburg  we were delayed due to the exit bays not attached and luggage was delayed. Our connecting flight was with kulula at 8.50pm we missed, and Mango did not offer any compensation. With 2 young children we were told they cannot help us, stranded at the airport with no other flights or accommodation. Very upset after a family vacation.",Family Leisure,5.0,3.0
nan,Economy Class,5.0,June 2018,4.0,5.0,nan,yes,Johannesburg to Cape Town,5.0," |  Johannesburg to Cape Town. Nothing to complain, excellent flight experience with professional and friendly crew. Departure on time, arrival in CPT 10 minutes earlier. Experienced moderate turbulence on flight level, cockpit communicated in no time which I personally appreciated a lot.",Solo Leisure,5.0,nan
nan,Economy Class,4.0,March 2018,nan,1.0,nan,no,Johannesburg to Cape Town,2.0," |  Johannesburg to Cape Town. The worst service and customer relations I've encountered.I am from overseas and was staying in Johannesburg with family. My cousin and I wanted to go visit another family member in Cape Town and Mango ended up being the cheapest for me; whilst for my cousin another airline was cheaper so we were flying separately but at similar times so as to meet up in Cape Town. Then during the day I received an SMS saying my flight was delayed from 19:30 to 21:30. This was quite frustrating because (as mentioned above) I was due to land at the same time as my cousin in Cape Town; but would now only be taking off as she landed. Frustrating, but not the end of the world. Next thing I receive another SMS saying the flight was further delayed and would now only be taking off at 23:30 - a 4 hour delay meaning my cousin would need to travel on as it wouldn't be fair to expect her to sit and wait for 4 hours while she could be with family as we were only in Cape Town for a weekend. I then get another SMS saying the flight is delayed and a different time is provided. I cannot recall this time although it was earlier than 21:30, but at this stage I'm so frustrated I plan on just heading to the airport to find out what's going on as it seems nothing is really clear. When I get to the airport I wait in the queue and receive my boarding pass and try to ask what the issue is and why everything is delayed. I explain that I'm meant to be travelling in convoy with my cousin and that we only have the weekend in Cape Town so these delays are somewhat frustrating. I am told that the ""we were down"" (whatever that means?) and that there's nothing to be done. I then go meet my cousin who is busy trying to check in, only to discover that they've now also got 2 different times on my boarding pass (19:30 - the original time & 21:30 - the supposed new time) so now I have to go back to a line where heaps of people are queuing as there are many delays (and many complaints) to clarify what time my flight actually will be. In the end, we got to Cape Town. Once back in Johannesburg, before leaving the country again I receive and SMS stating that Mango apologised for the delay; and says we can call them for assistance. I discovered they were willing to pay R250.00 for the inconvenience. As I was leaving the country, I decided to email them and find out whether this was applicable to overseas service users; and if so how that may work. I emailed 8 times and never received any response. Whilst I understand that the offer of a voucher as a gesture of good will due to the delays is non-obligatory, it is really frustrating that they never answer their emails and on top of such terrible service. It almost seems like a tactic used to ensure that not all affected and offered recompense are able to make use of such, therefore saving the company money. It would have been preferable to be given a discount on the flight that was delayed; or even vouchers to use on board for on board refreshments.",Solo Leisure,4.0,nan
nan,Economy Class,1.0,May 2018,nan,1.0,nan,no,Cape Town to Lanseria,1.0," |  Cape Town to Lanseria. Probably the my worst experience. The counter system is so bad. It takes all mango flights to where ever in the country. No destination names are on the boards so everyone queues in the same line. Then to top it off I was told why I missed my flight, because I ""late"" when I was standing in the queue. There's a silent policy in the airport so no announcements are made.  Any ways I told some one comes around to tell you when flights a board. No one came to me and asked me, so I missed my flight. I had to pay again although the flight had not taken off. No help was offered. So I had to wait from 14:00 until 19:00 for my standby flight. Was this worth it, well if you from the UK and intend using this flight forget it.  To top it off the flight was delayed for another hour and no one could inform you what was going on. Really not the service I expect from a cheap airlines.",Business,1.0,nan
nan,Economy Class,2.0,April 2018,nan,2.0,nan,no,Cape Town to Durban,2.0," |  Cape Town to Durban. I landed in Durban, picked up my luggage and on loading my luggage into our car, noticed a large tear down the side of my luggage. We had already paid for our parking and drove straight home, with the intention to lay a complaint with Mango. Mango did not respond to phone calls nor our emails. My dad eventually had a response from Mango ""Customer Care"" where they  fobbed us off. Numerous repeat emails to Mango solved nothing. They then forwarded the email to the head of customer care who promised to look into the matter. Never heard back from him either. True to Mango standards - they ignored us! No further correspondence.",Solo Leisure,3.0,nan
nan,Economy Class,4.0,April 2018,nan,1.0,nan,no,Durban to Johannesburg,4.0," |  Durban to Johannesburg. It all began with a simple 50 minute delay, then with a 25 minute delay and then a gate change. My flight was scheduled for 17:30, I was meant to arrive home at around 18:30. I only arrived at 20:35 - the flight was delayed, and apparently they had multiple issues. But then, if I leave the airport at 18:45 which was the delayed time, surely I'd arrive no later than 8?  Everything was so slow and delayed, especially compared to my previous experience with Safair 2 days before, where it so quick and smooth. I will never fly mango again.",Solo Leisure,1.0,nan
nan,Economy Class,1.0,April 2018,nan,4.0,nan,no,Durban to Cape Town,4.0," |  Durban to Cape Town. Sometimes it costs a staff member nothing, to save a customer a lot of trouble. Flight JE361 was late, but that's not a big thing. However Mango didn't give a revised arrival time. We waited with our cellphones, to sms or call our families and change itineraries. I did not hear it announced once! Then they told us to turn our cellphones off! I asked the air hostess  very politely what the arrival time was, as I needed to sms my wife before turning my phone off. She said: ""You cannot tell. Anything can happen during the flight. You must turn your cellphone off now."" I asked again (saying ""please"") for any time I could use. She said only: ""We don't know. The captain will announce it later"". I began explaining that (again, ""please""!) we could not communicate later with our phones on flight mode, but she walked away while I was speaking without saying anything. She was treating me (and everyone actually) pretty badly. In fact, she didn't seem to care at all about anyone on the plane's trip. I remember thinking what a rude lady! (At the same time, the Mango voice came on the intercom, saying that ""if there is anything our staff can do, to make your trip more comfortable, please do not hesitate "" etc. Well it couldn't have sounded more ironic) When leaving at the end of the flight, I told her that she'd messed up my trip unnecessarily and treated us badly. She then said again: ""It's about the flight time right? We cannot know how long a trip will be. Anything can happen in the air"". When I replied that they did seem to know how long routes would be, as they gave us arrival times when flights were NOT delayed, she said (incorrectly): ""But I told you it would be two hours and five minutes"". This was a lie, and also contradicted her previous statement, that they didn't know flight times. She and her colleague started writing a complaint form statement, that I doubt will be any more coherent, accurate or honest than their verbal statements. They were now both being quite rude and snappy. It was time to leave before things went down-hill! It's cheapness is not worth the unpleasantness.",Business,1.0,nan
nan,Economy Class,3.0,November 2017,nan,1.0,nan,no,Johannesburg to Cape Town,2.0," |  Johannesburg to Cape Town. When checking in at the counter we were greeted by a very unfriendly lady who did not even smile. On weighing our bags we were 1.6 kg overweight between the two of us, which works out to 0.8 kg over weight per person. She told us that we would have to pay excess. We told her can't we get a concession as it's less than a kg each and or bags were bubble wrapped so we couldn't remove anything. She refused and we asked to speak to the manager. Instead of calling the manager she called a colleague of hers who was equally unpleasant. We explained that the excess weight was so minimal and we didn't even have hand luggage and then she told us to take our bags off of her counter and find someoene else to help us at another counter. In we end we had to wait to go to another counter and paid the excess of 0.8 kg for each of us. After this incident we will never use Mango again.",Business,2.0,nan
nan,Economy Class,3.0,September 2017,3.0,1.0,nan,yes,George to Johannesburg,2.0, |  George to Johannesburg. Not impressed. Should have departed today at 14h40. Sat at airport an no info was given. Only that flight was delayed. Eventually departed at 18h 45. I am 71 years old and was very upset. My daughter had to phone George airport for info. Customer service very bad.,Solo Leisure,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,5 hour delay on flight from CPT to JNB very poor communication with passengers and inability to offer water on the flight add up to a very unpleasant experience. Won't use Mango again!,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,CPT-BFN-CPT. Cannot fault this low cost carrier departed on time fair legroom on way out much better on return with an emergency seat. Snacks on board were reasonable cost though Mango was let down by the airport baggage claim at both ends. By far the worst was Bloemfontein having to wait just short of 45 minutes. Taking into account that the Mango plane was the only plane there and that it was a 2 min walk from the plane to the baggage reclaim I was sorely tempted to walk back to the plane and get the bag off myself. As for Cape Town there were 4 conveyors to pick from but they loaded/mixed the bags on the conveyor that had baggage from another flight hence major confusion. Not Mango's fault but they should be nagging the airports to get heir acts together,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Johannesburg to Cape Town return. The flights on this low cost carrier were excellent. Both planes were full and arrived on time. The crew were efficient and offered a decent supply of refreshments at reasonable prices.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,For R59400 (approx $79 US) all inclusive for 3 people return DUR-JNB-DUR we were very happy. Check in both ways very efficient baggage reclaim very quick. I was surprised. Had only one trolley service both ways because of the duration of the flight. We only ordered drinks because we ate at he airport. Prices from the Mango Spaza menu very reasonable. R30 for 2 soft drinks and 1 beer. Orange livery looks very funky Cabin crew friendly cabin clean. A few head rest covers were dirty.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,The short JNB-CPT was the best flight I have had. Check in efficient aircraft was comfortable magazine was interesting and staff capable friendly and customer focussed. It just goes to show that friendly staff really do make all the difference!,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Johannesburg to Cape Town. Delayed slightly due to late arrive in JNB. Full flight - boarded by rear rows. Only 15 mins late in CPT. Efficient crew leg room tight. But worth it on a 2 hour flight for the very reasonably priced fare.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,CPT-DUR After origionally booking to fly with SAA our flight was changed to code share on Mango. We had to go to 3 different check in counters before anyone could help us. Onboard we were told we had to have our boarding passes with us before we could have any refreshments. We we told them we would need to get them from our hand luggage they weren't interested and kept walking. Appalling service.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,CPT-JNB return. Cheapest fare of all domestic carriers and best carrier I have experienced on this route. Friendly and helpful staff at check in and on the flight plane modern and clean. Flights on time and return to CPT arrived 15 minutes early. If you haven't flown Mango before give them a try.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Other than SAA this is probably the best overall of the SA domestic carriers. The aircraft are modern and clean and crews helpful and efficient. The girl who checked me in for my last flight out of JNB was somewhat disinterested almost sullen but that is the worst thing that has happened to me on several flights with this carrier.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,Johannesburg-Cape Town. Flight on time staff was find but plane very scruffy inside. They really need to wipe down the seats.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,I regret flying with this airline - I have 2 kids ages 5 and 9yrs old and Mango made no provision for my kids to be seated next to me this happened on both flights of a return trip. I was told to ask the flight attendant for assistance in seating arrangements but when I attempted to do that the flight attendant told me I had to ask fellow passengers to move seats! The entire trip became an ordeal which detracted from what was supposed to be a fun- filled trip. I also noted that I was not the only parent who was not seated together with minors. The online booking process does not allow minors to travel without an adult so why then is this airline's management incapable of a simple task such as placing children with their parents - a task that is successfully achieved by every other airline in this country and indeed the world.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,DUR-JHB. Very efficient and courteous check in at Durban Airport. Free newspapers provided. Flight left on time comfortable and clean aircraft and very good value for money. Well designed and easy to use website for online booking.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,JNB-CPT. This airline offers value for money. Departed on time arrived 5 minutes early clean cabin and very friendly staff. I got an emergency exit seat so plenty of room and the seat reclined unlike my previous SAA flight. Also took advantage of their weekend car hire deal which was a big bonus too.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,I enjoyed the experience the staff were excellent! The cabin crew ensured that all hiccups were communicated to the passengers although we hardly experienced any!,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,JNB-DUR-JNB: Check-in very efficient and quick all flights on time friendly staff reasonable legroom perfect baggage handling. Nothing to complain about and great value for money.,nan,4.0,nan
