Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,2.0,July 2018,nan,1.0,nan,no,Manila to Tokyo,2.0," |  Manila to Tokyo, horrible seats with no inflight entertainment and arrived 1 hr 15 mins late. After sitting in the airplane for an hour not a single update for passengers from the crew. ",Business,1.0,nan
A330 triclass,Business Class,4.0,July 2018,4.0,4.0,4.0,yes,Auckland to Manila,5.0," |  Auckland to Manila. This flight was a pleasant surprise. The flight crew from AKL to MNL were friendly, introduced themselves, knew our names, and was on top of service. There wasn't a lot of us in the section so it was pretty quiet. The food was good too. The domestic leg's food wasn't commendable. The fish looked dry and old but service was still great. The return flight to AKL was less noteworthy. Being in business class means faster boarding but the girl at the gate seemed confuse. Economy was quicker. Business class this time had more people and the crew wasn't as warm. Had a bit of the tired attitude. They didn't personally introduce themselves nor as warm, and service was average. The A330 triclass is great though. Plane left on time and it was mostly a smooth ride. I've recommended PAL to my partner for our next trip to MNL.",Solo Leisure,5.0,3.0
A330,Economy Class,4.0,August 2017,4.0,3.0,3.0,no,Manila to Singapore,4.0," |  Manila to Singapore. The aircraft felt new, and this aircraft type is equipped with the inflight entertainment screen in the back of the seats. The plane doors closed on time, but it took a long time to get from the parking space to the runway and took off 1 hour late. Prior to take off, one of the air steward invited me to an empty row so that i could be more comfortable, very nice gesture. ",Business,4.0,nan
A321-200,Economy Class,3.0,August 2017,4.0,3.0,3.0,no,Singapore to Manila,4.0," |  Singapore to Manila. Slightly more than an hour's delay departing. There were no updates from the cockpit. Food was ok, staff were ok too. Not the most friendly.  What was nice was they gave out blankets just before the flight took off. A pity there was no inflight entertainment screen, and to access the inflight movies, you need to download an app.",Business,4.0,nan
A330-300,Business Class,5.0,July 2018,5.0,5.0,5.0,yes,Singapore to Manila,5.0," |  Awesome Check-in Experience through SATS Check-in Lounge. PAL utilized SATS Lounge which is clean and comfortable. the food, drinks  were abundant. The lounge was spacious and there were plenty of seats that provide enough privacy for each guests. PAL experience was superb. Great seat, food, drinks, and service.",Solo Leisure,5.0,4.0
A330-300,Business Class,5.0,July 2018,5.0,5.0,5.0,yes,Singapore to Manila,5.0," |  Got this ticket as an award for miles redemption. PAL has an annual 50% off sale for miles redemption and i was lucky enough to secure enough points prior to the sale. The drawback is that I needed to go to a PAL ticketing office just to process the ticket which is a little bit inconvenient. However, the service that I had experienced on board is really amazing and that compensates to the drawbacks. PAL flies from NAIA Terminal 2. The airport is a little bit congested, very few shops are available and there is nothing to do in the airport while waiting. The Mabuhay Miles Lounge offers a very limited variety of food and drinks. The check-in experience is fast as there was a counter which was intended for all business class passengers. The queue on the immigration on the other hand is a little bit chaotic as there were only few immigration officers intended for a lot of passengers. There was no priority lane intended for business class as well. PAL's new business class utilized Vantage XL seats which are very spacious and comfortable. it has a direct aisle access and can be converted into a full flat bed. The seat was amazing but not so private. The meals were great, so were the champagne and the wines. FAs were caring and sensitive to needs of passengers.",Solo Leisure,5.0,4.0
Boeing 777-300ER,Economy Class,4.0,July 2018,4.0,2.0,5.0,yes,Manila to Toronto,4.0," |  Manila to Toronto. Manila Terminal 2 pre departure area is Chaos because ground staff do not strictly implement the proper procedure in boarding the aircraft, elderly / handicapped passengers in wheelchairs should be bought outside of the pre departure gate for easy aircraft boarding. Group letter A,B,C and D should be properly explain to passengers ahead before boarding the aircraft because most of them thought that its a first in line first to board procedure even some of those passengers seating in the front row. Flight attendants are nice and friendly but they cannot be found after dimming the cabin. Choices of two main meals and 2 light meals can be found in the menu booklet. Flight entertainment system are a super glossy on individual tv seatback and lots of movies/tv/ and music to select. Flight map are on 3D display and 15 minutes free wifi onboard. A really awesome improvement by Philippine Airlines.",Solo Leisure,4.0,4.0
A321,Economy Class,4.0,July 2018,2.0,4.0,3.0,yes,Manila to Ho Chi Minh City,3.0," |  Manila to Ho Chi Minh City. I was left disappointed mainly with the food offering on this short regional flight (2.5 hours). The meal looked more akin to budget airline food. There was no salad, no bread, just chicken patty with some vegetables and potatoes (or rice, I don't recall). Service was great, however, in fairness to the flight attendants serving on this flight. They greeted passengers warmly with a big smile on their faces. That is probably the thing that was 4-star on this flight. The IFE using their PAL in-air flight app worked well. Good that I was able to download the app prior to flight departure. They should announce this well ahead of time (perhaps at check-in) otherwise, passengers wouldn't be able to access the app during the flight. Legroom on this A321 is rather limited on the 3x3 configuration). I noticed that there is a Premium Economy also with a 3x3 configuration. I wonder what makes it Premium Economy compared to regular economy. The difference is unnoticeable.",Family Leisure,4.0,nan
nan,Economy Class,4.0,July 2018,3.0,3.0,nan,no,London to Melbourne via Manila,1.0, |  London to Melbourne via Manila. I don’t complain about their onboard service however legspace is very narrow. They are very slow at check in. If they miss your luggage which they did mine you have no chance to talk to any call center worker. They forgot my luggage and I waited almost an hour around carousel and I went to luggage service dept and they told me the airline forgot my luggage in London.  They don’t have any customer service here in Australia and you need to call to Philippines. I called them 20 times without any information regarding whereabouts my luggage. So I had very bad experience with them. I,Solo Leisure,2.0,nan
A330-300,Economy Class,5.0,June 2018,5.0,5.0,5.0,yes,Hong Kong to Manila,5.0," | PR301, Hong Kong to Manila, Seat 52C, using the same aircraft model inbound Hong Kong. There is IFE on this flight (less than 2 hours). There is a USB charger at the bottom of the IFE screen, and I used my own earphones (stereo) rather than the supplied earphone in the front seat pocket. Overall, flight was smooth. take-off and landing. Again, I hope Philippine Airlines use these aircrafts for the longer Middle East flights.",Family Leisure,5.0,3.0
