Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,1.0,August 2018,1.0,1.0,nan,no,Washington to Windsor,2.0," |  Washington to Toronto. My flight was delayed by 3 hours going to Washington and again 3+ hours on the way back. Both times the communication was not existent and the customer service the worst I've experienced. They lied every 30min and what they told didn't match the delay emails we would receive. Even the flight attendants from Washington to Toronto couldn't crack a smile which could have gone a long way considering the terrible experiences and lies we had just endured. Upon arriving to Toronto already at risk of missing my connection. That flight was delayed as well. I explained my risk and not one person attempting to help or call to say I'm coming. Nothing! I then was searched not once, not twice but 4 times, before I could run to my gate just in time to have the gate attendant shut the door. All I received from there were excuses and blame on me, instead of an apology on behalf of the company. Completed disappointed and will not take this airline again.",Business,1.0,nan
nan,Economy Class,5.0,February 2018,5.0,1.0,nan,no,Mont-Tremblant to Toronto ,5.0," | Mont-Tremblant to Toronto flight was due on Feb 20, Porter re-booked me to Feb 26 - six days later. Reason was bad weather. No compensation, no hotel, no alternatives. As a couple, we both needed to get back to town for work, so we booked at taxi for $250 and drove from the ski resort of Mt Tremblant to big Canadian hub city of Montreal, stayed in an airport hotel ($200), and flew out the next morning. We got to our work locations a few hours late. Subsequently, I contacted the Manager, Customer Relations, Porter Airlines, who said ""The rescheduling of your flight six days later was based on seating availability and make a claim with your insurance or credit card provider."" Basically - tough luck. We spent $4000 on this ski - hotel - flight package, and had to scramble and arrange for ourselves a taxi, new flight, hotel in the dead of cold winter night in remote French speaking Quebec resort town - lovely customer relations Porter!",Couple Leisure,1.0,nan
nan,Economy Class,3.0,July 2018,4.0,1.0,nan,no,New York to Toronto,3.0, | Porter Airlines New York to Toronto flight cancelled. Stated due to weather while radar shows no rain or high winds. No comp offered for extra hotel or taxis. Next flight was too late next day to catch Monday meeting. The icing on the bad service cake is that they damaged my luggage and their solution is for me to leave or at the airport for repairs then spend more money to go pick it up once fixed. No concept of accepting responsibility for what used to be a pretty good airline.,Solo Leisure,3.0,nan
nan,Economy Class,3.0,June 2018,3.0,1.0,nan,no,Boston to Toronto,3.0," |  Boston to Toronto. We recently flew with this airline for a short commuter flight (approx. 1 hr 40 mins). Our flight was delayed 40 minutes, but with little explanation as to the delay. Our pilots did endeavour to make up time in the air. The design of the plane is such that, depending on the seat, passengers may experience louder in cabin noise (than had been my experience with other airlines). In-service was fairly standard, but did include free alcoholic beverages - I believe there was one white and red wine selection, respectively, and one brand of beer. On arrival, we were met with damaged luggage - one hardshell suitcase had been cracked and punctured, and one softshell suitcase arrived scraped, dirty, and weathered. We submitted a claim for the hardshell suitcase and were directed to also follow-up by phone. As the damage was extensive, we declined the airline's offer to attempt to fix the suitcase, but decided to accept the reimbursement for the bag (a standard amount) that would have at least partially paid for the replacement of the bag. After leaving the counter, we awaited the free shuttle advertised as a perk of flying with this airline. However, after waiting 15 - 20 mins, we learned that the shuttle was not running that evening and that we would need to find another mode of transport into the city. When we did arrive home, we did follow-up with the airline but were only able to leave a voicemail, re: compensation for our baggage. After not receiving a return call within 2 weeks, we found another phone number for the airline and connected directly with a kind agent who apologized for our baggage difficulties and for the missed contact. She also informed us that, unfortunately, unlike what had been described at the baggage counter, this airline's policy would not allow issue of a voucher to cover the replacement of the exact style of bag that was damaged (part of a set), but only offered a replacement bag that the airline deemed as equivalent, or a travel voucher with the airline. We did learn that, because the planes are smaller, bags are stacked (more so than, I imagine, with a larger carrier) and potentially resulting in the damages we experienced and reported. We are now paying out of pocket to replace our luggage. After this first experience with the airline and for what was to be a relatively short flight, I cannot recommend this airline. Even if this was a unique experience, the response of the airline still leaves us without recourse and paying more out of pocket to replace our bag than was the cost of our flight. It is not worth the expense of flying with this carrier when other major carriers fly this route, and without these challenges.",Family Leisure,1.0,nan
nan,Economy Class,5.0,June 2018,4.0,5.0,nan,yes,Washington to Toronto,5.0," |  Wife and I wanted to go to Toronto and Porter was the least expensive, but we read many of the reviews and were worried, they weren't that good. Well our trip to Toronto and back were excellent! No troubles at check-in, non at the airport, none on boarding. Flight was smooth. Would certainly fly Porter again. No doubts",Couple Leisure,5.0,nan
Bombardier Q400,Economy Class,5.0,June 2018,5.0,4.0,nan,yes,Ottawa to Halifax,5.0," |  Ottawa to Halifax and return. Before booking our flights to Halifax for a weekend getaway, we had also looked at other airlines. Our choice then fell on Porter Airlines because it offered better prices and better travel times compared to the competition. Both flights departed on time, and the seats were comfortable and had decent legroom. Porter only uses Bombardier Q400 turboprops, which are efficient and reliable airplanes. Snacks and drinks were offered, and were good enough on both flights. Overall, both plane rides went very smoothly, and I remained positively impressed by Porter. Highly recommended.",Couple Leisure,5.0,nan
nan,Economy Class,5.0,June 2018,5.0,3.0,nan,no,Chicago to Montreal,4.0," |  Since I was travelling to Montreal, I had to stop in Toronto to change planes coming and going. On each leg of the trip the plane was delayed, minimum of 30 minutes. The snacks and drink options were more than acceptable and the staff consistently polite. No explanation for delays, other than the convenient weather excuse.",Solo Leisure,2.0,nan
Bombardier Q400,Economy Class,4.0,May 2018,5.0,5.0,nan,yes,Toronto to Boston,3.0," |  Toronto to Boston. Frequent flyer with this airline here. When it's good it's fantastic, when it's bad it's a disaster. The Good: The higher tiers of VIP status are very useful. Free front seats, free luggage, free flight changes, priority re-accommodation, line bypass at security (although this has not been consistent lately). Free change to earlier flights on certain routes. The city center airport is great for anyone living downtown or traveling to business meetings downtown. The wait at customs is never long. Security usually not bad. Luggage to carousel time at city center airport is crazy fast. Free snacks in the lounge and free drinks/snacks/alcohol in flight. Flight attendants are usually pretty nice. Even before I had VIP status, they would occasionally accommodate a change or request where any other airline definitely would not have. The noise doesn't bother me as I am used to it at this point, but if you are used to jet planes then you will find these planes noisy. The BAD: Flights are fairly regularly significantly delayed, mostly during the winter months. Flights get cancelled more often than other airlines as the planes are tiny, so is the airport/runway, and the weather by the water is not always cooperative (fog!). 2. Communication to customers regarding delays is almost non-existent. You can track your incoming plane on a variety of apps and know the outgoing flight will be delayed by a ton, but Porter rarely reports the delay until 15-30 minutes before the original scheduled departure - at which point most people are already in the lounge waiting.  City center airport's US departures and arrivals side is mixed with the Thunder Bay/Sudbury routes for some strange reason. The result is long waits at the gate once the plane arrives, just sitting around doing nothing and stuck on the plane because a Canadian flight is offloading/boarding and the US arrivals can't mix with the domestic. I have waited up to an hour to get off the plane in the past because of this problem. One of the absolute most frustrating thing about Porter. 4. Unpredictable line bypass - this has been worst in the last 6 months. Those of us with VIP rely on our security line bypass, often arriving 30 mins before a flight with carry on only. It seems to be unreliable lately on the US side with the line often closed.",Business,5.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,I just returned to YSB (sudbury) on Porter having flown them 6 times since December for personal and business travel. I can easily book a flight with a discount that they offer and get a meal and a drink. Every meal has been different and staff are very good.,nan,4.0,nan
nan,Economy Class,nan,May 2018,nan,1.0,nan,no,Toronto to Newark,nan," |  Toronto to Newark delayed departure of 45 minutes on 28th May. Absolutely terrible airline. They literally cannot take their planes off on time. Once your flight is canceled be prepared to wait 4+ hours to talk to a customer service agent in order to have to privilege of getting your money back. I booked a Porter pass with 10 flights, 6 of my flights were canceled and 4 went off late.",Business,1.0,nan
