Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
Boeing 737-800,Economy Class,5.0,July 2018,5.0,5.0,5.0,yes,Brisbane to Christchurch,5.0," |  Brisbane to Christchurch return. Check-in easy. As am Gold Frequent Flyer, was given a priority boarding card. For the first time ever, the card worked, was given priority access at security, the attendant even stopped the line and slotted me in front. The Qantas Lounge at Brisbane International is welcoming and comfortable. While lined up to board, a message on my phone indicated that I was upgraded to business class, the first time in 12 years of flying with Qantas. A nice touch to a great flight. At Christchurch Airport, off the plane and out the front door of the airport in 15 minutes. Can’t beat that. The return flight was uneventful, row 4, front of economy was dressed up like premium economy on the bigger jets, including pillows and noise cancelling headphones. Only let down for this entire trip was the 40 minute wait for bags at Brisbane International.",Solo Leisure,5.0,nan
A380,First Class,4.0,July 2018,2.0,3.0,4.0,yes,London Heathrow to Mebourne via Singapore,2.0," | QF2 London Heathrow to Singapore in business. Uneventful flight. The service was ok but not extraordinary. Pre-dinner drinks are apparently not offered anymore. Quick meal service. The food was bland, but maybe I have chosen the wrong option. QF36 in premium economy. The food was better than the previous leg in business. The premium economy seat is fine except when the passenger in front of you puts his seatback in the sleeping position. There is no decent way to get out of your seat. The passenger in the middle seat who wants to get out will have to do some gymnastics to get out of the seat. Strange situation with the seat allocation. I had the bulk seat 24F and the day I had to travel this disappeared from my seat listing. Calling Qantas I was told I had to be reseated because an infant was booked in that seat. Well, as you may guess there was no infant in the seat or using the bassinet. Neither was the passenger who took my seat related to the other passengers in the same row. I don't mind to be reseated if this seat would have been used for an infant, but I do not want to get incorrect information if this is not the case. This is unprofessional behaviour of the airline towards their top tier travellers.",Business,2.0,nan
A380,Economy Class,5.0,July 2018,4.0,5.0,4.0,yes,London  to Sydney via Singapore,5.0," |  Travelled from London Heathrow to Sydney with my 11 year old daughter. Flight was very busy and was assigned seats 74 A & B. The seats were very comfortable with lots of leg room. The under seat foot net was again very comfortable and allowed me to get a good nights sleep. The crew were very friendly and helpful (on both legs). The only issue I had was that the headset plus was inside the left arm rest, this kept on being dislodged when I moved around in the seat. I would happily travel with Qantas again, and have recommended them to friends and family.",Family Leisure,5.0,nan
Boeing 737-800,Economy Class,5.0,July 2018,4.0,2.0,3.0,yes,Brisbane to Sydney,3.0," | Brisbane to Sydney. A very smooth journey with some amazing Cabin Crew. I was greeted very well during the boarding process, and take off was on schedule compared to my previous flight. The inflight service offered a lunch service with plenty of beverage variety. IFE was slightly limited though the flight was just over an hour long, so it was adequate. The Crew stood out most from recent memory. They were beyond friendly, great to chat with and incredibly engaging. Touch down in Sydney was bumpy because of strong winds and the overall flight experience was amazing.",Solo Leisure,2.0,nan
A330-200,Economy Class,3.0,July 2018,3.0,4.0,3.0,no,Sydney to Brisbane,4.0," |  Sydney To Brisbane. Everything started off fine, from Check-In to Lounge access and boarding. From there, it was a 30 minute delay because of baggage and cargo being loaded and the finalisation of paperwork. I don't understand why there are so many delays when they operate a wide body aircraft on domestic routes, something always come unhinged. The onboard service was good but it did not make up for the unnecessary delay. IFE was limited, not the best content by past experience. Once we landed into Brisbane, there was another issue with deplaning as we were delayed by another 10 minutes because the pilot couldn't park appropriately. By this time you can definitely tell a large number of passengers were getting irritated by the simple fact a trained pilot couldn't park a plane properly. I will fly Qantas, but if they can't sufficiently fly an A330 for domestic routes without consistency in schedule, just stick to the 737 as it's so much better this way plus it will free up a wide body aircraft for International routes.",Solo Leisure,3.0,nan
Boeing 737-800,Business Class,5.0,July 2018,1.0,4.0,1.0,no,Melbourne to Brisbane,3.0," |  Travelled on Qantas business class on 11/7/18 departed 1210pm from Melbourne to Brisbane. Dissatisfied and disappointed with lunch meal selection. The selection is either a potato leek soup, a sandwich or a salad that I think is not appropriate for substantial lunch. The reply I received from Qantas was also inadequate and dismissive. The reply was full of the airline promising high quality and variety of food and beverage selection but unfortunately they failed to deliver from my personal experience. I am wondering what they offer in their economy class for lunch if I did not travel in business class. Recently the airline has removed all music from IFE on tv screen or IFE app even on audio page still showing extensive selection of CD library from latest pop , jazz and rock to classic albums are available. So be prepared you need to BYO your music. Only Podcasts, talking business and kids audio books are available if you are interested in. Cabin staff has also advised no more Movie will be provided from drop down screen on 737 aircraft. So please download the App before you travel especially if you travel from overseas.",Solo Leisure,2.0,4.0
Dash 8,Economy Class,1.0,July 2018,1.0,1.0,nan,no,Canberra to Tamworth via Sydney,1.0," |  Canberra to Tamworth via Sydney. Qantas decided to waste 40min in Canberra this morning, making the arrival in Sydney 40min late. The staff on the Canberra to Sydney plane asked me to get of first and run to gate 1 where ground staff had been advised that i was coming. After waiting several minutes for my bag that was tagged premium hand luggage i ran to gate 1 only to be told that the flight had closed 8 minutes ago. They booked me on the 12.30pm flight and said bad luck, cant do anything else. When asked about a lounge pass the reply was no! Very bad experience.",Business,1.0,nan
Airbus A330,Economy Class,5.0,June 2018,4.0,5.0,4.0,yes,Perth to Brisbane,4.0," |  Perth to Brisbane. This was the only flight Qantas offered to BNE on a widebody aircraft (all the other direct flights were on a 737) so I opted for this red-eye flight to Brisbane. After terrific service from the ground crew, and a short delay boarding, I was surprised to see a lack of seat back TV screens onboard, but an iPad with a variety of audio and video entertainment. The meal service was a snack, and rather than a breakfast being served prior to landing, only bottled water was provided. The seat had surprisingly little legroom. Crew on this sector were all terrific. Immaculate service, and I would recommend.",Solo Leisure,5.0,nan
Boeing 737-800,Economy Class,5.0,June 2018,5.0,5.0,4.0,yes,Brisbane to Adelaide,4.0," |  Brisbane to Adelaide. Terrific ground service, and a wonderful cabin crew on 2.5hr flight to Adelaide. Dinner service was wonderful, with a choice of Pork Curry with complimentary beer and wine. However, the aircraft itself was an ancient 737-800 from the old generation, with drop-down LCD screens that were starting to show their age. Despite this, it was a wonderful flight.",Solo Leisure,4.0,nan
A330,Economy Class,5.0,July 2018,5.0,5.0,4.0,yes,Sydney to Osaka,4.0," |  Sydney to Osaka on a refurbished A330-300. Due to mechanical fault the flight was delayed 5 hours with Qantas giving regular updates. Due to this, arrival in Osaka was in the middle of the night with no option of public transport into the city. Qantas arranged several buses to varying locations for passengers. Service onboard was very good, including staff dealing very well with a difficult situation of an arguing couple. The new entertainment system worked very well. The new seats are comfortable, although the foot nest is awkward. A proper folding down foot rest would have been much better. It would have been good to have received an amenity kit on the return flight.",Couple Leisure,5.0,1.0
Boeing 737-800,Economy Class,4.0,October 2016,4.0,4.0,3.0,yes,SYD to WLG,3.0,"Having booked my ticket 10 months ahead, not only did I get a very good price, I was able to choose my seat at row 4, which is the first row of economy just behind business. Considering the business class seat is only slightly wider, with almost the same sized TV, I think I had made a very wise decision. As business class would have cost me 5 times more. Had I paid for that, and knowing what I got, I would have kicked myself. Being a One world emerald member with Sri Lankan airlines, I was greeted by the purser warmly, with immigration card, fast track card and business class headphone offered. Not only that, I find with both my flights, the seat in the middle was simply left empty between me and my neighbour, which kind of turned into a European style business class. Meals and drinks are of course from economy class, which was no problem and delicious. Being emerald member allowed me extra 20kg luggage and priority baggage handling, it really made no difference to flying in business class actually, except I was paying very cheap economy price, but still with all the perks. The service of Qantas was very satisfactory and the journey had been very enjoyable, and best of all, on time.",Solo Leisure,4.0,nan
Boeing 737,Business Class,5.0,September 2016,5.0,5.0,nan,yes,SYD to AKL,1.0,"Sydney to Auckland with Qantas. Left on time, arrived on time and the inflight service was impeccable and the breakfast provided excellent. I would really like to give a higher mark but when you pay the same dollars for 38 inches and a standard reclining seat on a 737 in Business Class across the Tasman as you do for a fully flat bed on Emirates the value is simply not there. I believe that Qantas should call this product Premium Economy and price it accordingly.",Solo Leisure,2.0,nan
Boeing 737-800,Business Class,5.0,October 2016,5.0,5.0,5.0,yes,CBR to ADL,5.0,"436112Canberra to Adelaide. Lucky enough to enjoy an upgrade on the flight home which was great. Seated in 3F, the leather seat was comfortable and the flight got off to a great start with a glass of chilled spring water. Staff were great and the dinner service was seamless - could not fault it. The food was excellent as was the wine. A really great flight.",Business,5.0,5.0
A380,Economy Class,5.0,October 2016,1.0,1.0,5.0,no,LHR to SYD via DXB,5.0,"London to Sydney via Dubai. Seat and leg room great (I'm 6'3 and didn't feel cramped). Yes it's a bit tight when the seat in front reclines but not a huge deal. Service was friendly, attentive and faultless. Food was absolutely woeful on all legs. Ordered on Q Eat prior to check in but still got asked what I wanted to eat - not sure what the whole point in ordering ahead of time is as the cabin crew seemed oblivious to any pre-ordered meals. Small portions, terrible choice of meals and the food itself was pretty sub par; probably on a level with some of the worst economy food I've ever tasted. Toilets could have done with an occasional clean. Choice of inflight entertainment was great - enough to keep me entertained for both legs. Overall a great Premium Economy product, absolutely let down by the disgusting food for every meal.",Solo Leisure,2.0,nan
Boeing 737-800,Economy Class,5.0,October 2016,5.0,5.0,5.0,yes,ADL to CBR,4.0,"Another domestic sector from Adelaide to Canberra with Qantas to Canberra, all in all, QF Domestic Economy is a pretty consistent product. Departure was on time which is great for a weeknight business flight. Cabin service was executed well with the food drop and beverage service completed quickly. Had the Beef and Mushroom Pie (which I have had before) which was OK. The boxed food can be variable in quality. Flight was slightly early and baggage was much quicker than last time. Great flight.",Business,4.0,nan
Boeing 737-800,Economy Class,2.0,October 2016,5.0,4.0,2.0,no,BNE to CHC,2.0,"Flew Qantas Airways from Brisbane to Christchurch. Frustrating 40 minute delay after boarding, as it was discovered that oxygen bottles used the previous delay had not been refilled. Very cramped with narrow seats and tight spacing. Aircraft was very new and seating seemed much more cramped than we are used to on 737's. Overall very uncomfortable for a flight of this length. Very good quality breakfast served, but this was spoilt by very long delay in clearing away. Only 4 crew, 2 serving 162 economy passengers. Long queues for toilets, pity the poor passengers in the last few rows. Touch screen very insensitive and frustrating to use.",Couple Leisure,3.0,nan
A380,Business Class,2.0,September 2016,2.0,4.0,1.0,no,LAX to MEL,2.0, |  Los Angeles to Melbourne with Qantas. The food choices on this 10:00 PM flight consisted of supper only and were disappointing. Qantas seemed to be skimping because the flight is a night flight. The IFE options remain poor with few current movies. The all female FA crew were unimpressive with little interaction. Passengers were never addressed by name and any request outside the usual was not dealt with. Breakfast was small and a second coffee was not offered. The Sky Bed is a generation behind the benchmark and storage is lacking.,Business,3.0,nan
A380,Business Class,3.0,September 2016,2.0,4.0,1.0,yes,MEL to LAX,2.0, |  Melbourne to Los Angeles with Qantas. I flew business class after previously flying Virgin Australia on the same route. The meal choices were surprisingly limited. The wine was reasonable for business but nothing outstanding. IFE movie choice was very poor with only 1 movie that looked current. The all male crew of FAs were good. The Sky Bed is showing it's age and is at least a generation behind the benchmark on other airlines. Qantas currently has an advantage of direct flights but will need to improve once Virgin starts direct flights again.,Business,3.0,nan
nan,Economy Class,5.0,October 2016,5.0,5.0,nan,yes,MEL to BNE,4.0, |  Our return flight QF634 1 October Melbourne to Brisbane checked in using mobile phone - saves time and avoids paper boarding pass. Aisle seats of choice for two of us. Appeared to be a fairly full flight and dinner served. Gluten Free meal option for coeliac was potatoes meat with green beans that was good. Husband had choice of chicken salad or chicken noodles.  Cabin crew offered soft drinks and hot drinks followed by a small chocolate. Very smooth flight and arrived on time.,Couple Leisure,5.0,nan
