Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
Boeing 737,Business Class,4.0,July 2018,4.0,1.0,nan,no,Milan to Accra via Casablanca,2.0," |  They lost my bag. Call center was busy all the time, unable to contact them. No priority boarding row for business class in Casablanca: stood in line for 30min at the gate and 10min on the stairs of the plane. When asked for explanation ignored by ground personel! Seat was filthy, tray table dirty, not cleaned from previous flight leaving Casablanca.",Business,1.0,nan
nan,Economy Class,5.0,July 2018,5.0,5.0,5.0,yes,Casablanca to Amsterdam,5.0," |  Casablanca to Amsterdam. I travel a lot with Royal air Maroc. And I can see that every flight is quite different but it's getting way better than before. My flight from casablanca to Amsterdam was on of the best flight ever. The crew was professional, the seats were big and the space for feet were all like an exit. It was so confortable and I had the best 3 hours flight ever. The meal was great , the plane was clean, the crew was helpful and I just enjoyed it. ",Couple Leisure,5.0,nan
nan,Economy Class,1.0,May 2018,nan,1.0,nan,no,Marrakech to Gatwick via Casablanca,2.0," |  On my flight from Marrakech to Gatwick via Casablanca the flight was consistently delayed and we were given no information - the attendants at the gate either ran away from passengers who were asking what was happening, were rude to them, or  ignored us. They assured us we would not miss our connecting flight to London, as soon as we arrived in Casablanca we were met with zero help, and told all flights to London had left for the day. Again, desk agents were incredibly rude, ignoring people begging for help. I am 300+ pounds out of pocket paying for their mistakes. They refuse to get in touch with me via email or any other means. They ignore their customers. Never fly them! Not a single apology was offered to me.",Solo Leisure,1.0,nan
Boeing 737-800,Economy Class,5.0,June 2018,5.0,4.0,2.0,yes,Paris to Rabat ,5.0," | Flew Paris to Rabat. I always enjoy flying with Royal Air Maroc, most of the time there is no delay, the cabin staff service is really good and the food is not bad. The only thing that needs improvement is the new app Sky-Ram (it need more music / more movies / newspapers / more games). Safar Flyer program is also really interesting. I strongly recommend flying with Royal Air Maroc!",Couple Leisure,5.0,5.0
Boeing 737-800,Economy Class,5.0,June 2018,nan,5.0,2.0,yes,Casablanca to Paris,4.0, |  Casablanca to Paris. Flight arrived 5 minutes in advance to Paris. The entertainment service is not working for movies and music is very poor (only 2 choices). Cleanliness of the plane is ok Plane was not full. This flight is less expensive than the one of Monday.,Business,5.0,5.0
Boeing 737-800,Economy Class,5.0,May 2018,5.0,5.0,5.0,yes,Istanbul to Casablanca,5.0," |  Istanbul to Casablanca. Flight was punctual. Information provided before boarding and during flight regarding departure time, arrival time, flight conditions were correct and reliable. Meals and beverages served are varied and balanced. Cabin crew are available, helpful and kind. I recommend this flight. The SKYRAM service is really amazing, you can watch films, listen to music and play games directly on your cell phone or iPad.",Business,5.0,5.0
nan,Economy Class,1.0,March 2018,1.0,1.0,nan,no,Cairo to Casablanca,1.0, |  Cairo to Casablanca. We had a flight delayed due to plane problems which is understandable. The airline was very poor in communicating what was happening. The delay was for approximately 26 hours. The airline supplied lunch but no further meals. They tried to board us around midnight but the pilot said no as the fault had not been fixed. When we finally arrived in Casablanca they had left half the bags behind. We had to travel to the airport the next day at our own time and expense to get the bags back. We were out of pocket for accommodation due to the delay: cancelled flight. They airline after many weeks agreed to reimburse me for the accommodation. They still have not and will not respond to any emails. I have a letter signed by the airline manager in Cairo stating the flight cancellation and a copy of the email from the airline stating they will reimburse me for the accommodation. We have supplied them will all of the information they require and have keep all email correspondence.,Couple Leisure,1.0,nan
Boeing 787,Economy Class,4.0,April 2018,5.0,4.0,5.0,yes,Casablanca to Doha,4.0," |  Casablanca to Doha. The experience was great. Staff, food service and boarding was great, the only problem was that no one is cleaning the toilet during the flight of 7h 40. The Royal Air Maroc services changes compared to before. The professional way they did is goo .",Solo Leisure,4.0,1.0
nan,Economy Class,nan,April 2018,nan,1.0,nan,no,Rio de Janeiro to London via Casablanca,nan," |  Rio de Janeiro to London via Casablanca, We were supposed to fly out of Rio on Friday 20th. Once we were all checked in we went to the gate only to be told that there would be a 30 minute delay. This 30 minute delay turned into 90 minutes, with the airline finally cancelling the flight. The transportation from the airport to the hotel was a shamble.  So people like us opted just to take a cab to the suggested hotel. Once there we discover after waiting for an hour that they did not have enough rooms for everyone. So we took a second cab to the next suggested hotel. We got a room there. The following day evening was picked up by coach and we were told that our flight would be at 6pm. Again, all checked in, went to the gate and they repeated the same as the night before, cancelled our flight. Why bring everyone to the airport only to cancel their flight again. Everyone was clearly and justifiably annoyed. They had hardly any staff and no sense of direction. When asked if we would be refunded our money if we book with another airline we could not get a clear answer from them. The second nights hotel was awful, some nasty place in town. We still have no idea if we will be flying today or not. This has to be the worst airline I have ever flown with. RAM does not have a office, a desk or even any representatives in Rio. So if you get stuck then you are pretty much on your own. Also, there website for handling claims is an absolute joke. If we pay for our own tickets back to London it will cost £1200 each with no guarantee of us ever seeing a penny of that again. ",Solo Leisure,1.0,nan
nan,Economy Class,1.0,August 2017,2.0,1.0,nan,no,Berlin to Marrakesh via Casablanca,2.0," |  Booked a flight from Berlin to Marrakesh via Munich. By the time we arrived in Munich we found out that our flight to Marrakesh was cancelled and after contacting customer support and calling the hotline, we got informed that we will fly via Casablanca, arriving six hours later than planned in Marrakesh. When we finally arrived in Marrakesh around midnight, we were waiting for our luggage to arrive. Unfortunately it didn't, meaning another one hour wait at the lost and found desk with several other passengers. That means we had to book a hotel and try to collect our luggage and car the next day. This didn't work either, no traces of our luggage until someone in Germany helped us, by calling several airports (luggage was then found in Paris). We spent four days without our stuff, had to buy some new clothing and hygiene products, which never got paid back by the airline and no compensation payment has been paid til today. ",Couple Leisure,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Montreal-Casablanca-Tunis and return. Old and dirty Boeing 767-300ER but crew worked hard and food was way above average in quality and quantity. Delayed 6 hours in Casablanca received meal voucher but only because I asked. Full meal served both ways from CME to TUN.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Amsterdam to Ouarzazate via Casablanca. Check in smooth and fast. Choice of meal (chicken or fish) enough drinks (soft and hot). Friendly attendants. The domestic flight from Casablanca tot Ouarzazate was a short trip (40 mins). Waiting for your luggage at this little airport was very short - immigration paper work was a little bit longer.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,Of the 6 flights (2 international and 4 domestic; Madrid-Marrakesh; Essaouira-Casablanca; Casablanca-Fez; Casablanca-Ouarzazate; Ouarzazate-Casablanca; Casablanca-Amsterdam ) only one was on time. The rest delayed for at least an hour. The longest delay was 12 hours for a flight which only took 30 minutes! The problem - there was simply no plane available to bring us to our destination although it was a normal scheduled flight. The only positive thing about the airline is that they put you in a good hotel to wait/spend the night. But I guess that is because they have a lot of experience with that - I will certainly not choice this airline again.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Marrakech to LHR via Casablanca. Check in smooth and friendly travelled onwards to Oslo on SAS. Baggage checked thru on request. Departed on time pleasant travel on new 737-800. Good service food ok and drinks included.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,"This is the most unorganized air line I have ever flown. They lost both of our checked bags going to our destination. Try as they would they never managed to get those bags to us. At one point they told us our bags were being shipped UPS. I told them I called UPS and they had no record of any such shipment; I asked RAM to give me the confirmation number so I could call UPS back - RAM hung up on me. Then on the way back we checked in one bag and yes they lost that one too. For our boarding on the way back they called for general boarding and everyone hoarded around the door in one big general mass. So then they decided to let families on board first - it was chaos because everyone was already jammed together. People were trying to squeeze through babies being squashed children crying. One couple complained profusely that it doesn't make any sense to call for general boarding and then limit it to only families. The RAM attendant responded that it wasn't his job to ""organize you people"". Really? And if it isn't their job to organize boarding it really makes me wonder about other things. There were so many more signs of disorganization it is truly unbelievable.",nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,My wife and I flew with this airline from London to Fez via Casablanca. The outward journey went without problem but the return was a different story. We left ample time for our connection but the Fez flight took off an hour and a half late. I talked to the cabin crew about our connection and asked them to radio ahead they said there would be no problem. When we got to Casablanca the flight had gone and there was nobody from Royal Air Maroc to meet us. We had to find their office ourselves which was tucked away in arrivals. The attendent said come back tomorrow and catch the flight then. We had a discussion and made them book us on a flight to Amsterdam and then KLM to London but got to London so late we had to stay there the night before catching our train to Manchester. We complained via eBookers who tried hard to contact Royal Air Maroc. We also wrote a letter of complaint but no replies leaving us £206 pounds out of pocket. Do not use this airline they are a shambles.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,Have had an awful experience with this airline on 2 occasions. On my first trip between Heathrow to Tangier I was contacted by phone 4 days before the departure date to be told that there was no direct flight anymore and I had to transit via Casablanca (transit time 6 hours!). I was offered the option to cancel my flight against full refund however till today I have not received anything despite numerous e-mail and phone complaints. On another trip between Casablanca and Accra the plane was delayed for 5 hours at departure and 3 hours in the return journey (needless to mention the rudeness of the ground and cabin staff and low- service quality).,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,Dreadful service and communication from this airline. Returning from Marrakesh to Heathrow on with four children we along with 20 other passengers were held for 24 hours in transit at Casablanca. Apparently the airline had double booked the seats. However all our luggage flew with the original plane. No food or hotel was offered. No manager was available. Passengers were completely abandoned.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,Terrible service do not fly with this airline. We were delayed for more than 7 hours in Marrakech and were told that there was no plane to take us by some staff and no pilot to fly it by other staff. We were never told why by the Royal Air Maroc staff although we asked repeatedly. UK systems showed our flight as having departed when we were still in the airport to those waiting for us. A further delay of 10 hours was threatened and only narrowly avoided by persistent negotiation with airline staff. The airline did provide food but tried everything they could to avoid it adding a huge amount to the stress. I was abandoned at 3:30am in Gatwick with no way of continuing my onward journey and nowhere to stay. Gatwick information were told by a Royal Air Maroc represeentative at 4 am that passengers should make their own way home. When we landed we were told they hoped we had enjoyed our flight!,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,Terrible. Worst experience ever. They are not to blame for the weather induced delays but they are to blame for the lack of communication with passengers and the uncooperative disposition of their staff. Due to comment restrictions I cannot elaborate on some of the problems I encountered. But this I can say they forgot to put my name in the passenger name list for the return flight and I had to buy another ticket with another airline. Never fly with this airline!,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,LGW to Marrakech. Flight delayed 3 hours no information given and no sign of any staff on hand to assist. Once airborne on an old and uncomfortable 737 things didn't improve. Grumpy staff and appalling food. Return flight on time but still an awful aircraft. Only 40 passengers but it took 90 mins to serve a cup of coffee the reason being that half the flight attendants had stretched out over 3 seats each at the back and gone to sleep! Not encouraging if there had been an emergency.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,"Seems we were lucky to get to Marrakech from Gatwick on our booked flight with our luggage. On the way back flight changed to call in at Casablanca. Wrong check in queue on departure board. Check in 2 hr early still left luggage in Marrakech when we got to Edinburgh with BA from Heathrow 15 hours later. It arrived at our home 2 days later. Seat legroom awful. Poor safety checking of seat belts etc on passengers. No decaf coffee or green tea and no politeness when told so. Very poor information to passengers when delayed in Casablanca for 2 hours for ""air conditioning check"" and ""luggage does not match passengers"". Very late lunch had to use own reserve food. Assured we would get connecting flight even half an hour before arrival; but taking 40 min to get to standstill after delayed estimated landing time resulted in a disordered mutiny of passengers trying to get off and panicky staff. Missed connecting flight; no guidance as to how to reorganise for being 2.25 hours late. Don't use them.",nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,London-Fes via Casablanca. Connecting flight delayed nearly 3 hours amidst much confusion and RAM intentionally left much of the baggage behind in Casablanca. We were later told that this is a routine practice on this sector due to the limited capacity of the ATR72 used. We had to queue for an hour at 1am to register a lost baggage claim. When our bags reached Fes over 24 hours later we had to return to the airport to collect them because of 'security'.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,London Gatwick - Marrakech. The snow brought the worst out of Royal Air Maroc. Chaotic check in with passengers from the previous day trying to book onto flights. No information and rude check-in staff. Flight did eventually go 4 hours late. My biggest complaint was lack of communication about the delay and rude disinterested staff. Food was OK legroom was terrible and seat was very uncomfortable. Safety demonstration was lacklustre and was a mish-mash of 3 languages. Never again.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,I bought a direct flight 2 months ago for travelling just before the Christmas evening from Ouarzazate to Paris (3hr 30mins flight) and RAM cancelled the flight - offering to travel on Christmas day with 2 stopovers from 7am to 2230 during almost 15 hours. I tried to find another flight but there is no other company in Ouarzazate!,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,Delayed for 6 hours on both JFK to Casablanca and then Casablanca to Istanbul. Ground manager hurled insults instead of explaining the delay at JFK. My luggage arrived 4 days after I arrived in Istanbul leaving me and my wife with a handbag only. I will not fly Royal Air Maroc again even if it's for free.,nan,1.0,nan
