Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,5.0,July 2018,4.0,4.0,5.0,yes,Kigali to Lusaka,5.0," | The RwandaAir cabin crew were very friendly, informative, and could go the extra mile to ensure that the traveler's needs are met. The captain as well was welcoming. The food was enjoyable too, and people could be explained about the available choices before being served.",Solo Leisure,5.0,nan
nan,Economy Class,5.0,July 2018,5.0,2.0,4.0,yes,Cape Town to Harare,4.0," |  
Flew Cape Town to Harare with Rwandair. The flight attendants were cheerful and very helpful. The space inside the plane was excellent and so was entertainment. However, my checking in was a total nightmare. Spent almost 30 minutes trying to check in. As if the attitude wasn't enough, I was travelling with a minor and had a lot of bags, the lady kept asking me to remove my bags from the scale and put them back on the floor. She did not know how to check in a minor hence kept calling her supervisor who was busy chit chatting. She miscalculated my excess lagguage only for me to correct her (she did not even use a calculator). Asked me if I wanted to pay with cash or card and I told her card, only for her to say 'we only take cash'. Why didn't you just say so in the 1st place?. As if that is not enough, she spent a good 2 minutes asking me questions like ""Are you sure you can identify the goods in your bags, are these your bags, are there any fragile material?"" How can I be checking in bags that are not mine and if there was something fragile that needed proper handling dont you think I would have told you? Late Departure also. Since its a new route I think the overall experience was just satisfactory.",Family Leisure,4.0,nan
Boeing 737-800,Economy Class,4.0,April 2018,4.0,5.0,4.0,yes,Kigali to Lusaka,5.0, | I flew from Kigali to Lusaka (Return) and I was really happy with both flights. The service was efficient despite the flights being quite busy and the food served was good. Flights left and arrived on time. I would happily recommend Rwandair for travel within Africa and beyond.,Business,5.0,4.0
nan,Economy Class,nan,March 2018,nan,1.0,nan,no,Arusha to Kigali via Dar es Salaam,nan,"Arusha to Kigali via Dar es Salaam. I arrived to Kilimanjaro Airport at 4p.m, after taking a bus because if I waited my belatedly flight I had never been arrived on time to Kigali. When I arrived they said me that my flight to Kigali is cancelled. They didn't know how long. I sat down and after 30min without information I spoke with a lot of people who works in the airport but not with personal of Rwandair because after they said me waiting they disappeared. Now finally, I will take other flight with another airline to Dar Salam where I used to search someone who wants give me another ticket to flight to Kigali. They said me that I need to tell in Dar Salam my story another time to anybody of Rwandair. I don't know what more will happen. I feel that It is a bad airline company and It is the last time that I will take a flight with them. Also staff  in Kilimanjaro Airport with this airlines are having inadequate and inpolite treatment. I feel so defrauded.",Solo Leisure,1.0,nan
nan,Economy Class,1.0,January 2018,3.0,2.0,2.0,no,"Harare, Zimbabwe. to London, UK. via Kigali",3.0," | Flew Rwandair from Harare, Zimbabwe. to London, UK. via Kigali. My children’s allergies were not taken seriously. They both have anaphylactic reactions to various food. I struggled to get suitable meals for them and my children were given nothing but fruit at times yet hot meals could and should have been prepared for them. I checked in Kigali if they’d have their correct meals given to them and was reassured everything had been sorted. To my surprise nothing had and staff didn’t know if allergens were in the meals they were serving. You are only asked if you want 'beef' or 'chicken' and won’t know till you open your meal if it was spicy or not. I tried to swap my child’s meal as they’d been serving beef curry with pasta and a creamy chicken dish with rice. All I’d been told was 'beef or curry' by a very rude member of staff. I asked if both my kids’ untouched and unopened meals could be swapped with chicken but the vile member of staff argued with me saying the meal which he hadn’t tasted himself, wasn’t spicy! What could have been resolved in seconds took longer than necessary. He challenged me in an aggressive tone, which was completely unnecessary. He reluctantly agreed to swap the meals over. He’d told me there were no other meals for my children so I based my choice on guess work. Had I known in advance that my children’s dietary requirements wouldn’t be met on such a long flight, I’d have spent my money elsewhere. Other than that there were several stops and delays on our way to Zimbabwe. Seats were double booked from Kigali to Lusaka. On our return we struggled to find seats with our children and staff announced that passengers should sit wherever there was a seat. Staff made sure toilets were clean but they could have at least changed gloves as they wore the same gloves they’d been wearing while serving food. The plus side is: one of their meals was delicious, their flights are generally more affordable than most but that comes with a price. Rwandair has more luggage allowance than most in relation to Zimbabwe, staff on our way to Zimbabwe were friendly and approachable aside from speaking in their own language, they also kept passengers well hydrated considering the heat. It would be helpful for staff to carry a laminate list of ingredients as none of them seem to know what’s in the food they serve and it would be helpful to actually say to passengers “Would you like beef curry served with pasta or would you like creamy chicken and rice” rather than “beef or rice”. Some customers who don’t eat spicy food can make a choice rather than having to guess and waste food by returning or swapping it. To and from, staff didn’t know what sort of meals they were serving. ",Family Leisure,2.0,2.0
A330,Business Class,5.0,January 2018,5.0,1.0,3.0,yes,Entebbe to London via Kigali,5.0," |  Entebbe to London via Kigali. I can thoroughly recommend this airline. The service is as good as (or in many cases better than) any major airline, with cabin crew who are courteous, helpful and attentive with good quality food and beverages. The aircraft are new and the cabins are spotless. The seating in business class offers lay flat beds and they offer Premium Economy cabin. I travel a lot in Africa and even if there are quicker options I prefer to take this airline. Punctuality is good and in flight service even on short flights is excellent. The let downs are the appallingly slow security check at Kigali which can take an hour which causes delays to flights at busy times. This is a problem required to be addressed. Also they could do with a wider choice of films on the entertainment system.",Business,4.0,5.0
nan,Economy Class,5.0,August 2017,4.0,5.0,nan,yes,Dar es Salaam via Kigali,4.0," |  Gatwick to Dar es Salaam via Kigali. We had a very good experience with Rwandair - new plane, ample seats and leg room, all drinks were free including alcohol and staff were friendly and polite. On baggage checkin, a novice member of Gatwick’s baggage handling staff, accidentally pressed the button to send one of our suitcases onto the conveyor belt without any tags or labels on it. Disaster we thought but were reassured that it would very quickly be found. After several enquiries as to its whereabouts, we found ourselves at the gate about to board, still without the missing case. We didn’t want to board the plane knowing it was here at Gatwick, but were approached and reassured by staff that he would make it his personal mission to find the case. He gave us his card and we decided that email would be the best method of contact. We arrived in Dar es Salaam where we had an email from him saying he hadn’t yet found the case - our hearts sank as we felt there was little chance of finding it. We had one night in Dar, then caught the ferry over to Zanzibar, where we spent another night in Stonetown. That morning he emailed us to say that the case had been found, sent on the first available flight to Dar to then be forwarded by air to Zanzibar airport where it would be arriving at 4pm that afternoon. We couldn’t believe it! So, thank you Rwandair, we have sung your praises since coming back home because it was the personal touch that set you aside from other reputable airlines. We would very much enjoy flying with you again and would highly recommend this airline to anyone considering it. No need to worry, they’re brilliant - go ahead and book it.",Family Leisure,5.0,nan
Boeing 737-800NG,Economy Class,5.0,December 2017,5.0,3.0,nan,yes,Kigali to Johannesburg via Lusaka,4.0," | Kigali to Johannesburg via Lusaka. First experience with Rwandair and immediately a hit. Spotless clean plane, warm welcome by crew, leather seats with good comfort and perfect catering.  Once Kigali Airport will be a real airport - nowadays only a very small and less inviting building - it will benefit Rwandair in its expansion. ",Solo Leisure,5.0,nan
nan,Economy Class,nan,August 2017,nan,2.0,nan,no,Douala to Dubai via Entebbe,nan," |  Douala to Dubai via Entebbe. Our visitor arrived at Douala three hours prior to her flight. Airline staff informed her that the aircraft had technical problems, and the flight was rescheduled to the following day. They provided accommodation and she arrived at the airport the following day. Without explanation, our traveler was denied boarding and was informed that there was a problem with her ticket and that it would need to be modified or that a completely new ticket would have to be purchased. No other help was provided and the next customer was assisted. After hours of long distance calls to Rwandair and also to the travel agency headquarters in New York (and 30 hours in limbo), no assistance was received from Rwandair and the agency told us that Rwandair had updated their system to reflect that the traveler was a no show at the airport and subsequent flights were all canceled. At best, employees are poorly trained and incompetent.",Solo Leisure,2.0,nan
nan,Economy Class,4.0,February 2017,4.0,2.0,3.0,no,Kigali to Dubai,3.0," |  Kigali to Dubai. I am supposed to fly 9th February by 15:00, when I got to the airport I was told the flight left by 11, this is a mistake from Rwandair, so I was lodged in an hotel to fly the next morning by Rwandair. 10th of February I left Lagos and landed here in Dubai on 11th, upon arrival my bags are missing again, 3bags. I was told to call on 12th in order to claim my bags, I have to go again to the airport to check but only got 2 bags out of 3 bags, this is unacceptable.",Couple Leisure,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,I recently travelled with Kenya Airways/Rwandair through one ticket that I had booked as a package through Kenya Airways. Problems happened: overbooking both ways (Kenya) making me board Rwandair without boarding pass baggage not delivered when Rwandair received it the very same night I arrived. While Kenya Airways has been co-operative in a settlement and is taking steps to help with the necessary paper work for the insurance Rwandair has been most uncooperative never responding to my messages and when I physically showed up at the office they plainly contradicted their own report in front of us. Results: Financial loss on my side and problems with the insurance.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Bujumbura-Kigali-Bujumbura Dash 8-100. Both flights on time safety and organisation appear to be high. Good service onboard despite flight duration is only 40 minutes: snacks 4 different juices sodas. Good information on board and luggage delivered in 5 minutes upon passing immigration.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,These guys nearly spoilt our trip. On arrival in Jo'burg we were to board Rwanda Air to Kigali. There were no signs of any check in counters. So after an hour of rushing between terminals we finally contacted someone at Rwanda Air who had said the flight was cancelled. He was not even apologetic for not telling us beforehand. I would be very careful if booking with them.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Nairobi to Kigali return. Excellent service on both legs. The e-ticketing system is still in process so bring your ticket number as well as the booking reference with you to the airport in Nairobi. I would gladly fly this airline again.,nan,4.0,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,I was due to fly from Kigali to Entebbe and had made a reservation months beforehand. I reconfirmed by e-mail about a month before the flight and two days before the flight telephoned to Rwandair in Kigali to make sure that the reservation was still valid. I was told that it was and the agent mentioned my first name which I had not given her on the telephone. When I turned up at the airport I was told that my reservation had been cancelled and no reason was given. Four or five other passengers were in the same position. We all waited to see if there were no-shows but there weren't. I would say that Rwandair which could not be booked through Opodo Travelocity or Expedia is to be avoided.,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,Rwandair Express Johannesburg - Kigali on an MD-80 business class. Really not a bad flight - we were about 1/2 an hour late boarding with no announcements but after that it was fine: a reasonable little meal and nice wine. We had a touch-down in Bujumbura so there was rather a lot of taking off and landing but reasonably quiet and comfortable flight. My bags were lost in a connection a Johnannesburg (as always) and so it was the usual long process of waiting for the bags not to appear waiting to fill out forms and then waiting three days but the bags eventually found me!,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,Nairobi – Kigali and Kigali – Entebbe. The NBO-KGL flight on a MD-82 that showed little signs of its age. Aircraft pretty clean seat pitch acceptable and no problem with understanding the public announcements which I have experienced differently on other airlines in the region. Safety demonstration okay although I wonder if the life jacket should have been shown as the flight was passing right over Victoria Lake. Flight left almost on time for the 70 minutes flight. Snack (sandwiches fruit salad muffin) served on board. Quality was okay for the length of the flight. Alcohol served free of charge. Professional and hard working crew (partly western) doing their job with a smile. Arrival and immigration procedures at KGL were efficient. KGL – EBB on a DHC8 previously operated by a Ethiopian carrier. Aircraft was clean. Only the seats were a bit older. Flight left even before scheduled departure time. Once again a professional crew serving drinks and peanuts on the fifty minutes flight. Amusing to see the cabin crew member performing the usual pre-landing announcement and checking a newspaper at the same time. Staff at the airline city office in Kigali very helpful when I had to reschedule due to serious family circumstances back home.,nan,nan,nan
nan,Economy Class,5.0,nan,5.0,nan,5.0,yes,nan,5.0,Flew Kigali-Mombasa with RwandaAir 3rd Dec 2013. Booked online which was hassle free. No online check-in though. The plane was modern 737-800 American cockpit crew local cabin staff. Leather seats with good legroom. Despite short flight (1.5hrs) they managed to serve hot meal. Professional and friendly cabin crew. Overhead screens displaying flight tracking only. The plane was half empty which partly explains the efficient service. 45mins delay on departure 30mins on arrival. Bags were waiting on belt when clearing immigration. Surprisingly good experience flying with RwandaAir.,nan,5.0,nan
nan,Economy Class,2.0,nan,2.0,nan,1.0,no,nan,3.0,WB100. When I work in Nairobi and needed to travel to Kigali for meetings I would take this airline and I have not experienced anything so bad in the past. However a few months ago when I decided to fly it back to South Africa after a meeting in Kigali I was shocked by my experience. I normally take South African Airways on that route but this time the flight was not available and therefore booked Rwandair. The airport seemed very busy - like a market place with women talking at the top of their voices to other women right next to them. When it came to boarding there was a mad scramble to get through the gate and onto the plan. It was not organized at all. When we got into the plane the captain spoke to us for a brief moment and that was it until landing time. In the air they served dinner immediately after take off with no snacks prior to dinner. They also didn't seem organized as the person serving drinks served kids first and the one who came with the dinner forgot to serve some children and their poor mother had to walk to the front to get her children food and walk all the way to the back to her children holding 2 trays of hot food while trying to balance as she walked. On landing passengers only knew it was landing time as the lights were switched off and the captain then announced we were landing and told crew to take their seats. On landing the plane seemed to bounce of the tarmac and lean to the right before it finally settled on the tarmac but the Captain kept braking suddenly on the taxi to the gate. This seemed strange to me and all the while the Captain did not explain anything to us about the landing or the breaking. I'm not sure I would want to take this airline again to Johannesburg in the near future.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Travelled J'burg to Kigali and Kigali to JRO in July. Both flights left and landed on time. Check in was efficient and in flight service was above my expectation. Aircraft were clean and comfortable with plenty of legroom. A very pleasant experience and highly recommended.,nan,nan,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,I had purchased a flight from Nairobi to Jo'burg in November of 2012 for a trip I took the first week of April. Apparently when I was trying to catch my connecting flight to Kigali I was informed that my flight had changed completely. And I'm not referring to a minor change in time but completely. I guess when RwandAir made the changed they forgot to put me on the new flights. They had informed me that I wouldn't be able to catch my connecting flight until the following day. Instead they put me on another flight with a different airline. I had to wait for 11 hours at the airport. Additionally my return flight was changed as well which included another long wait for my connecting flight. I also had to change another flight because of this. RwandAir caused me to waste time waiting money to change my flight and sleep. I don't want to punish the courteous flight attendants as they were great but I would be careful with booking with RwandAir.,nan,nan,nan
