Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
Boeing 777-300,Economy Class,5.0,July 2018,4.0,4.0,5.0,yes,Washington to Riyadh,5.0," |  Washington to Riyadh. It was a very good and comfortable flight. Friendly and attentive staff. The economy seats have a very good leg room. Well picked entertainments. And to be mentioned, the staff at the ground service in Washington were very nice.",Solo Leisure,4.0,3.0
nan,Business Class,1.0,July 2018,2.0,1.0,2.0,no,Manchester to Singapore via Jeddah,2.0, |  Manchester to Singapore via Jeddah. Saudia lost my luggage and say they are unable to trace any of my luggage. I cannot even complete the complaint form online because the form is unable to submit and an error message appears every time I try to contact any department. Very poor.,Solo Leisure,1.0,2.0
nan,Economy Class,1.0,July 2018,1.0,1.0,1.0,no,London to Manila via Jeddah,1.0," |  London to Manila via Jeddah. Jeddah airport was chaotic. Airline was already delayed from London, and Jeddah’s airport was so disorganised, you can see from screen that the next connecting flight going to Philippines is already boarding but no gate. So have to queued from where Filipinos are queuing, with people pushing and squeezing as staff didnt even bother to arrange the passengers according to their zones while boarding. Worst service ever, no blankets provided to passengers as they run out of stock, entertainment was worst as earplugs provided hurts my ear and the sound quality was ridiculous. You rather listen to the noisy sound of the plane rather than listening to it’s entertainment using its earplug provided. Worst nightmare came during luggage claim - waited for almost 2hrs only to find out that my luggage was left in London. Saudia staff in Philippines were terrible been promised that will be able to get my luggage the day after as they will put it on priority as told them that will be travelling again to HK, but got my luggage 3 days after.I wont be using this airline again for the stress it has given me. Never again.",Solo Leisure,1.0,1.0
nan,Business Class,1.0,July 2018,1.0,1.0,1.0,no,Jeddah to Dhaka,1.0," | Flew Jeddah to Dhaka with Saudi Arabian Airlines. This is the worst business class I have ever been on in my life. When I first got to the lounge I did not understand how in world this extremely disgusting lounge where I could hear mechanics drilling into an area and open construction going on ever be a business class lounge. Secondly the flight got delayed and no announcements were made on the matter, an announcement was made an hour later after which the passengers were told to immediately board the plane. My parents and I were stuffed into a bus with economy class passengers and faced extreme humiliation. A man was spitting and screaming in front of my fathers face while talking to his peers at a very uncomfortable distance whilst my mother was stuffed into a corner afraid that someone with wrong intentions would ‘brush’ past her. I on the other hand was being repeatedly smacked on the back with a mans heavy bag, who once again was very uncomfortably close to me, invading my personal space. Upon asking this man to move away he kept on doing the same thing. When we pay for business class we expect premium treatment not to be locked in a cage and humiliated or get headaches from the sound of construction. Never in my life of traveling all over the world have I seen such an atrocity of an airlines. Never again. If it was possible to give this experience 0 stars I would have.",Family Leisure,1.0,1.0
nan,Economy Class,1.0,July 2018,3.0,1.0,4.0,no,Cairo to Singapore via Jeddah,4.0," | Worst flying and layover experience ever. I recently went to Cairo from Singapore (with a layover in Jeddah). The first flight (Singapore - Jeddah) was pretty okay, probably because we were less than 40 people. Once we landed in Jeddah, the nightmare began. Jeddah is probably the worst airport I have ever been to. Nobody can speak English. The Jeddah - Cairo flight was delayed. On TV, it was displayed that the boarding was taking place which was misleading. Once I was finally told that we could go (by another passenger who could speak both Arabic and English, the Saudia staff didn't help at all), we had to take a bus. We then arrived in front of the plane but we had to stay inside the bus for 20 minutes since the cleaning staff was still inside the plane. Once we landed in Cairo, it took about 1 hour to get the luggage. On the way back (from Cairo to Singapore via Jeddah), the flight experience was pretty terrible, especially on the Jeddah - Singapore part (via Kuala Lumpur). There was a lot of turbulence and kids were running, literally! The cabin staff didn't do anything at all to inform parents that the kids should remain seated. They didn't care at all. Once we finally landed in Singapore, I was told that my luggage had been lost along the way. I thought I was going to be the only one. We were only 18 people for the Kuala Lumpur - Singapore part. Out of the 18, I met 7 other people who did not get their baggage. They were coming from Paris, Istanbul and Cairo. I haven't heard from Saudia yet but I will never fly with them again.",Solo Leisure,1.0,4.0
nan,Economy Class,4.0,May 2018,2.0,1.0,2.0,no,Manchester to Manila via Jeddah,3.0," |  Never again! Do not fly with this airline regardless of how cheap it is. They cancelled my return flight from Jeddah to Manchester and put me on a later flight, much later. 14 hours stay over in Jeddah, the lounge was overcrowded, not enough beds, toilets downright filthy. The ground staff are arrogant, rude and very unhelpful. No information given, in fact they just waved me away with a gesture of their hands. However on a positive note the cabin crew were very good. Filled out a complaints form in Jeddah and was told somebody would contact me, I’m still waiting nearly 2 weeks later.",Solo Leisure,1.0,nan
A330,Business Class,5.0,June 2018,5.0,1.0,2.0,yes,Riyadh to Dubai,5.0," |  Riyadh to Dubai. Improvement during the last 6 months. Carrier used on weekly basis, despite the poor condition of the Airport, when you board it is another issue. Shiny aircraft despite its age however, the Cabin still need to be fixed -  aesthetic fixtures such as panels out of position or seat components are missing. Pleasant crew , consistent meal for a short haul. Entertainment rarely changed, almost same movies. Cabin cleanliness is not Skyteam standards. Saudia still needs additional improvement to compete with regional carriers.",Business,4.0,2.0
nan,Economy Class,1.0,May 2018,3.0,4.0,1.0,no,Jeddah to Chennai,3.0," |  Jeddah to Chennai. Flew Saudia many times, primarily because its the only airline that operates direct flights on my route. When you fly Saudia, I believe there is no such thing as ‘customer service’. Impolite and unpleasant staff. Try to avoid this airline if you have any other option.",Family Leisure,3.0,nan
Boeing 787-9,Economy Class,4.0,May 2018,5.0,3.0,4.0,yes,Toronto to Jeddah,5.0," | Pleasantly surprised by Saudi Arabian Airlines. New plane, interactive IFE, free whatsapp throughout the flight. Good meals and attentive flight attendants. Flight was delayed 1hr due to late inbound plane, apparently this is common with Saudia. Flight overall was good but arriving into JED is as usual chaotic. We were on the plane 30 mins after landing waiting for busses.",Solo Leisure,4.0,5.0
Boeing 777-300 ER,Economy Class,4.0,May 2018,3.0,4.0,5.0,yes,Dammam to London via Riyadh,5.0, |  Dammam to London via Riyadh. I had a very good service from the departure to arrival. Saudia has been improving a lot recently. The staff quality has improved. I departed from Dammam and had a connecting flight through Riyadh to London. The plane from Riyadh to London was brand new. The flight crew were very helpful though I feel they could have come around more often asking passengers how they were. They served a very weak breakfast for 8 hour flight and no snacks or lunch provided later on.. I felt as thought the cabin crew forgot because they spent a lot of time talking in the back. They have awfully young local male hostess who seemed to have spent a lot of time chatting to the female cabin crew for hours. They need to tighten up the customer service little bit more and they can stand out as one of the leading gulf / Middle East carriers.,Solo Leisure,5.0,5.0
nan,Business Class,nan,nan,nan,nan,nan,no,nan,nan,RUH-DOH Business. Check in fine at RUH no queues straight through security to the lounge. Juices drinks etc and some light food leather couches and quite relaxed. 2x1 seating in this Emb 190 with large old style biz class seats very comfy for one hour flight. Three course meal served - only two of us in Business. Crew friendly bags off promptly in DOH. Had tried to change flight and ran every number possible until I finaly got through the following day after the flight had left - was told next flight full in C but could do Y and told to ask at airport to go stand by for C. Lounge is shared by most carriers in Doha and was good with hot and cold foods espresso etc. Got to gate no C class seat was given. Economy service basic but consistent and food not bad for Economy. Overall inconsistent - some good some bad. The ticketing people in their sales office are probably the most uninterested people i have ever met in any customer services dept.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,RUH-JED Y class. The aircraft was refurbished B777. Seat pitch has been reduced in economy with 3-4-3 configuration but new leather seats are not that bad. Touch screens with AVOD. Hot snack served and gets full credit (as opposed to the cold one BAH-RUH with GF). Cabin crew were fine. Ground crew need to go back to training and learn basic customer service etiquette.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,RUH-KUL-RUH appalling service I don't know how they get away with it. Flight delayed three hours leaving RUH absolutely no explanation or attempt to apologize. When we get on board they decide that it is free seating we sit anywhere (although we would have been more than happy with our original seating) then get told to move when I complain a supervisor comes on shouts at my family and I and than threatens to have us offloaded by the police. All in all it takes an extra hour to move everyone around and find enough seats (although even then some passengers appear to be seated in the galley the whole journey). Flight attendants have no concern whatsoever for safety never checking seat belts or providing extensions for children. Plane (747-400) in a mess with bits falling off inside the cabin. Return journey we have 1 business class seat and 4 economy - better (ie. on time at least and good service in business) but very rude attendants in economy demand my wife to prove we have booked the seats before serving a meal - only start backtracking when we realize that we also have a business class ticket. Although I am based in Riyadh I will try very hard never to fly Saudia again on international flights.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,yes,nan,nan,Heathrow - Jeddah - Riyadh - Heathrow. Check-in at LHR for lunchtime departure was instant - no queue. Boeing 777 2x5x2 seating. Comfortable seats decent legroom economy about half- full. Newspapers offered (mainly Arabic) followed by soft drinks. Typical airline food. Seatback screen but not AVOD - system had to be re-set twice by cabin crew early on but otherwise no problems. Flight smooth with the exception of a couple of Arab children running repeatedly up the aisles - fairly normal on MidEast airlines where parents rarely discipline their offspring. Major stroke of luck on arrival at Jeddah as I was attending a conference for which Saudia was handling many of the arrangements so whisked through VIP lounge passport stamped and into a taxi within 20 minutes of getting off aircraft. Jeddah-Riyadh again a 777 an 80-minute hop. Aircraft packed which made the serving of a full breakfast particularly impressive : full marks to the cabin crew. Not a lot of smiles from them but understandable when concentrating on serving 300 people in such a short time. Riyadh-LHR another 777 but this time 10-abreast (3-4-3) and seats noticeably thinner and less comfortable. Felt as though there was around an inch less legroom too which made an appreciable difference. Cabin crew helpful: one FA volunteered that my seatback screen was not working and offered to re-seat me. Only problem was again children running around and one little girl was actually standing on her seat as take-off started. Toilets acceptable. In all a series of flights I would rate as better than average and around 30% cheaper than British Airways.,nan,4.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,My family went to Khartoum from Jeddah. The trip is only one and a half hours long but it was a disaster. Check-in staff at the airport had no concept of client service. Check in itself took about one hour because the system was down. Once my wife and kids (one child and one infant) boarded the plane they found that it was an old leased 747. They were seated all the way in the back - tables and footrests were broken. The level of service was extremely poor. Unfortunately the Jeddah - Khartoum route is completely neglected by Saudia in terms of quality standards (even though they are profitable routes) and i can't wait for the free-skies policy to take effect so that the competition either forces Saudia to raise its standards or to disappear. For me I have experienced similar problems on the Jeddah - Paris route and that's why I think that a three star rating is exaggerated - two stars maximum.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,DXB to RUH. 20 minutes out of RUH we are served a lunch box - Iftahar meal for breaking the fast. On landing all lunch boxes are still with passengers tray tables are down seat belts are not checked prior to landing. Safety is not a priority. RUH to DXB late afternoon flight. Still Ramadan. Just prior to take off cabin crew serve us dates and a glass of water - for breaking the fast. Cabin supervisor decided it was time. 40 minutes after wheels up they announce the breaking of the fast. Obviously no concern for safety standards as pax placed their tray tables down to put their water and dates on during take off. Where are the CAA safety inspectors when you need them.,nan,4.0,nan
nan,Business Class,nan,nan,nan,nan,nan,yes,nan,nan,"LHR-RUH C class I was upgraded and delighted to get it. About 14 passengers in Business class and 6 were children under the ages of 6 - who were let do what they wanted causing major annoyance to other pax. Parents didn't care less and crew did nothing to stop them. Food was good being Saudi no booze but plenty of other options etc Avod available though choice not great! New seats lie flat seats in First as are business - I see that in economy that was ere known for the 34"" pitch is not any more - with 10 seats across instead of standard 9 across and 31"" pitch. Some staff work hard male crew looked fed up and did little but chat amongst themselves. Overall Saudi are cheaper they give a a strong 3 star product and service.",nan,4.0,nan
nan,Business Class,nan,nan,nan,nan,nan,no,nan,nan,Riyadh to Frankfurt A320-200. Check in : terrible Y class passengers pushing themselves to the J class line as if there were a line - the location is filthy with dirty carpet and luggage tags everywhere. No web check in available for international flights. Boarding disorganized no priority boarding for J class passengers. Cabin with good temperature although utilization of a single aisle aircraft was disappointing for this 6 hour flight. Seat Leather good pitch and width but the leg support failed to extend properly. Staff service automated masked faced service non welcoming un-professional when attempting to answer question on lack of IFE. Breakfast was Y class quality in plastic container. Snack acceptable. Drinks basic. IFE operating but not loaded with anything (not even the safety video) the Flight attendant didn't do it manually. Very disappointing experience not of business class standard. SV continues to be so inconsistent.,nan,1.0,nan
nan,Business Class,nan,nan,nan,nan,nan,no,nan,nan,RUH-LHR return Business. Outbound the business and first class check in is mobbed by economy passengers asked several staff to be checked in as I was in business class and told to wait - after 45 minutes I demanded to be checked in as flight was closing to be told by the same Saudi staff I didn't you realise your were business class. Flight out fine Asian staff friendly and obliging the Senior walked around the cabin with a scolding look on his face. Return much older aircraft seats dirty and did not recline food dreadful cabin looked filthy staff cold rude and didn't care less that 3 kids running around the cabin actually slapping other passengers as their parents did not care what they did. The final straw IFE not working. Airline gets worse every time I fly with them no more.,nan,1.0,nan
nan,Economy Class,nan,nan,nan,nan,nan,no,nan,nan,JED-CAI on all economy A300 - one of my worst travel experiences ever. Departure was set for 3:45 am however plane was delayed on the ground for 1.5 hours and we ended up departing at 5:15 am. Delay apparently due to the fact that they left some luggage in the terminal. During the wait aircraft was hot and sticky and air conditioning was giving out hot air despite the 38C outside temperature. Cabin crew couldnt' be bothered to reassure passengers shrugging shoulders and showing no signs of care at all to complains. Water and refreshing tissues were eventually distributed but the ordeal was unbearable. Seats were small uncomfortable and ripped at parts. There was no inflight entertainment not even in-flight magazines.,nan,1.0,nan
nan,Business Class,nan,nan,nan,nan,nan,no,nan,nan,My wife was booked Riyadh to Bangalore travelling alone and booked in business class. We arrived at the airport at 0100 hrs and completed check in. She was given a boarding pass which did not mention the number of the Gate from which to board. When I asked the man at the counter which gate we should go to he waved his hand dismissively and told me to go to immigration. When my wife went to immigration she was told the flight was cancelled and referred back to the airline. We came back and asked a Saudi Airlines employee; he told us the flight would leave at 1300 hrs. I asked him why this information was not communicated to us earlier as we had provided our mobile numbers at the time of booking. I also asked why this was not told to us when the boarding pass was issued. There was no satisfactory response to my questions. We reached our home at 3 am and returned to the airport at 11 am. There was no indication at the airport of when the flight would leave or indeed which from which gate passengers should depart. The staff of Saudi Airlines were of no help at all. The plane finally left at 2 pm. On board my wife found that her seat would not recline and she had sit upright for 5 hours. Though Saudi Airlines advertises vegetarian Indian food for flights to India there was no vegetarian meal available. Not only is the service deplorable but staff are brusque and unhelpful. We choose this carrier because it is the only one that has a direct flight from Riyadh to Bangalore. Perhaps we should start flying other carriers even if it means a transhipment because their staff may be more competent and helpful.,nan,1.0,nan
nan,Business Class,nan,nan,nan,nan,nan,yes,nan,nan,RUH–JED. RUH domestic terminal checked in using the self-service kiosks. Security done in less than a minute and then airside in this somewhat tired looking terminal. Saudi Arabian has a small Business Class Lounge which was crowded but offered a selection of hot food sandwiches etc. The boarding process was a bit chaotic but that has been a feature of this part of the world for many years and you just have to go with the flow. B777-200 had the new leather Business Class seats angled lie-flat and there is an AVOD IFE system with a large screen. This was not operative during this short domestic sector. Business Class cabin crew comprised one male and three females – a mix of Asian and Arab personnel who were attentive and cheerful. Arabic coffee and dates and inflight a full hot meal was served comprising hot rolls salad choice of pasta or roast chicken and dessert. All in all a very pleasant experience.,nan,4.0,nan
nan,Business Class,nan,nan,nan,nan,nan,no,nan,nan,This airline does not measure up to other 3 star airlines in terms of service. I just flew 3 legs (2 economy and 1 business). The staff attitude is basically indifference to passengers. Two of my legs were delayed 1 hour plus yet they did not announce the delay until after the departure time. For one there was nobody at the gate to answer any questions (DMM to DXB). Business class service on board decent food was average. Things like making sure people's cell phones are turned off that people stay in their seats at takeoff and landing are virtually ignored by the cabin crew from what I could tell.,nan,4.0,nan
