Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,1.0,August 2018,1.0,2.0,1.0,no,Bali to Singapore,1.0," |  Bali to Singapore. After take off I laid back my seat, right away a girl behind me starting kicking my seat and after a while I asked her if she had a problem with it, she said she didn’t have space for her legs. I said it was not my problem and told her to stop and call crew. I turn around and she pushes again. I called the crew member and explained the situation, he said he couldn’t do anything so he just told her to stop. She stopped for about 20 min and kept going, she pushed so strong that she even made the seat go back to the normal way only by kicking it. I called again and the lady said “I’m sorry there’s nothing I can do and I didn’t see her” (the girl was admitting what she had done) and then told the girl “I understand you don’t have space I’m so sorry, I’m gonna see If we have a bigger seat for you.” She didn’t want to change so the lady just told me I’m sorry it’s only 40 min left please just try to hold on. The lady just said she couldn’t do anything while the girl kept laughing with their friends. At the end a cabin crew guy understood me, said it was my right to have the seat how I wanted to and offered to change me and my friend. The girl just got away with it and nothing was said to her. Also no food or drinks were offered free in a 2.5 hr flight.",Family Leisure,3.0,1.0
A320,Economy Class,1.0,July 2018,nan,2.0,nan,no,Singapore to Bangkok,2.0," |  Singapore to Bangkok. UOB Singapore had a Krisflyer promo where they could waive they credit card booking fee but upon payment the Scoot website will prompt that you must log into your scoot insider account. When you do that they will revoke all UOB Krisflyer benefits, charge you a credit card fee and pretend to give you a ""15% off welcome voucher"" that after applying the voucher the amount will the same as before the voucher with additional of credit card booking fees and extra 5kg baggage fees. I tried calling the call center 6 times each lasted around 1 hour as all the ""let me put you on hold"" and final saying ""we will escalate it and we will get back to you"" then you will never hear from them again. When you call back stating the person you spoke to the person will always be ""busy"" and the whole process repeats itself. Don't fly Scoot because once they get your money, you will only get ignored.",Couple Leisure,1.0,nan
nan,Economy Class,2.0,July 2018,1.0,3.0,1.0,no,Athens to Melbourne via Singapore,2.0," |  Athens to Melbourne via Singapore. Scoot brought forward our flights by 5 days! This cut our holiday short and we lost money on our accommodation and holiday! I heard that this was a problem with Scoot so I had left a few days buffer. Not 5 days! They could not book us a new flight until 5 days after the original flight. Customer service over the phone was robotic with long periods of ""please hold"".",Couple Leisure,2.0,nan
Boeing 787,Economy Class,3.0,July 2018,2.0,3.0,nan,yes,Singapore to Berlin,2.0," | Singapore to Berlin. Scoot started flying to Berlin Tegel from Singapore Changi only recently, and I caught their latest flight to the German City. Kiosk check in & bag drop was seamless, and I was allocated an aisle seat, much to my relief. I would not have wanted a middle seat for a 12hr flight on a budget airline. Seat was what one would expect from a standard low-cost carrier - Average legroom with no entertainment. I had pre-ordered a long haul meal for the journey, and the food was largely decent. Crew were largely polite and professional. Value for money for a trip to Europe.",Solo Leisure,4.0,nan
Boeing 787,Economy Class,5.0,July 2018,nan,5.0,nan,yes,Manila to Melbourne via Singapore,5.0," |  Manila to Melbourne via Singapore. Thought I would give scoot a try, and certainly glad that i did.  The planes were clean and roomy. The check in process was flawless, the website was simple to navigate. The flight crew were exceptional. Friendly and happy faces. I need to say that the uniforms were brilliants. Well done to everyone at Scoot airlines. ",Solo Leisure,5.0,nan
nan,Economy Class,5.0,July 2018,5.0,5.0,1.0,no,Singapore to Amritsar,2.0, |  Singapore to Amritsar. I am not comfortable with the flight because they do not provide a mobile charger point. I felt very uncomfortable. So next month again I travel Amritsar to Singapore but I don't scoot. So I request you please develop your flight facilities. That travel was very boring. ,Business,4.0,1.0
nan,Economy Class,nan,June 2018,nan,nan,nan,no,Singapore to Bangkok,nan," |  Singapore to Bangkok booked for November 2018. In their website, they show that there is $0 processing fee. However, we were charged $20 processing fee for per person. When we lodged a complaint via email, they state that processing fee applies when we made payment via credit card. But they choose to hide these fees from customers when customers are making their payment. booked for November 2018",Family Leisure,1.0,nan
nan,Economy Class,1.0,June 2018,nan,1.0,nan,no,Singapore to Manila,1.0," |  Singapore to Manila. First time and last time flying with this aircraft. Value of money not worth it, yes it’s cheaper compared to other budget airline but end up spending more because of the delayed flight and the reason is their is a technical issue on the plane that can not resolved. Flight delayed from 12:55 am to 3:30 am. With those people who have connecting flight not advisable to take this aircraft. The worst customer service. Flight delayed and nobody offered us a drink, ground staff at Singapore said those with connecting flight someone will assist us (delay team), upon arrival to Philippines, flight stewardess said we can approach the ground staff at the counter for assistance, ground staff not helpful as no instruction from them from Singapore and staff told me to call their office. No feedback form, no apologies even after I told one of the staff I missed my connecting flight although I paid 2x more for the rebooking of the ticket what makes me upset is I need to wait it the next day for the next flight.",Solo Leisure,1.0,nan
Boeing 787,Economy Class,4.0,June 2018,4.0,5.0,nan,yes,Honolulu to Kansai,4.0," |  Had no problem with fees, checkin, carryons, food or fees. Food was good and much better than United and Hawaiian. Luggage fees were fine and very clear up front. The quiet section (no children or movies) was great but has no way to charge electronic devices so bring batteries. I recommend you bring your own water and snacks as these are rather expensive onboard. My main complaint is the temperature of the cabin — nears 80 degrees F so rather hot for US passengers, seems norm for Asian passengers. Bring water! Easy to press light and flight attendant call buttons on arm rests. Watch out! Love those windows you can lighten and darken. Going to try Air Asia next!",Family Leisure,4.0,nan
nan,Business Class,5.0,June 2018,2.0,5.0,2.0,yes,Taipei to Singapore,3.0," | Taipei to Singapore. I was on Scoot biz on the 22nd of June heading back home from Taipei. It was my 2nd flight with Scoot and I am very impressed with the crew on ground and onboard. The check in staff was polite and efficient even though she had to handle a big tour group before us. After getting onboard, we were greeted by smiley and polite cabin crew when offered water and confirmation of our meals. It was a great start to the flight. Soon after take off I tried to charge my device with the in seat power supply, however it wasn’t working. We informed the crew in charged and was quick to get a response that the seat power supply for both 2h and 2k was down. I was disappointed but was lucky to have my own portable power bank. A few moments later, the crew in charged passed me a pink power bank and she explained that it’s her own personal charger. She apologised and went the extra mile and took the initiative to offer me hers even though I didn’t ask for it. During the flight, she was seen helping 2 elderly couple in front of us with the Scoot tv app. She kept coming back to check on them and it was when meal service was about to start. I understand that’s a very busy period for crew but she was professional and very patient with them and assisted them for at least 20-30 minutes and had left me very impressed. She was also always seen in the cabin during meals and duty free sales service. During the lull period, while walking to the lavatory, crew was also polite to inform me that there was a queue. Toilet was also clean the whole flight. Call lights by passengers around me were also quickly attended by them or passing crew from the economy class. I didn’t expect much from a budget airline but I am left with a great impression with this experience. I will be looking forward to flying with Scoot again.",Couple Leisure,4.0,nan
