Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,5.0,July 2018,nan,5.0,nan,yes,Bangalore to Pune,5.0," |  Bangalore to Pune. Spicejet is a very good airline and I reach my destination on time. This time I made a mistake by taking my sisters phone inside the airport and since I passed the security area, there was no way for me to physically hand over the phone. Spicejet staff was very courteous and caring and they helped me get the phone back to my sister. Kudos to the staff and please keep up the good work.",Family Leisure,5.0,nan
nan,Economy Class,nan,July 2018,nan,1.0,nan,no,Mumbai to Mangalore,nan, |  I had booked 8 tickets from Mumbai to Mangalore and return for next month and I paid around Rs. 28000 for flight bookings and now spicejet cancelled scheduled flights and now my important function is getting affected because of flight cancellation from Spicejet. I need to pay higher fare for flights booking of other airlines. This airline don't even bother to call once they cancel prebooked flights. Don't ever go for Spicejet.,Family Leisure,1.0,nan
nan,Economy Class,1.0,July 2018,nan,1.0,nan,no,Dubai to Jaipur,1.0, |  Dubai to Jaipur. I will say it's a worst experience ever to fly in spicejet this time. On our seat chewing gum was stuck. Seat was not adjustable the switch was damaged and when we informed they said will check no one comes after. ,Family Leisure,1.0,nan
nan,Economy Class,1.0,July 2018,nan,1.0,nan,no,Mangalore to Hyderabad,1.0," |  Mangalore to Hyderabad. Third time to me this year their aircraft is having technical problem. Same issue always. A day delay is causing such a trauma to proms like me and business, student life getting effected. Will never fly in this again after today.",Family Leisure,1.0,nan
nan,Economy Class,5.0,June 2018,nan,4.0,nan,yes,Hyderabad to Delhi,3.0," |  Hyderabad to Delhi. I had only hand-baggage, so no interaction with ground staff,on previous occasions i have checked in with spicejet in HYD, a pleasant experience. It was a bus gate, the ride to the aircraft was smooth. Flight was delayed by almost 90 mins. Legroom on this aircraft is less and could have been more. The cabin crew is good and well trained, there was a small medical emergency which was handled well by the crew. This one was an older aircraft. Only negative point is the seat.",Business,4.0,nan
nan,Economy Class,1.0,June 2018,1.0,3.0,1.0,no,Bangkok to Delhi,1.0," |  Bangkok to Delhi. My first experience with airline was terrible, my mistake that I booked the tickets. Air hostesses had attitude rather than respectful. I understood later after flying that its like a discounted purchase but it is still a paid service not free ride. My 2 cents, better training to match airlines like Thai and Swiss.",Family Leisure,2.0,nan
nan,Economy Class,5.0,June 2018,4.0,1.0,nan,yes,Goa to Pune,4.0, |  Goa to Pune. Check in at Goa was smooth but the ground staff are not the friendliest. Flight was on time and boarding etc was perfect. Staff on board were very nice and friendly. They sell food on this 40 minute flight but ran out of most options by the time they reached me- and I was in row 7!! Anyway managed to give me a hot meal that I paid for and that was actually very tasty. Good flight altogether.,Solo Leisure,4.0,nan
nan,Economy Class,1.0,June 2018,1.0,2.0,nan,no,Bangalore to Delhi,1.0, |  Bangalore to Delhi. Worst flight ever. I know flight food tastes bad but at least give something edible. I prebooked my meal for paneer tortilla but was served a cold hot dog bun filled with almost stale lettuce n some weird tasting cream. At least provide what I paid for.,Solo Leisure,1.0,nan
nan,Economy Class,1.0,June 2018,nan,3.0,nan,no,Hyderabad to Bengaluru,3.0," |  I travelled on SpiceJet flight with PNR YY19SM for SG 511 on 11 Jun 2018 (HYD-BLR: 1040-1155). The flight got delayed by more than 60 minutes and there was no information from your crew inspite of multiple requests. I had to be in Bangalore by 1 pm but due to the Flight delay I had missed the important meeting at the time which had affected my plans and had a worst day because of your services. There should be proper information update to the customers if in case of any delay, There is no apology or regret on this from crew end.",Solo Leisure,1.0,nan
nan,Economy Class,5.0,June 2018,3.0,5.0,3.0,yes,Delhi to Surat,5.0,"Delhi to Surat. Nice service, good staff behaviour inflight. When I will come back to India I will choose this airline again. Flight was on-time and arrived into terminal 2 from Delhi just in front of internationl terminal which was very easy to reach.",Solo Leisure,4.0,3.0
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,Delhi to Srinagar via Jammu. The time of my web-booked flight had changed but I had not been notified of this and therefore arrived at the airport far too early. Luckily there was an earlier flight and the person at the ticket counter changed my booking to this flight at no extra cost. Seats were allocated at check in but there was no scramble anyway as there were only 100 passengers. The 737-800 was clean and the crew were quite friendly. Overall a positive experience - but Spicejet have already started cutting routes and frequencies so things are looking tough for the Indian locos.,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,Pune to Chennai return. Flown for the first time with them and found them okay. Planes were new and clean. Both flights were on time. FAs well groomed and do a good job. Food served was not free and was more of a snack. For the fare they charge you its a very good airline to fly with in India.,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,DEL-CJB (via HYD). We chose this flight for its convenient timing. SpiceJet's ticket office at Delhi Airport is very hard to find (as an exception to the rule it's located outside the temporary ticketing hall). Check-in friendly and efficient. Boarding via a bus with a ridiculously high step. Flight left on time meaning we actually lifted off the runway at the scheduled time of 1710 (a miracle given today's crowded Indian airports). Onboard catering limited and expensive. On the second leg (HYD-CJB) there were two incidents of altercations between cabin crew and pax mainly over the issue of the complimentary water bottles not being provided (ostensibly because of turbulence preventing service although the seatbelt signs were NOT on) yet the FAs were happy to serve anyone who wanted to purchase any food or beverages. These two unpleasant situations were not handled well by what came across as a particularly arrogant FA. Landed in CJB on time.,nan,nan,nan
