Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
A330,Economy Class,5.0,August 2018,4.0,4.0,3.0,yes,Colombo to Melbourne,2.0, |  Reasonably good airline due to direct flight from Melbourne to Colombo return. The aircraft seems to be old. On our way up our seat 22K was faulty with meal tray practically hanging off the seat. I was forced to sit in another seat away from my wife. The seats are narrow and very uncomfortable. The plan was on time and arrived online at destination. Very encouraging. Service was good and meals are acceptable. One of the breakfast was egg omelette but it was almost egg soup. The staff are great. I will recommend the airline to travellers from Melbourne to Sri Lanka.,Couple Leisure,4.0,nan
A330-200,Business Class,5.0,July 2018,5.0,5.0,5.0,yes,Colombo to Melbourne,5.0," |  Colombo to Melbourne. Excellent flight, most passengers including me choose to sleep rather than take dinner, was a past midnight departure. Crew were very professional, aircraft was a bit old but business class was great, good movies, good breakfas , bags took long time to arrive but more a Melbourne airport issue than the airline. Would recommend.",Couple Leisure,5.0,nan
nan,Economy Class,1.0,July 2018,1.0,1.0,2.0,no,Trivandrum to Colombo,2.0," |  Trivandrum to Colombo. The lesson learnt was never fly in cheaper airlines. Firstly, the food was not so good but I am OK with it. Seats were not comfortable at all, but it looks clean and neat. Entertainment were OK. Some of the cabin crew acted that they do not want or like to work in that airline. Rude cabin crew, zero hospitality, poor service. I would like to avoid travel by Sirlankan airlines.",Business,1.0,nan
A321,Business Class,4.0,July 2018,4.0,2.0,4.0,yes,Male to Jakarta via Colombo,4.0," |  Flew Male to Jakarta via Colombo. Both flights was on the A321 and the flight from Male to Colombo was the old A321 which do not have inflight entertainment, no recliner seats and smaller legroom on this short flight. Few days later, took the new A321neo on the CMB-CGK route which was more better and have recliner seats, more legroom and IFE. Both flights had great food and good staff service. Overall flight was good, but not for the ground in Colombo which was terrible compared to other airports been on. Next time would prefer to fly EK, QR, SQ, CX, CZ etc as they have better service than SriLankan.",Family Leisure,4.0,nan
A321,Business Class,4.0,June 2018,4.0,4.0,4.0,yes,Male to Jakarta via Colombo,4.0," | Flew Male to Jakarta via Colombo. Both flights was on the A321 and the flight from Male to Colombo was the old A321 which do not have inflight entertainment, no recliner seats and smaller legroom on this short flight. Few days later, took the new A321neo on the CMB-CGK route which was more better and have recliner seats, more legroom and IFE. Both flights had great food and good staff service. Overall flight was good, but not for the ground in Colombo which was terrible compared to other airports been on. Next time would prefer to fly EK, QR, SQ, CX, CZ etc as they have better service than SriLankan.",Family Leisure,4.0,4.0
A330-200,Business Class,5.0,July 2018,4.0,5.0,4.0,yes,Colombo to Bangkok,5.0," |  Colombo to Bangkok. The business class fares are a good deal. Serendib lounge at Colombo Airport has seen better days, but there'a good buffet and travelers are entitled to free showers and a 15-minute head massage. As I had a 7:50 am flight the lounge was not crowded. This flight makes do with the older A330-200 with adjoining seats. I lucked out and had both seats to myself. The breakfast menu offered an extensive tea selection and several meal entrees. Given the near 4-hour flight, extensive breakfast selection, lounge access with free shower and spacious seating, it was well worth the business class fare.",Solo Leisure,5.0,nan
A330-300,Business Class,5.0,July 2018,5.0,5.0,5.0,yes,Colombo to Male,5.0," |  Colombo to Male. Short trip (65mins all up). Used Silk Route check in service which is great, within 3 mins of cab pulling up at Silk Route entrance we had been security screen and checked in, lounge was quiet as it was 5.30am but was full by he time we left at 7am. Good food options on offer for the earlier hour and flights called. Great service onboard, and breakfast served within 15mins of seat belt sign off. A330-300 has a great hard product and whole experience from Check in to Bags off belt was 10 out of 10, great start to a Maldives holiday.",Couple Leisure,5.0,nan
A321,Business Class,5.0,July 2018,3.0,2.0,5.0,yes,Colombo to Dubai,5.0," |  Colombo to Dubai just a day ago on an A321 (4RABR). Flight on time, cabin spacious and pleasant, seats not lie flat but comfortable enough for a 4.5 hour flight. In-flight personal entertainment for me was very satisfying. Food and beverages with a decent array tasted just OK. Service onboard was impeccable, crew were friendly, warm and professional. H",Solo Leisure,5.0,nan
A330-200,Business Class,3.0,July 2018,4.0,5.0,4.0,yes,Melbourne to Colombo,4.0," | Overall I would say good but not excellent. The Aircraft registration showed the plane was manufactured in 1999, so getting close to 20 years old and it showed. It's a shame Sri Lankan doesn't use their newer A330-300's on this route, but I guess most of the traffic is holiday. The seating is fine and flat bed allows proper sleep. Crew were mixed, some great, others very surly, even up front. Food and beverages good, could improve on timing, 4pm take off and a full dinner is served with an hour and then another dinner 6 hours later, with 3 hours still to run. Movies good, headphones average. Sri Lankan has a great product overall but the difference in cabin lay out and amenities between the A330-300's and 200's is stark and needs to be consistent if you want to be airline of choice.",Couple Leisure,5.0,nan
A330,Economy Class,4.0,July 2018,3.0,3.0,3.0,yes,London to Colombo,2.0," | London to Colombo. This is the only airline that has a direct daily service between London Heathrow and Colombo. The aircraft used was the Airbus A330. I did not find the seats particularly comfortable for this 11hr flight. The in-flight entertainment content – movies, TV, tourism was adequate for my requirements. However, there was only one USB socket that worked in the 8 seats around me. The headphone socket was very loose and I had to be very careful in the insertion. The cabin crew showed big smiles when they started off and they tried their best to do their work. They were formal and attentive but not warm. The food was adequate and unremarkable. Later in the flight, the toilet floor was wet. On both legs, the flight was uneventful and arrived on time. I would rate this airline as full service but functional in standards. I would certainly fly this airline again more because it is a direct flight to Colombo from London than the quality of service and airplane.",Couple Leisure,4.0,nan
nan,Business Class,5.0,nan,4.0,nan,nan,yes,nan,4.0,BKK-CMB-CDG FCO-CMB-BKK. We paid 2400 EUR for two business class tickets. Surprised by quality of the service. BKK check-in was quick and easy fast track offered. Skyteam lounge in BKK is basic felt cheap and run down. Flight to CMB was ok old cradle seat for 3 hours welcome Champagne cocktail before meal and wine during the meal meal was ok but very friendly staff and attentive service. CMB lounge was better. Flight to CDG was good lie flat seat for 11 hours IFE did not work at all and they did not bother to apologise. Check-in at FCO was quick and easy fast track offered but lounge at FCO was another sad one very limited food. Seat was old cradle seats hoping to have lie flat but no luck. We were the only passengers in biz class there were 4 flight attendants and 2 passengers. Good service but was a bit too much they brought out full tray of cheese and fruits it was very nice. IFE did not work but they offered media player which worked well. Flight to BKK from CMB was ok we got off the plane in BKK they gave us fast track pass so we could avoid BKK immigration mess. They don't have lie flat on all their business class but the friendly staff and attentive service makes up for it.,nan,5.0,nan
nan,Business Class,5.0,nan,5.0,nan,5.0,yes,nan,4.0,AUH-CMB-BKK-CMB-AUH. All flights on time. Food was good and service professional and friendly. New A320 to/from AUH with AVOD and a good seat for a 4 hour flight. CMB-BKK-CMB on an older Emirates A340 which was excellent AVOD again. Connection on return was 22 hours so picked up from aircraft door and transferred to a 5* city centre hotel. Breakfast and Lunch provided. Very impressed all round especially for the price paid.,nan,5.0,nan
nan,Business Class,3.0,nan,3.0,nan,3.0,yes,nan,2.0,Colombo to Heathrow Business Class. Old cradle style seat disappointing for a 11hr flight with an 0200hrs departure time and thus difficult to sleep. Flight left and arrived on time and service was fine although food rather basic. Price paid was very good and thus cant quibble too much.,nan,4.0,nan
nan,Economy Class,3.0,nan,3.0,nan,2.0,no,nan,3.0,BKK-CMB-FRA. First flight was ok about 1.5 hrs late arrival. The second was 7.5 hrs delayed with no arrangement of rooms some of us slept on the floor! The food coupon was not accepted at the airports only restaurant and neither they nor the airline could take responsibility! No management or service. Ticket was cheap but it made me missed my next connection and it cost me a lot to buy a new one.,nan,1.0,nan
nan,Economy Class,1.0,nan,nan,nan,nan,no,nan,1.0,On a recent UL flight the pre-booked meal I ordered online did not materialise. Subsequently I have complained to the airline but all they do is offer an apology. Upon pushing them further they then responded that they had no records to show that the requested meal was not provided. As a frequent traveller on the airline over the years I am disappointed the customer service level has deteriorated. There is usually also too much waiting about for the hotel transfer at CMB airport.,nan,1.0,nan
nan,Economy Class,1.0,nan,3.0,nan,1.0,no,nan,2.0,"Roundtrip from London to Bangkok via Colombo. Outbound my entertainment system did not work. The cabin crew offered to move me but before doing so they tried the entertainment systems on 3 vacant seats and none had working entertainment. They gave up and apologised offering me a sandwich! On the return flight I was transferring at Colombo expecting a 15hr stopover and to be given a complimentary hotel by the airline. Staff told me I was not ""eligible"" for a hotel eventually I was put on an earlier flight to London. The return flight was acceptable but seats are extremely small and with little leg room. I requested a glass of water this was acknowledged by staff but it never arrived.",nan,1.0,nan
nan,Economy Class,2.0,nan,1.0,nan,1.0,no,nan,1.0,"LHR-MLE-COL. Terrible outward flight on a very old A320. Really narrow seats with no leg room as there was a kind of solid metallic box under the seat in front no foot rest upholstery on seats lumpy and uncomfortable. The seat in front of my husband could not be properly adjusted to upright IFE did not work and anyway unwatchable as the picture was awful. To add insult to injury the food was inedible and cold and we were only offered one tiny glass of wine. We often fly Economy and know that one cannot expect too many frills but this gives a whole new meaning to the expression ""cattle class"". The return flight on 27th Feb in an A340 marginally better in that the seats were no quite so beaten up but all other comments apply.",nan,1.0,nan
nan,Economy Class,4.0,nan,4.0,nan,3.0,yes,nan,3.0,LHR-CMB return. Flights left and arrived on time. Regular supply of drinks. Seats slightly uncomfortable. Going out my wife's IFE didn't work but our seats were swapped.,nan,4.0,nan
nan,Economy Class,3.0,nan,4.0,nan,3.0,yes,nan,3.0,LHR-CMB-BKK return. All flights more or less on time. Food good for economy. Transit in CMB outbound straight forward. Off the plane and into a departure gate within 10 mins. Had to hunt for gate on return but no hassle. The home bound leg is tiring as its all night flights. Seats are a bit hard.,nan,4.0,nan
