Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
A330,Economy Class,5.0,July 2018,5.0,5.0,4.0,yes,Zurich to New York JFK,5.0," |  I was very impressed with the quality of service that the airline provided from Zurich to JFK. The aircraft is new and impeccably clean. We were served a snack and a drink after departure A few hours later with a choice of hot lunches and the portion and quality of food was good. The quality of food is very healthy. Every hour we were offered drinks. The WC was cleaned every hour and herbal soap, hand-cream and facial spray of essential oils were in the bathroom. The seats were very comfortable and especially the headrest. Pillow and blanket of high quality. Later, two hours before landing at JFK, we were offered hot towels, and served a hot sandwich and choices of drinks and Movenpick ice cream and Swiss chocolate. Great service and great people, and I would say above other European airlines that I have flown. The A330 provided a great ride back to NYC. I flew Lufthansa 747 going from JFK to AMS via Frankfurt and on the leg back, SAS to Zurich and Swiss from Zurich to NYC. They are all partners. But I wasn't happy that I could not check in online and received boarding passes for all the segments. I was lucky to have gotten a good seat once I checked in at Oslo SAS counter for the segment, Zurich to NYC. Also, my experience at the Zurich airport was above many in the region. I will do it again if I have to.",Solo Leisure,5.0,5.0
A220-300 / CS-300 (old),Economy Class,4.0,July 2018,3.0,4.0,nan,yes,Prague to Frankfurt,3.0," |  Prague to Frankfurt with Swiss Intl Air Lines. The aircraft was a brand new A220-300 (CS-300) and therefore in top condition. The departure and arrival were slightly delayed. The machine was in a clean condition and the flight attendants friendly. The catering and the drinks according to the circumstances and the small piece of chocolate always a pleasure. Overall, a good experience except for the seats, which were a bit too hard and at takeoff and landing and the aircraft in the rear area are much too loud mechanical sounds from, which are very disturbing.",Solo Leisure,3.0,nan
Boeing 777-300ER,Business Class,2.0,July 2018,3.0,3.0,3.0,no,Bangkok to Zurich,1.0, |  Highly disappointed with my Swiss business class flight from Bangkok to Zurich. Their business class seats are probably the worst I have experienced as some of the seats offer zero privacy and personal space. The Swiss business cabin is weirdly designed with basically three main types of seats: Window/Aisle pair seats which are simply horrible as: - the person seating near the window has no access to the aisle - the seats are very narrow - zero personal space - zero privacy The personal space aspect simply shocked me. There was just a middle console between the aisles and window seat and there was no space to set your bag or shoes or anything actually. This was shocking and I asked the flight attendants to help me understand if I was missing something and she apologized that some seats indeed have no real space and I should just use the overhead bins. The seats offered zero privacy and we also very narrow due to the outdated design although this was a relatively newly delivered aircraft. I would say that from a seat perspective it was terrible. The middle pair seats are better from a personal storage space although they are weird: one is very narrow from a space perspective and offers zero privacy yet a bit more storage space compare to the window/aisle pair and the other middle seat one offered much more space and privacy. Then there are the “throne” seats which come only one in a row which seem great but they cost an extra Euros. So overall from a seat perspective I found it horrible seating in the right side of the plane. Internet was the most expensive I have ever seen and sold by the MB (they count download AND upload) The least expensive option is 20MB for $ 10USD which they suggest is best “if you just intend to shortly check your emails or visit a couple of websites. 40 USD will get you a 120 MB package which on a flight of 11 hours is not enough to actively surf the net. I did not enjoy my flight and will try to avoid Swiss .,Business,2.0,1.0
nan,Economy Class,1.0,July 2018,1.0,1.0,1.0,no,Zurich to Venice,1.0," |  Zurich to Venice. This airline has no customer service. It is a fine airline if nothing goes wrong. Once something goes wrong the airline will not help you. They lost my luggage and began pointing fingers at the airport I arrived in and United because my flight got rebooked. However, it is stated on the Swiss website that they claim responsibility for your luggage once you check it. I have been in Italy for 6 days and have no clothes!",Family Leisure,1.0,1.0
nan,Economy Class,5.0,June 2018,5.0,5.0,4.0,yes,Singapore to Paris,5.0," |  Singapore to Paris via Zurich returning from Paris.  The long-haul flights from Singapore and Zurich a joy - the mains were excellent and side dishes were good, and they've got more bread for you if you want. Every 1.5 hours or so the cabin crew will replenish cups with water or other drinks. Before landing passengers can take as many milk chocolates as they want from their chocolate basket, or head to the snack bar at the galleys which have fruits and snacks for everyone to munch on. Cabin crew on their long-haul flights were warm and friendly, and like some Asian airlines they distribute hot towels. Short-haul European flights were also good with quick but friendly cabin service with food and chocolate. Transiting in Zurich was a breeze - the airport was well designed and very easy to get around. Inflight entertainment on the long-haul flights was good but I was slightly disappointed that they didn't have many music choices. Nevertheless top marks for SWISS, glad I chose them for my trip to Europe this year and would not hesitate to fly them again in future.",Solo Leisure,5.0,nan
nan,Economy Class,2.0,July 2018,5.0,4.0,nan,yes,Zürich to Newark,3.0," |  Zürich to Newark. Overall, it was a good flight, however I have to comment on not such a friendly and professional customer service by one young flight attendant. These absolutely does not apply to her colleagues, all older and probably more experienced males and females- they were wonderful. I am not sure what was going on with this particular female,  her behavior was less than pleasant.",Family Leisure,4.0,nan
CS100,Business Class,3.0,July 2018,1.0,3.0,1.0,yes,Venice to Zurich,4.0," |  Venice to Zurich in business class. Brand new aircraft (CS1), super clean with good toilet amenities for a one-hour flight. Cabin crew quite nice and friendly. Business class seat layout is a joke though as there is no separator at all between business and economy, not even a basic curtain. What is more, seat layout is 3-3 with the middle seat blocked. Legroom is good. Food was very basic and very limited in quantity. Champagne available but overall the selection of beverages is too limited. Not worth the money. Next time I will stick to economy.",Business,2.0,nan
Bombardier CS 100/300,Business Class,5.0,July 2018,5.0,3.0,nan,yes,Vienna to Zurich,4.0," |  Vienna to Zurich. I upgraded from Economy to Business class, were I was just entitled to use the business class facilities on board and not on the ground, which wasn´t a problem. We were flying the little, but new Bombardier CS-100/300. The cleanliness of the aircraft was impressive, as well the boarding was completed very quickly. The pre-departure facilities were a bit disappointing as Swiss is just offering a face towel with a bottle of water, no good sparkling wine or Orange juice, but it wasn´t the big deal, as they provided pillows and blankets as well. A few minutes after taking off the Maitre of Cabin started the service. The flight time was only 1h and 20 minutes. They served a small lunch, more on a cold canapes meal which was with fresh salmon with avocado and a quinoa-bulgur salad, with some swiss cheese. The food quality was good, but the dessert made the meal, a berry-apple mousse with a vanilla foam on top. After it as the hostess saw I was still hungry she came to me with some croissant, still hot and offered me a hot coffee, what a nice touch!  The upgrade was definitely worth it.",Solo Leisure,5.0,nan
A320-200,Business Class,2.0,July 2018,2.0,1.0,nan,yes,Zurich to Venice,3.0," |  Zurich to Venice. This 1h short flight was supposed to be on the new Bombardier CS-100/300, but it was re-scheduled on an Airbus A320-100/200, which is not a big deal as I love both aircrafts. I was coming to the gate from a connecting flight, and they de boarded me on the complete other part of the airport, which became a little struggle not just for my connecting flight but also for many other guests, but they provided a private bus with business class. As I arrived at the guest which was half way boarded there was no separate line, neither a separate business class bus, but the ground staff allowed me to skip the line, which seemed to be a dedicated touch, but it was one my benefits. As I boarded the plane, once again there was not any type of difference between Business class or economy class passengers. The layout is the same of the economy class just with the middle seat blocked and some cm more for your legroom. As usual we were provided with some water and a refreshing towel. After all the hurry to catch my connecting flight we ended up staying on the ground half an hour more than expected, and here were the cabin staff should provide a little touch with is making more pleasant your flight, the ridiculous touch from swiss was offering to everyone a little chocolate praline, with no difference between economy or business class passengers. The service in the sky was really quick as the flight is a short one. The food was terrible, as they served three canapes, two salty, which did not have any type of flavor just intense color and smell and the same dessert in my previous flight, I asked for a coffee and the hostess brought a coffee which she before serving it to me said that It wasn´t a good quality therefore she would have changed for me if I wanted, and now my question is turning up asking me than why should you serve something which you already know that will be not matching the expectation of the guest? As I started to be tired I asked for a pillow which I brought out from the aircraft, once landed as I still had a long trip in front of me, and the maître of cabin apparently saw me and ran after me saying in a not so polite way that I was not allowed to take it out, but I mean it´s ok I can also understand this. As I upgraded to the business class I was entitled to have the priority tag for my suitcase, which is kind of an essential element if you have further connections, and the of course mine arrived after 15 min of the normal delivery of all other suitcases, this was a really big breakdown! In general, the SWISS service is not bad, and I cannot say I did not enjoy my upgrade, but sometimes it´s not required a big effort, it stays all in the little details.",Solo Leisure,2.0,nan
A320,Business Class,5.0,April 2018,5.0,5.0,nan,yes,Zurich to London,4.0," |  Zurich to London. It is always a pleasure flying Swiss and I found out the experience of business class is good even on short haul. Lounge access is of course provided and the seat configuration in 3-3 seat planes like the A320 is great. As opposed to other airlines, Swiss does not put a tray between seats A and C blocking seat B - thus you can sit next to your spouse or friend. Definitely recommended.",Couple Leisure,5.0,nan
