Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,nan,July 2018,nan,1.0,nan,no,Brisbane to Cairns,nan," |  Brisbane to Cairns. My wallet fell out of my pocket when I was getting up from my seat on my flight on July 12th. I noticed while I was coming down the steps onto the tarmac, I was not allowed to go back and check my seat. The crew on the tarmac told me to go to the gate and another crew member would bring my wallet down to me. I was one of the very last off the plane. The crew started boarding the plane almost immediately after we came through the gate. We then had to wait an hour with no communication as to whether or not they had looked for it or if it had been found. The crew couldn't even care enough to actually look at my seat for it and didn't ask for a description. When I called the airline the following day I was told I had to e-mail ""customer care"" to check for lost property. Crew didn't let me know they had found my wallet until the following day, after I had cancelled all my cards and paid to replace my drivers licence. I thought a customer service line would respond right away if they had found something so important. They told me if I wanted to get my wallet back that I had to pay for them to post it back to me. I paid for and sent them an envelope almost two weeks ago and they have not returned my wallet to me. I have been in contact with Tigerair in regards to this, and they repeatedly ignore me and my e-mails. The customer service with this airline is abysmal. Tthe customer care e-mail have been absolutely no help whatsoever. ",Couple Leisure,1.0,nan
nan,Economy Class,1.0,July 2018,1.0,1.0,1.0,no,Sydney to Melbourne,3.0," | Flew Sydney to Melbourne with Tigerair Australia. Seriously, if you can, avoid this airline. It's the cheapest you can find. The service you get is close to none and they will make you pay for even breathing. The flight was delayed and instead of getting an apology, the extremely rude staff made me pay 36 AUD because my carry on was 1.5 k more than their 7k limit, and insisted she had to count my laptop bag as well. I could see that others were getting away with much heavier bags but she was just making a fuss out of nothing for my bag (I don't have an Aussie accent so she gave me a completely different attitude).",Couple Leisure,1.0,1.0
nan,Economy Class,1.0,July 2018,nan,1.0,nan,no,Brisbane to Sydney,1.0," |  Flew to Brisbane with Jetstar in the morning and was flying back to Sydney that night with Tiger Airways. It was the first time I was to fly with Tiger and they cancelled the flight via text and email. I immediately called customer service which is based in the Philippines and waited 15 minutes for someone to answer the phone. After 20 minutes on a mobile phone I realised that I would not be provided with any assistance. I went to the airport and waited two and a half hours for Tiger Airways staff to get to work at 6.30pm. To say Tiger Airways staff are unhelpful is a gross understatement. They could not give a rats about the customer at all, in fact their complete lack of ability to provide assistance was incredulous. Their idea of assistance was for me to sleep at the airport in the clothes I was wearing, go without food or showering and my prescription medication for the next two days. The fact that they are required to put passengers on the next available flight doesn't hold for them if there are no seats available. I was asked haughtily if I had read their terms and conditions. Now I have to wait two weeks to get my money back and they refused to give me a receipt. Disgraceful airline, rude staff with no empathy or common sense and appalling service. Tiger Airlines business practices need to be investigated. To make matters worse all the other airlines jacked up their prices to take cancelled passengers on board. I slept at the airport and had to pay $552 to fly one way to Sydney the next morning. Just a horrible stressful experience and I will never choose Tigerair again.",Business,1.0,nan
nan,Economy Class,4.0,July 2018,nan,5.0,nan,yes,Brisbane to Melbourne,3.0," |  I love Tiger Airways and find their flight crew incredibly friendly and efficient. However today my experience was disappointing because of three young people in row 1 AB&C who were served alcohol again after the cabin service had ceased and the pilot had asked the crew to prepare the aircraft for landing. The individuals concerned were loud, swearing and jumping around in the their seats continually reclining the seat and generally being quite obnoxious. The crew seemed to think their behaviour was OK and a great start to their holiday. It spoilt my flight and that of the person sitting next to me. I don't believe alcohol is necessary at 9.30am I'm not adverse to a drink on a flight but this was not necessary. Overall think Tiger great value but will rethink my next flights. ",Couple Leisure,5.0,nan
nan,Economy Class,nan,July 2018,nan,1.0,nan,no,Sydney to Melbourne,nan," |  Today my group of 23 people booked a trip with Tigerair TT229 Sydney to Melbourne, the flight was cancelled. Staff Tigerair at the airport did not take care of the customers. Lack of responsibility, and would not help us book other flight. Please do not fly with Tigerair. ",Business,1.0,nan
nan,Economy Class,5.0,July 2018,nan,5.0,nan,yes,Sydney to Gold Coast,4.0, |  Sydney to Gold Coast. Poor staff had to put up with terrible abuse pre boarding at gate re customers luggage being over 7kg. Staff continued to be supportive and patient with people making outrageous complaints due to their carry on baggage being over 7kg. Congrats girls for what was an obvious abuse of you,Solo Leisure,4.0,nan
A320,Economy Class,1.0,July 2018,nan,2.0,nan,no,Sydney to Brisbane,3.0," |  Sydney to Brisbane. I don't know why I keep flying this terrible airline. This is the second time they have cancelled a flight on me. I was book to travel on 3 July from Sydney to Brisbane. I was in Canberra and had to drive to sydney to catch my flight. I received a text from the airline to say that my flight was cancelled due to technical problems with the aircraft. The call centre told me that i had two options, a flight to Sydney on the 5th, or a flight to the Gold Coast on the day. Picked the latter because i did not want to pay accomodation charges in Australia's most expensive city. I mentioned to a member of Tigerair staff at the kiosk at Sydney airport that I had been bumped off the flight. Her reply ""why do you keep flying on this airline"". Hardly filled me with confidence. It took me two hours by public transport to get to Brisbane Domestic airport to pick up my car. Dreadful, never again.",Solo Leisure,4.0,nan
A320,Economy Class,nan,June 2018,nan,1.0,nan,no,Melbourne to Brisbane,nan, | We were booked to travel on the 30 June to Brisbane from Melbourne going for our nephews wedding in the afternoon. We booked our tickets on the 20th May. Our flight was at 7am. We were travelling on the 30th June and returning the next day 1st July. We booked parking at the airport and arrived around 5.30am for the flight. The airline has cancelled he flight. They had sent an email about 12.30am saying the flight was cancelled. The airport agents were rude and unprofessional and said to book another flight ourselves. This is completely unacceptable and many people like us were stranded. This airline has got no customer service or sympathy to its passengers. We are completely dissatisfied as we missed a family wedding and ruined our weekend with family and friends.,Couple Leisure,1.0,nan
nan,Economy Class,nan,June 2018,nan,2.0,nan,no,Perth to Melbourne,nan," |  Perth to Melbourne. Horrible my child's first flights delayed twice at 1am in the morning, then canceled until later in the afternoon. Left heaps of people with having to sort out accommodation cost for a few hours and travel cost back home and also the cost of parking for waiting for so long. They did promise to reimburse some accommodation only if you live out of metro area. You pay first then they pay you back after 7 days min. The flight was canceled and the sign below says it all. Pay the extra cash people to get a better air company who will look after you.",Solo Leisure,3.0,nan
nan,Economy Class,1.0,June 2018,nan,1.0,nan,no,Sydney to Brisbane,1.0, |  The flight was cancelled from Sydney to Brisbane and we went to the airport to get more information. The front desk staff was rude and not trained properly to handle customers in a stressful situation. She merely said today's flight (Sunday) has been cancelled and next flight is on Tuesday. As an airline staff member there should be a bit more compassion from the staff towards customers even if it's a budget airline. Customer service is horrible. Never flying here again. Cheap flights means cheap service and use of cheap attitude and language by staff.,Couple Leisure,1.0,nan
