Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,2.0,July 2018,1.0,1.0,1.0,no,Kinshasa to Brussels via Istanbul,1.0," |  Kinshasa to Brussels via Istanbul. I used to be a fan of Turkish Airlines, flew them several time and rarely had an issue - but that was about 2 years ago! Now, it seems that the company has gone down. I just had the worst flying experience I have ever had (and I travel over 100k miles a year). Flight Aug 31st Kinshasa-Istanbul was delayed 12h, were forced to sleep at the airport because the company kept lying about the time the aircraft was supposed to land instead of getting us into a hotel. When entering the aircraft, they had booked 2, sometimes 3 people on the same seat, which created chaos among a group of already on-edge passengers. During the flight (an almost 8hr flight), all we had to eat was a mini sandwich, no meal. Obviously missed the connection in Istanbul, was re-booked on another flight in a middle seat just to realized at arrival that our luggage were lost in transition. There are 3 flights a day from Istanbul to Brussels, yet it took them 2 days to send our luggage. And cherry on the cake, I've been stuck at home all day waiting for them to deliver my suitcases (were supposed to do it from 1pm to 6pm, then from 6pm to 8pm -  it's 8:43pm and still nothing). I had to call them for the third time today just to hear that the guy has not even left the storage facility yet. Never have I seen such disorganization, lack of communication and disdain for customers. And with all that, they don't even bother to send an apology email, or offer compensation -  nothing! Dont fly them!! They used to be good, but clearly not anymore.",Business,1.0,nan
nan,Economy Class,1.0,July 2018,2.0,1.0,2.0,no,Riyadh to Kiev via Istanbul,3.0, |  Riyadh to Kiev via Istanbul. My worst experience with the worst airline. Kiev to Istanbul a delayed flight 3 hours. I lost connection flight and the help desk at Istanbul airport disrespect and poor management and care of passengers . They didn’t provide hotel for delayed flight of one day. Please do not look to low prices they provide I am sure you will regret with such airlines.,Business,2.0,1.0
A330-300,Economy Class,5.0,January 2018,5.0,5.0,5.0,yes,Bangkok to Istanbul,5.0," |  Bangkok to Istanbul. Check in and Boarding at BKK was smooth. A330-300 was modern clean and with smooth lighting. The 2-4-2 layout is friendly and nobody has more than 1 seat to the aisle. The seat was comfortable with nice leg room and recline. Cabin crews were polite and friendly and served immediately after the seat belt sign was turn off. First service aperitif with peanut, drinks and meal menu to passengers follow by the tasty late lunch (2 choices) were delicious and the portions were satisfactory with full choice of drinks. After the main service crews provided bottle of water. IFE works very well with more than 250 films in almost every languages including Thai. During the flight crew came often with drinks or ice creams and before landing crews served dinner. All in all,TK offers a solid economy class product.",Couple Leisure,5.0,5.0
not known,Economy Class,2.0,July 2018,2.0,1.0,nan,no,Atlanta to Cairo via Istanbul,1.0," |  I bought a ticket online for a trip from Atlanta to Cairo Egypt. I received a confirmation email from the Turkish airline. Few days later I received another email saying that my flight has been changed. I looked at my reservation online I did not see any changes. I ignored it. What I did not know and they never mentioned it, is that when something like this happens. the Turkish airline will not allow you to check in online and you need to come to a Turkish airline counter at the airport to manually check in. I arrived one hour before my flight at the Turkish airline counter and no one was there. I tried all possible ways to resolve the issue with the Turkish airline but no help was offered. I had to buy another ticket on a different airline. I will not use Turkish airline anymore and my advice to anyone else try to avoid them at any cost.",Solo Leisure,1.0,nan
A320,Business Class,4.0,July 2018,1.0,4.0,nan,yes,Istanbul to Madrid,4.0," | Istanbul to Madrid. I quite like Turkish Airlines and have flown them extensively throughout the world, in both economy and in the no-longer-existent Comfort Class. This was my first trip, using miles, to fly in Business Class. The crew was attentive, well-groomed and projected a nice, professional image. The airplane has true Business Class, with 2x2 seating (versus 3x3 with mid seat vacant). However, I was extremely disappointed by the food offerings. No menu, a surprise, and the crew rolled a cart down the aisle showing unwrapped entrees. I selected the fish and sad to say it felt like I was eating a 5TL fish sandwich on the Eminonou dock. The entrée was very poor quality, tasteless, and cheap. It cost me a lot of miles and a lot of euros to take this flight; this is the first time Turkish has disappointed me and on the first time flying Business Class. I think Do & Co and Turkish should be ashamed of this offering.",Solo Leisure,3.0,nan
nan,Business Class,2.0,July 2018,2.0,2.0,2.0,no,London to Rwanda via Istanbul,1.0, |  London to Rwanda via Istanbul. Calling this business class is laughable - Premium Economy with a Biz Class price! Such uncomfortable seats and the most bizarre changeover of staff at Entebbe in the middle of the night - no idea that would happen and we had a host of cleaners on board with hoovers. No sleep possible. On the flight for two hours and no offer of a drink. Miserable unfriendly crew. I won’t travel Turkish again.,Business,2.0,2.0
A330-200 / A321-200,Economy Class,5.0,July 2018,5.0,5.0,5.0,yes,Caracas to Munich via Istambul,5.0," |  Caracas to Munich via Istambul. The plane, crew, service on board, ground staff and food were excellent in economy class. We were given blankets, pillows, a travel kit with mask, sandals, socks, camo, hot towels, also the leg room was very good. Because our connection was long we did a free Tour in Istanbul which was very cool. I would definitely travel again on Turkish Airlines.",Family Leisure,5.0,2.0
nan,Economy Class,1.0,July 2018,1.0,1.0,1.0,no,Amsterdam to Ankara via Istanbul,1.0," |  The most horrible ground service! They will lose your luggage and never take care of finding it. When I arrived to Ankara airport my luggage did not appeared on the belt and I then consulted to lost luggage desk. The guy working there told me that he can see my luggage is in Istanbul and they will send it to my address tomorrow. he even told me that they have received an email for my luggage already. The next day nothing happened and I called them. Quite surprisingly I found out that they know nothing about the luggage they even don't know in which country is my luggage at the moment, meaning the THY assistant on the desk lied to me in a very professional way. I has been couple of days now and heard nothing. No one is contacted - besides I then saw the report that the initial guy wrote, the color of my luggage was written wrong and the flight number I took was completely wrong. I wish there would be better options then them so no one would feel they have no other choice.",Business,1.0,1.0
nan,Business Class,2.0,July 2018,2.0,1.0,2.0,no,Mumbai to Helsinki via Instanbul,1.0, |  My wife and I were travelling to Helsinki via Turkish Airlines from Mumbai. I reserved a double seat 100 days prior to the flight. Checked In with the same seat selection as soon as online check in started. However when we reached the airport the staff tells us that there are no double seats on the flight and gave us a seat near the emergency exit. To our surprise we found that there are double seats on the flight. And the so called extra leg space seats are infact the most uncomfortable seats you can have. This kind of blatant lies on part of the Turkish Airlines staff is completely unacceptable.,Couple Leisure,1.0,nan
Boeing 777,Business Class,1.0,July 2018,1.0,2.0,2.0,no,Manila to Istanbul,3.0," |  Manila to Istanbul. I was hoping the return flight would be better that the outbound, Istanbul to Manila. I am sad to say it wasn't, the seat is fine pretty run of the mill business class, does what it says on the tin and had a decent sleep. Where Turkish airlines fails is in its customer service onboard along with the business class menu. Firstly the service on board, there wasn't any real interaction from the crew with their customers, menus' were given out and I was hurried to complete the breakfast menu for later in the flight, welcome drinks were not served until 20 mins after boarding, and champagne had to be requested. The main meal was served, and although it looked pretty it was pretty bland, I chose the chicken, it was dry and tasteless, I have had economy meals in the past and this spread was very much that but served on china. Way below what I have experienced on other carriers. The breakfast meal was just as bad, mainly all choices are based on eggs. Customer service on board, i had the feeling that the crew looking after its business class passengers were lacking in training to work in this part of the cabin, this was apparent from the lack of interaction, the crew spent all the time they could behind the curtain in the galley talking, never walking the cabin to see how their guests are.",Solo Leisure,1.0,1.0
nan,Business Class,2.0,May 2017,3.0,2.0,2.0,no,Dublin to Tel Aviv via Istanbul,2.0," |  Dublin to Tel Aviv via Istanbul. Turkish Airlines fall short in all areas from customer service to cabin and inflight experience. The lounge they use at Dublin is the worst experience. No recognition of business class passengers - we pay for this experience, but it is non existent. Narrowbody business class seating not overly comfortable, especially when in the recline position, especially the leg rest or lack of leg rest. Poor in flight service, feeling of being a burden to the cabin staff, despite only 50% occupation on business class cabin. IFE screen malfunction, poor response from crew and no offer of seat change.  Not worth the extra fare for business class as there was a total lack of experience. I submitted feedback and received a response from them that did not address the basis of the feedback.",Business,1.0,nan
A330-300 / Boeing 777,Business Class,4.0,July 2017,5.0,5.0,5.0,yes,Bangkok to London via Istanbul,4.0," |  Bangkok to London via Istanbul. First leg from Bangkok was an A330. Flight was delayed due to weather in BKK, unfortunately they only announced the delay after everyone had gone to the gate. Flight boarded about 45 min late and the crew were not quite ready when passengers boarded as they had arrived late and seemed a bit stressed about the delay which stuck with them for most of the flight. Despite the stress they were friendly and provided a good service. Welcome drinks were served but they ran out of TK's signature lemonade, which is a bit poor. That said the flight was otherwise great, dinner was served swiftly after take off and the food was a huge improvement on the outbound flight. The steak was one of the best I have had on a flight for years. After dinner beds were made and the lights were turned off. Breakfast was served about 2 hours before landing and this time the crew did remember to collect the breakfast orders so everything was served correctly. Despite the delay in take off we landed on time in IST. Transfer security were not quite awake when we showed up at 4 am in IST but we got through quickly and on to the excellent lounge at IST. While the lounge is excellent, by 6am is was extremely busy and seat were hard to come by. As personal electronic devices has to be gate checked for travel to the UK the gate process took about 15 minutes to get through but TK has done a fairly good job of streamlining the process, especially for business class passengers. Boarding was reasonably organised and boarding for the LHR flight was quickly completed. Flight this time was a Boeing 777 which left on time from IST. Again breakfast was quickly served. While the hot choice was limited is was tasty none the less. The cabin crew was far more relaxed on this flight and an absolute pleasure. Flight landed on time at LHR. The process of getting PED's was almost as cumbersome as getting them checked in but TK staff did their best to return devices as quickly as possible.",Couple Leisure,5.0,3.0
nan,Economy Class,3.0,June 2017,5.0,4.0,5.0,no,Beijing to Atlanta via Istanbul,5.0," |  Beijing to Atlanta via Istanbul. The flight itself was very good. My issue is with the mediocre to bad service outside of the flight. I purchased an economy ticket and tried to use my miles (from another airline within Star Alliance) to upgrade one segment of the flight. Simple? Not at all. I made sure that I purchased the ticket with the correct code (B) since you can only upgrade on Y and B codes. Then I upgraded the ticket using my miles, but was then told that the upgrade would change the code to an I. Code I does means that I get no miles for the flight even though I paid full price for the ticket. I tried to contact Turkish Airlines through their website and received no reply. I tried to contact them through their social media sites and was told to be patient and I would receive a reply. Two weeks later I checked the status and found out that Turkish Airlines had canceled my ticket. I contacted my travel agent who found out that my upgrade had created a duplicate ticket in their system so they had just canceled everything, all without informing me. Then they tried to charge me a reissuing fee for their mistake. Then I tried to upgrade again and couldn't online so I contacted them (this time by phone) and was told that their system was down and they couldn't do anything.",Couple Leisure,4.0,nan
nan,Economy Class,4.0,June 2016,5.0,4.0,4.0,yes,Bahrain to Tunis via Istanbul,3.0," |  Turkish Airlines has been one of my favorite airlines for this route among various options, due to the unavailability of direct flights between Tunisia and Bahrain. The outbound trip from Bahrain to Istanbul came on a date that was critical (28 Jun 2016 and what happened in Istanbul Airport). The airline and airport services worked professionally to cope with the stress around, rescheduling flight cancellations and assigning delayed people to new flights, others have been taken to hotels. I was travelling with my family, everything was arranged smoothly and since we got delayed for the flight of the next morning, we were offered a 5 star hotel accommodation and a Business class upgrade for the connecting flight to Tunis.",Family Leisure,5.0,nan
Boeing 737-900,Economy Class,5.0,June 2017,5.0,3.0,3.0,yes,Istanbul to Abuja,1.0," |  Istanbul to Abuja. Lovely flight, customer service lovely, nice meals, kept to time and very punctual. The Boeing 737-900 is a very small aircraft for a trip of 6 hours+, very uncomfortable and barely have space to stretch or move about. But overall great flight except the fact that the aircraft is so small.",Solo Leisure,4.0,nan
nan,Economy Class,1.0,July 2017,nan,1.0,nan,no,Cape Town to Athens via Istanbul,1.0," |  Cape Town to Athens via Istanbul. They charge for sporting equipment stating it's a 'handling fee'. They are happy to take golf bags and skis free of charge, and diving equipment to three destinations free of charge, but the rest of the world they charge for. It really can't be that hard to handle some fins, a mask and a very small speargun for no charge can it, especially when these make up the only form of checked in baggage? And they do not weigh more than golf equipment or don't take up more space than a golf bag. I've never dealt with an airline that has such inconsistent rules regarding baggage, and made taking other goods overseas so difficult. Speaking to customer service they can't do anything either. Oh and they don't charge sports baggage fees as a single trip return, they charge for each destination where you stop / layover, both there and back, so you could pay up to 90 euros one way,and the same return.",Solo Leisure,1.0,nan
nan,Economy Class,3.0,May 2017,3.0,1.0,4.0,no,Seoul to Athens via Istanbul,2.0," | Delayed take off from Seoul to Athens via Istanbul with Turkish Airlines . Longer trip time (10.5 hours) from the reverse trip (Istanbul to Seoul) though the present voyage is anti-clock wise i.e. you earn some distance from earth's clockwise rotation. Same flight from Istanbul to Seoul was 9.5 hrs. Insufficient cleanliness of the cabin. Normal service. Food variety short. Seats on both flights had small space with front seat, knees were stuck on front seat for a medium size man (1.75 height).",Solo Leisure,3.0,3.0
A330 / B777,Business Class,5.0,June 2017,5.0,4.0,5.0,yes,London to Guangzhou via Istanbul,4.0," |  London to Guangzhou via Istanbul. I chose Turkish Airline on this occasion instead of my regular Qatar Airways. Was a bit apprehensive choosing this airline but what a fantastic airline it turn out to be, flights were punctual, priority boarding at all sectors, attentive and smiling FAs plus a chef on board preparing food which was very tasty and flatbed seats on both aircraft. The only issue, nothing to do with the airline, is the last leg, Istanbul to London and it can be daunting especially after a 10 hour flight where you go through security checks twice and no laptops on hand baggage. Although flying Business Class, the queues is very much the same as travelling economy and it took forever. Apart from the security checks at IST, everything else was as good if not better than some other 5* airlines I have flown. Give this airline a try and you will be pleasantly surprised.",Business,5.0,5.0
