Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
Boeing 757,Economy Class,3.0,April 2018,4.0,2.0,nan,no,London to Tashkent,1.0," |  London to Tashkent. Plane left and arrived roughly on time. Very old, tatty and worn out Boeing 757 with very uncomfortable seat for a night flight and limited leg-room. Cabin crew were friendly but with limited English. Food was tasty. First time flying with Uzbekistan Airways and wouldn't do it again if there were any other direct flights available. All a bit too rough and ready for a 7 hour overnight flight.",Solo Leisure,2.0,nan
nan,Economy Class,1.0,March 2018,3.0,1.0,1.0,no,Riga to New York,1.0," | Riga to New York. Uzbekistan Airways is the worst airline ever. They are all rude - starting from the customer service via mail to staff on board! They don’t care about customer at all and do/say whatever they like. Do not recommend. The food is okay, enterteinment on board is okay but English is terrible..",Family Leisure,5.0,1.0
nan,Economy Class,1.0,March 2017,4.0,1.0,1.0,no,Kuala Lumpur to Tashkent,2.0," |  Kuala Lumpur to Tashkent. Worst airline ever with their rude flight attendants and ground staff. It’s the only airline in Uzbekistan and no competition, that’s why they act whatever they want. You can’t complain to anyone because no one going to listen to you! I don’t recommend at all. But food is good.",Solo Leisure,3.0,1.0
Boeing 767 / 757,Business Class,4.0,August 2017,3.0,3.0,1.0,yes,Beijing to Frankfurt via Tashkent,3.0," |  Beijing to Frankfurt via Tashkent. Check in at T2 in Beijing was easy and staff where giving priority to business classs passsengers. Lounge was okay even so I would not be happy if I was hungry. Boarding and flight were almost on time whichbin Beijing is almost like a miracle. Flight attendants were not over the top but decent and friendly. Food was not my taste but I guess this is a matter of what you prefer. Transit experience was nice for the lounge but transit staff at Taschkent were not so helpful and for some reason kept me waiting in a corner and could not tell me what for only to tell me then I could walk on now.  Lounge run out of beer and food were snacks at best which you have to heat up by yourself. Internet was not working for me. On the leg to Frankfurt last minute change to Boeing 757 rather 767. Plenty of upgrades as a result as economy overbooked. The plane was old not very comfy for sleeping. The 767 before was much better and even so not a full flat seat it was alright to sleep. So seats are dependent on aircraft used. B767 is okay B757 is not. Guess 787 would be okay as well. Things are kept clean, IFE is utterly useless. Transfer in TAS easy if they do or tell you to wait for no good reason. Staff is average, which means like they seem to do their job alright but there was no pleasant surprises in service concept at all. Well considering they were cheap I would say I recommend to fly if all you are really after is a cheap seat with extra legroom. If you want a full business class experience I would avoid them.",Business,5.0,nan
Boeing 747-400,Business Class,5.0,October 2016,4.0,5.0,3.0,yes,LHR to TAS,5.0,"My wife and I flew Business Class out and return because of poor reviews. We were part of a group of holidaymakers. The Skyteam Lounge at Heathrow can not be faulted. We found the aircraft to be like many others, with the odd fault - my wife's inflight entertainment selector wasn't working on the return journey but she sleeps so it wasn't a problem. We had very attentive and pleasant staff with a choice of meals and drinks. Alcoholic drinks are available on request. The seats were very comfortable and reclined not too far from flat. On the return journey the Lounge at Tashkent had limited snacks available and alcoholic drinks had to be purchased. Boarding was swift and efficient. TIp - the Duty Free shop on landing is much cheaper than the Duty Free in Departures. We have absolutely no complaints about Uzbekistan Airways. Our fellow travellers in Economy were pleased with their journeys except that they had no choice of food. On the outward and return journeys there were not many Economy passengers. As a result they were able to sleep across three seats. Business Class was full. We read dire reviews of Uzbekistan Hotels too that were completely unfounded. The City Palace Hotel in Tashkent was excellent by any standards. The Asia Hotel in Fargana was another excellent hotel in rooms away from the noisy road. Don't believe everything that you read about Uzbekistan transport or hotels. I hesitate to label previous contributors as 'moaners', but that passes through my mind. Hotels tend not to supply plugs for basins and baths - take your own. Uzbekistan is a developing country and making a good job of it. They do need to make a good push to improve the quality and cleanliness of public toilets, which in some cases can only be described as dreadful. The i.pad has films but even if you choose English language, you get Russian.",Couple Leisure,5.0,nan
A320,Business Class,1.0,October 2016,3.0,1.0,1.0,no,TAS to DEL,1.0," |  This was my 9th trip on Uzbekistan Airways on the route Delhi to Tashkent return. I read many adverse review about this airline, but my experience was generally good. All this, however, changed on my last trip TAS-DEL on 26 October 2016. After taking my seat in the business class, I plugged my mobile phone's charger into the power socket on the seat panel. When charging was completed, I pulled out my charger, but, along with it, the plastic front of the socket too came off. One of the stewardesses straightaway told me that I damaged it because it cannot come off on its own, and that I was not careful. This behavior of a stewardess amazed me.   This apart, it is unusual that business class passengers would be told something like this. I checked the Uzbekistan Airways web page for a feedback page, but, there was none. They have phone numbers, but no email address for contacting them. No web page like Contact us. As far as I am concerned, they lost me as a passenger.",Business,4.0,nan
Boeing 757-200,Business Class,2.0,October 2016,2.0,3.0,1.0,no,LHR to TAS,1.0," |  We flew to Tashkent on 11 October 2016 from London. This was a night flight of 7.5 hours and we wanted to sleep but it was not to be! This was an ancient plane whose business class seats reclined only a few degrees, it was 2x2 seating, did not taste the food as wanted to sleep. Tablets with pre loaded entertainment was offered. I don't understand why such ancient planes are used on such a route, they have Boeing 787 but these are not thought to be worthy of this route. The washrooms were sparsely equipped. A very uncomfortable sleepless night flight?",Couple Leisure,3.0,1.0
Boeing 767-300,Business Class,3.0,October 2016,2.0,4.0,2.0,no,TAS to LHR,3.0," |  Tashkent to London. After having flown their Boeing 757 this flight was much better. The check in at Tashkent is a dedicated business class area and security clearance. The flight was on schedule. The aircraft was clean with comfortable seats with reasonable recline. The best IFE was the flying map! The wash room was sparsely equipped, with only Air freshener. The food was average. FA spoke reasonably good English.",Couple Leisure,3.0,nan
Boeing 767,Economy Class,2.0,August 2016,1.0,1.0,1.0,no,RIX to JFK,3.0," |  New York JFK to Riga. This is a terrible airline. I asked the check-in desk staff about buying an upgrade to business class - they claimed that cannot be done, told me I’d need to buy a whole new ticket. The staff is so incompetent the company actually loses money. Trying to get assistance any from either Air Baltic or Uzbekistan Air both tell you to call the other and claim they cannot help. This is my first and last time choosing Uzbekistan Airways, I blame myself for believing some of these Eastern country airlines would compare to the western airlines. There was no power / USB outlet, no personal tv, and they give you about 6-8oz of water for the 8 hour flight. You have to harass the staff to get more tiny glasses of water.",Solo Leisure,1.0,1.0
Boeing 767,Economy Class,1.0,June 2016,1.0,1.0,2.0,no,SIN to KUL,1.0," | Singapore to Kuala Lumpur with Uzbekistan Airways (HY551). I travel frequently between Singapore and KL, and I can say that it was my worst flight experience on this route. The boarding process was chaotic, I queued for at least 15 mins before boarding. The seat was very cramped and the cabin crew were unfriendly. The cabin was very stuffy before the takeoff. During the flight, there was no refreshment at all, apart from the welcome drink which was served before takeoff. There were PTVs available at every seat but it took me ages even to switch the language to English. I'm very disappointed at this airline, I paid SGD141 for this one way ticket (which is three times the price for AirAsia) and get this kind of horrible service. I will avoid this airline at all times.",Solo Leisure,1.0,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,Two stars is an average of 3 stars for international a 1 star for national flights. I experienced Frankfurt-Tashkent-Frankfurt Tashkent-Chiva-Tashkent and Tashkent-Bukhara- Tashkent. Airplanes on international flights are mainly Boeings 757 quite new ones national manly Tupolevs 155M probably from 80´s. Space in planes is comparable to any other airlines service is quite pure. Local people do not look for right seats very carefully so the staff ask you to sit anywhere at the end of boarding. You also have to know that there are two separate buildings at the airport – national and international. The business lounge at Tashkent airport has improved a lot – if you travel in business or with gold cards look for business check-in counter which is located in the corridor next to main hall.,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,Took two flights with this outfit a return TAS-ALA-TAS. The outbound flight went well booked it online via Opodo and was given an E-ticket. The aircraft was a Boeing 757. The return was a different matter and it all went wrong from here! I was not able to get the return flight I wanted but was advised to go to the airport in Almaty before the flight as they usually hold a couple of seats for every plane. My girlfriend is Russian and spoke to the staff on our behalf. We were informed that we could have two seats - but we would have to pay a bribe on top on the standard seat charges! I took exception at first but then worked out that it would be cheaper than paying an additional day for accommodation. However it then transpired that the staff were in-fact refusing seats to another couple telling them that check-in had closed for them when in reality there was 30 minutes left for check-in. Clearly they were being denied boarding so that the airline staff could collect my bribe! I felt terrible but did not have to cancel my deal with the staff as the couple being denied boarding work out that they would need to bribe the staff too! They did so and where allowed to proceed to check-in my girlfriend was then told the seats were not available after-all! She also informed me that they ground staff were really very rude indeed to this couple having threatened them with “trouble” if they complained about the flight being closed early! We went to a travel agent and book a normal ticket on a later flight without any bribes! That flight to Tashkent was then not on a nice 757 but on a Russian Tupolev 155 aircraft. While it is quite special in a way to have the full Soviet Union flying experience it is not comfortable quite or smooth! With no turbulence this thing rockets up and down like a fighter jet; the noise is such that you may as well be sitting on the wing! While we took off on-time we were met with fog in Tashkent and diverted to Sarmankand only landing in Tashkent some hours late. As such I missed my Aeroflot connection to Moscow and spent hours killing time in the airport. The funny thing was the only bar in the departure lounge does not take the national currency – just Russian Rubles and dollars! The cherry on the cake was again the ground staff coming back for bribes! I was well overweight for my Moscow connecting Aeroflot flight but $50.00 was exchanged and the matter resolved! In London the extra weight had cost me $300 which Aeroflot lost on my return thanks to the Uzbek business culture. Corruption has two sides it can be very disruptive and also very convenient but on the whole I can do without it in future.,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,TAS-FRA surprisingly was on time. Old A-310 was put for this flight with old seats and poor entertainment. Entertainment always a lack of Uzbekistan Service. Crew was ok they were friendly enough but nothing extraordinary. For money they charge Uzbekistan Airways can be bit more concerned about their services.,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,London to Tashkent and back. Once again the inflight experience was OK. Flights were on time both ways despite the usual Heathrow problems. The aircraft interiors are getting a little scruffy especially the seats. They have upgraded the IFE to a DVD system. According to their magazine they have ordered 2 Dreamliners and 6 A320's so things could improve after a couple of years.,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,Tashkent-Urgench-Tashkent. Staff try to get your money for everything even if most of them knows me personally after 5 years of same destination - extra baggage better seat etc. When you want to reserve a seat mostly you'll get a negative answer first. They will tell you that flight is full. What they do is reserve some seats for artificial names. That way the flight seems full when you attempt a reservation. If you pay an under-the-counter fee she will change the name on the reservation on your name and you got your seat. Same during check-in : they will ask you to put your hand bag/computer/whatever on to the scale. If you are somehow +20 they will start to make faces and convince you that it will be too expensive if you pay official fee. They will ask you to pay half of the money that you'll pay officially directly to check in staff. I don't do that now as the official fee is also is not that much. I simply ask them to write the extra weight which I check each time and go to pay to the counter. The officer in the counter is also surprised as this is not very common. If you'll ask for a specific seat they will make you understand that it is available against a small tip (2-3 USD). Don't as usually no one sits in accordance with the assigned seats and it is almost impossible to convince the person who have sit to your place to move. In the past you might also tip (20-50 USD) in the cabin and ask for a Business Class seat but I do not know if this is still possible.,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,I have flown Uzbek air extensively including international regional and domestic flights. They are not a great airline by world standards but are great by regional standards. That said if you want to fly to Uzbekistan or fly within Uzbekistan you probably won’t have much of a choice but to fly Uzbek Air. If Uzbekistan is not a destination then they are probably overpriced for the service and I would use another carrier unless your schedule requires a transit though Tashkent. For international I would give them a 3 star overall and a 2 star for domestic flights.,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,no,nan,nan,ATH-TAS return. Both flights on time. The personnel were friendly enough and eager to help you. The food was good only food presentation and trays were standard. There were two servings of drinks on each flight. The only complaint - inflight entertainment system was outdated (overhead screens with two outdated movies and some channels with music). The planes were old but clean. Overall a good experience with no troubles.,nan,nan,nan
