Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,3.0,July 2018,3.0,1.0,1.0,no,Sydney to Darwin,3.0," |  Sydney to Darwin. Upon arriving in Darwin at 2.00 pm I found out that my bag missed my plane due to the carousel breaking down in Sydney Virgin staff advised me that it would be arriving that night at 8.00pm and they would call me to arrange dropping off Well no call that night , tried to contact Virgin at Darwin and find out they have all gone home Call the National assistance number at 9.00 pm and get told to call back tomorrow Went to airport next day at 11.30 when they open and it takes Virgin staff 30 minutes on the phone to locate the bag - it was given to a Taxi Driver with 2 other peoples bags the night before The Taxi driver has not tried to call me and taken 2 bags home and is in bed. My bag is brought to the airport at 12.40 by Taxi drivers wife After lodging a complaint with Virgin upon returning to Sydney all they have to say is that shit happens and they will pass on complaint to Darwin! We wasted half a day in Darwin when we could have been heading off somewhere else.",Couple Leisure,4.0,3.0
nan,Premium Economy,1.0,August 2018,nan,1.0,nan,no,Adelaide to Perth,1.0," |  Adelaide to Perth. Delayed flight twice. Original departure time 14:25, this was delayed day before departure to 16:50, day of departure flight delayed again until 18:05. They always cancel or delay flights since they are losing money. The flight to Adelaide I suspect wasn't full so they have swapped the plan out to minimise their loss. Save yourself the headache and fly Qantas - bit more expensive but at least they depart at the time stated when you purchase the ticket!",Solo Leisure,1.0,nan
nan,Economy Class,5.0,July 2018,3.0,1.0,nan,no,Sydney to Brisbane,3.0," |  Sydney to Brisbane. Virgin Australia does not know what Customer Service is! I was about to start my semester abroad in Brisbane (I am from Europe) and had my final flight with VA from Sydney to Brisbane, and the one hour flight was already delayed 30 minutes, when we arrived, 75% of the luggage did not. We immediately contacted the Baggage Service and gave our details in order for them to bring the luggage to the accommodation. They said it will not take longer than one day - fine. However, my luggage has not arrived the second day - I tried to call the baggage service hotline multiple times, but no one ever picks up the phone. I left a message, I sent two emails and one complaint, no one answers. I called the Customer Service Hotline - had an hour call and got told to call the baggage service and write a complaint (which I already did)... they do not work together internally or where able to check any information, which is a joke as such a big company! As I just arrived in this country and do not own anything besides my carry on, I had to buy clothes and everything I need for the everyday life which is pretty expensive in Australia. After four days, suddenly my bags arrived at the door, but there was no apology besides a ridiculous paper tag 'SORRY'. Ever since, they have not replied to my emails, not called back or done anything. Its been 13 days by now - I sent them another complaint with my expenses and receipts - no sign of any customer service at all. I am more than upset, disappointed and annoyed - its not my fault, that my baggage is lost, I had ridiculous expenses (as a student especially hard to deal with) and I have spent so much time on trying to get in contact with this poorly managed airline. Never again!",Solo Leisure,1.0,nan
nan,Economy Class,4.0,July 2018,1.0,1.0,1.0,no,Denpasar to Sydney,1.0," |  Denpasar to Sydney. We got to the airport over 2 hrs early , looked for the scales, all out of order and stood in the checkin line waiting to check in, 3 staff counters for all virgin flights, with 3 priority, 3 online staff, who had nobody 98% of the time and did nothing. We were finally pulled through the crowd to check in 5 people to be told we were 7 kilos overweight on 2 bags. Move things around, as we went to try, we were told quite rudely to pay $250 or lose our flights as we were out of time. I paid the money and hurried through the airport as our plane was boarding, this delay was not our fault. It was freezing on the plane and I asked to buy the blanket packages for the 5 of us to get told sorry sold out. And we are not turning the air down. Really cramped and uncomfortable flight due to cold. We landed in Sydney to a show of the baggage staff throwing our bags from the plane to the trolleys and quite hard.  This airline has the most disgusting Customer service experienced in my life. We fly every 6-8 months and will never fly virgin again even in an emergency. Stay well away from this airline.  Told there was inflight entertainment to find out you need to buy the packages as well. An absolute disgrace.",Family Leisure,1.0,1.0
Boeing 737,Business Class,5.0,July 2018,3.0,1.0,2.0,yes,Perth to Brisbane,2.0," |  Perth to Brisbane. No service with a smile from ground service, very abrupt. Lounge was good and even the cook was friendly when he talked about his thai chicken soup. Typical 737 implies seat recline is limited, although spacious. Food was good. Cheese platter was most memorable. However, as my other flight with VA, the fish was not on the menu as well. Entertainment was average. Selection is not the greatest considering such a long flight.",Business,3.0,nan
Boeing 737,Business Class,5.0,July 2018,2.0,2.0,2.0,yes,Brisbane to Perth,2.0," |  Brisbane to Perth. Friendly host and good food. Seat was spacious but limited on how much recline one can do. A bonus was free Wifi on the plane. I was really disappointed at the menu. The flight did not stock a menu item and ran out of the cheese platter. The host tried to provide an alternative using economy class cheese. Overall great service, not so good on the seats and poor on the menu availability.",Business,3.0,5.0
A330,Economy Class,5.0,June 2018,5.0,3.0,5.0,yes,Auckland to Hong Kong via Melbourne,4.0," | I frequently travel to Asia on Air New Zealand, SQ, and Qantas and I had low expectations of VA given the cheap fare. I was wrong. They exceeded my expectations, crew were excellent - attentive and funny. Meals were above what I see on Air New Zealand, and were better out of Hong Kong than Melbourne which was a surprise. I was offered a second meal by crew as there were leftovers - this has never happened to me before. Excellent choice of films and TV. Seats were comfortable. The only drag was having to board at a remote gate in Melbourne. Took a while.",Business,5.0,nan
nan,Economy Class,3.0,June 2018,nan,1.0,nan,no,Melbourne to Adelaide,3.0, |  Melbourne to Adelaide. Shocking Service. Been at the airport for my 9am flight and still waiting with no communication. Flight is now suppose to depart at 5:20pm. I use Virgin Australia for business not because I want to but my work has corporate deals otherwise I would have never used them. Flew with Jetstar and Tiger many times which is much cheaper and has always been a good experience. If you prepare to wait at Melbourne airport due to Virgin please go ahead. I will never recommend Virgin.,Business,1.0,nan
nan,Economy Class,5.0,June 2018,4.0,5.0,4.0,yes,Townsville to Brisbane,4.0," |  Townsville to Brisbane. First time on Virgin Australia so I was a bit wary, had no cause really. Staff at check in were friendly, didnt take up the offer to have assistance, will next time. The staff at the gate took a group of us on first because of assistance issues. They were friendly, courteous, and was very attentive. They arranged for transport at the end of the flight which was waiting at the gate, thank heavens. The entire flight was enjoyable and i will travel with them again.",Solo Leisure,4.0,4.0
A330-200,Economy Class,3.0,June 2018,2.0,2.0,1.0,no,Melbourne to Hong Kong,3.0," |  Melbourne to Hong Kong return. The onward flight was more than 1 hour delay and the return flight was 3.5 hours delay. Flightstat has showed more than 1/3 of extreme long delay on both sectors. It is a shocking statistics and is the worse for direct flight of the sector. The food is of a budget airline standard and the entertainment option is limited compared with the other airline of the same route. Cabin service is quite good and I do understand the pressure they have to take to handle constant long delay flight. The fare is in the cheapest for direct flight normally about $200-$300 cheaper for direct flight.  If you are a budget traveller and have plenty of time this flight can be a good option. If timing is a vital part of your journey, it is better to avoid the flight at all cost. Unfortunately, I am the latter one even I have put in 2 hours as a safeguard. There is one thing I don't understand, The flights for this sector is either on-time of seriously delay but not in the middle - small delay.",Solo Leisure,2.0,nan
