Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,5.0,March 2018,5.0,5.0,nan,yes,Cochin to New Delhi,5.0," |  Cochin to New Delhi. Fabulous. The best inflight experience. Great food choices, well trained staff make the service a memorable trip for passengers. Keep going and keep shining. The best in India and kudos to the entire team.",Family Leisure,5.0,nan
A320 neo,Business Class,5.0,February 2018,5.0,5.0,nan,yes,Cochi to Delhi,5.0," | Flew Vistara for the first time during a recent visit to India from Cochi to Delhi. Not difficult to tell that Singapore Airlines is involved as a partner in this airline. Check-in, boarding, and in-flight service were all superb. Flight was on-time and bags reached the carousel before we did. vistara doesn't have as extensive a network as the other Indian airlines, but seem to be in expansion model. Great airline!",Couple Leisure,5.0,nan
nan,Economy Class,4.0,February 2018,4.0,5.0,nan,yes,Delhi to Bhubaneshwar,4.0," | First time flying with Vistara from Delhi to Bhubaneshwar, and overall I was impressed. The gentleman at check-in was extremely professional, courteous, and helpful, as were the rest of the staff. The aircraft was modern and clean. The only small downside on the whole flight was the fact that they run their own rewards program, rather than being integrated with existing international programs ie Flying Blue, or Star Alliance - hence after 15 flights so far this year, I have still only been credited with 13 of them.",Business,4.0,nan
A320,Economy Class,5.0,February 2018,5.0,5.0,2.0,yes,New Delhi to Mumbai,5.0, |  New Delhi to Mumbai. Flying with Vistara is a different experience altogether. Flying in UK963 from New Delhi to Mumbai was good. The staff was friendly. Even the flight attendants were helpful. Food option was both Veg and Non Veg servings. Local delicacies were served during the flight which is unique to Vistara. The plane was clean and tidy. The only con for the flight was a lack of In flight entertainment.,Business,4.0,1.0
nan,Economy Class,5.0,January 2018,5.0,4.0,nan,yes,Varanasi to Delhi,3.0," |  Varanasi to Delhi. I had a really wonderful flight with Vistara. It was slightly more expensive than budget options, but offered a wonderful snack (a large samosa and a chocolate muffin), a cup of decent coffee, and a small water bottle, all for free. It was a bit unexpected and very delicious. All staff had great manners and I felt very comfortable, despite seats that were a little weak on cushioning. Would recommend.",Solo Leisure,5.0,nan
UK 734,Economy Class,5.0,January 2018,5.0,5.0,5.0,yes,Ranchi to New Delhi,5.0," | Vistara, what a blessing in disguise. I was travelling with my infant daughter alone and this fact was taken note of right from the entry gate of Ranchi airport to exiting the gate of New Delhi Airport. The airport staff and cabin crew members were co-operative throughout. I am a frequent flyer, this has been the best I've experienced till now.",Family Leisure,5.0,5.0
nan,Economy Class,5.0,November 2017,4.0,4.0,4.0,yes,Mumbai to Delhi,5.0," |  Mumbai to Delhi. The food is included in fare with Vistara. It was Ekadasi from Hindu calendar, of course I follow this. Air hostess offered me khichdi food, after noticing that i told her that i can't eat khichdi. I believe that she understood that i don't want to eat Khichdi. So she offered me her food box, then i told her, today i can't eat rice in any form. She apologized & after some time some how she offered me some fruits & cookies to eat. Really appreciable for what she did on right time. I don't know whether airline trained air hostess for this or it was her initiative. Thanks to Vistara for such nice experience.",Solo Leisure,5.0,nan
Airbus A320,Economy Class,5.0,September 2017,3.0,5.0,nan,yes,Delhi to Mumbai,4.0," |  Delhi to Mumbai. Vistara’s service is aimed at a premium overall appeal. The website interface is smooth, although the app could be better designed. Web check-in is smooth, and you don’t need to pay extra to pre-reserve a window/aisle seat of choice. Even spot check-in is easy, bag drops are always hassle free even in busy terminals like the T3 at New Delhi. The seats have comfortable leather. Leg and knee room is among the best, and you also get a coat hanger hook. However, no in-flight entertainment is a disappointment for a premium full-service airline. The food options are changing, and still remain decent. However, they were better when Vistara began, even though they still remain better than Jet Airways and Air India. The staff is very helpful and amiable, and  offer extra pillows and blankets. This was also the only domestic flight to offer a welcome drink in the Economy Class. Vistara is the best domestic airline in India in terms of quality, hospitality, cleanliness. The only thing really off-putting are the very few flights that they have right now even on popular routes, and the lacklustre Club Vistara membership programme.",Business,3.0,nan
nan,Economy Class,5.0,November 2017,5.0,5.0,nan,yes,Hyderabad to Delhi,5.0," |  My parents travelled this morning with Vistara from Hyderabad to Delhi with connection to London via a different airline. The connection time we had between two flights was only 1 and half hours and we were made aware that the luggage had to be collected in Delhi and then checked-in again in the other airlines to London. As my parents were travelling for the first time, they started panicking as they do not have enough time to collect the luggage, got to the other airline desk for check-in , immigration and to the gate. But Vistara Airlines helped and checked in the luggage in business class so their luggage would come first and they can collect immediately when they come out.  They made my parents feel comfortable during that flight and arranged staff to assist them to reach the other flight on time with best support an airline can offer. Hats off to Team Vistara for such amazing support. ",Couple Leisure,5.0,nan
nan,Premium Economy,4.0,October 2017,4.0,4.0,nan,yes,Delhi to Bagdogra,3.0," |  Delhi to Bagdogra. Boarding was quick. Cabin crew were very polite, helpful, and courteous. Food was alright. They offered bunch of drinks. All were non-alcoholic though. I wish the seats were better, considering it's premium economy. The aircraft looked like old. May be they have leased it from other airline or agency. Overall it was good, and will fly again.",Solo Leisure,4.0,nan
