Aircraft,CabinFlown,CabinStaffService,DateFlown,FoodAndBeverages,GroundService,InflightEntertainment,Recommended,Route,SeatComfort,Textchunk,TypeOfTraveller,ValueForMoney,WifiAndConnectivity
nan,Economy Class,5.0,July 2018,5.0,5.0,nan,yes,Halifax to Paris,5.0," |  I had an excellent experience flying with Westjet from Halifax to Paris. The plane was roomy, the in-flight service friendly and helpful, and the booking and check-in processes were simple and efficient. I would highly recommend them for your overseas flight.",Couple Leisure,5.0,nan
nan,Economy Class,3.0,July 2018,3.0,1.0,nan,no,Toronto to Orlando,2.0," | July 28th, 2018 booked to fly from Orlando to Toronto for 6pm. 5.36pm - new time 7.10pm, 6.15pm - new time 7.50pm, 6.41pm - new time 8.48pm, 8.25pm - new time 9pm, 8.50pm - cancelled. Told to go to pick up luggage and get further instructions. 9.15pm - in line at ticketing and told we will get hotel vouchers and meal vouchers 9.40pm - still waiting in line and told there will be no paid hotels 10pm - given boarding pass for 9am flight on July 29th so arrive at 6am. Arrived at hotel at our expense $175 US and cab $20 US at 10.30pm, July 29th - 5.30am - shuttle to airport 5.30am - new time via email 10.30am. Summary: We were given the run around on July 28th when it was, in all likihood, known the flight would be cancelled. Then told at 5.30am that we didn’t need to be at the airport until 7.45am. Very poor planning. Absolutely no consideration for passengers. Will not fly WestJet Airlines again!",Couple Leisure,2.0,nan
nan,Economy Class,2.0,July 2018,1.0,1.0,1.0,no,Vancouver to San Francisco,2.0," |  Vancouver to San Francisco. Several online reviews advised to avoid WestJet If you ever want to see my bags again. I should have heeded the warning, as I arrived in San Francisco while my bags stayed in Vancouver. The baggage attendant waited at the counter as passengers watched the empty belt go around, even though he was fully aware they wouldn't appear. Why not tell us? Then, a lengthy process to complete paperwork yielded vague promises that we'd get our bags 'on the next flight out'. That turned out to be the next evening, and when I called I was told I would get the bag between 5 pm and 11 pm, or the next day'. Oh, and the ""100 dollar Incidental Expense' they wrote on the paper they issue? Forget about ever seeing it, as it only covers expenses documented by an itemized receipt (Of course they don't tell you this when they promise it). The entire WestJet experience was horrible and I'll never fly this airline again.",Business,3.0,1.0
nan,Economy Class,5.0,July 2018,5.0,5.0,5.0,yes,Mexico City to Vancouver,5.0," |  Mexico City to Vancouver. I had an amazing trip with westjet. From the 1st minute of check in Lucero the agent was so helpful, friendly and kind. I was so impressed with the efficiency and care she and her colleagues gave me. On the plane then I was served by the lead flight attendant who was very professional and helpful too.",Solo Leisure,5.0,5.0
Boeing 737-700,Economy Class,4.0,July 2018,3.0,5.0,4.0,yes,Toronto to Edmonton,3.0," |  I had an amazing service by WestJet when I flew from Toronto to Edmonton. I arrived at my gate only to see that the previous flight hadn’t left yet. Our flight was delayed 1h15 mine but that was because of the weather. I also have food allergies and I went to the gate agent to tell them and they where super accommodating. They told me u could pre board and made in an announcement at the gate and in the plane. The plane was clean, I had a moderate amount of leg room and we where offered free drinks twice during the flight. None of which contained nut products. What also good is that each seat had universal power plug. And if you download the WestJet app you can connect to the wifi and watch movies in their map.",Family Leisure,5.0,3.0
nan,Economy Class,3.0,July 2018,2.0,1.0,1.0,no,Toronto to New York,2.0," |  Toronto to New York. This was our first trip using WestJet and were looking forward to our vacation to Canada. On the way there, our flight was delayed, without warning until the morning of our flight, which was a severe inconvenience, due to the fact that we were already en route to the airport when we were notified early in the morning, the same day. Additionally, an extra layover trip was added to our itinerary, ruining our entire first day of vacation. This was such a serious lack of consideration, especially due to the fact that I am pregnant and with lower back pain. On top of all of that, our flight returning back home was cancelled. We must now wait over 24 hours for the next flight and no one is willing to help with a hotel. I have never had a more awful experience. If they cared at all about their customers or their reputation, they would do something to rectify this and right their wrongs. I will never fly this airline again.",Family Leisure,1.0,2.0
nan,Economy Class,5.0,July 2018,3.0,1.0,3.0,no,Terrace to Vancouver,3.0," |  Terrace to Vancouver. Most of the staff were quite pleasant and helpful. However, one attendant was extremely rude to me, and the 3 customers before me, upon check in. I feel like the one important thing missing in her customer service training skills is the concept of “its not what you say, it’s how you say it.”  Tone and non verbal communication is everything!",Family Leisure,3.0,4.0
nan,Economy Class,5.0,December 2017,4.0,5.0,nan,yes,Calgary to Kelowna,4.0," |  Overall a great experience with Westjet. I flew from Calgary to Kelowna in December 2017 and had no issues whatsoever. The plane was small and older but did the job just like any other would. The staff were very professional and they treat you like family. The pilots also display a professional attitude by greeting you on and off the plane with greeting words and even shaking your hand. I've flown many times with Westjet and they are my no 1 pick for an airline. My only hiccup I had with Westjet was on a flight from Winnipeg to London UK when we were diverted to Montreal, sat on the tarmac for 3 hours in the middle of the night and given nothing as a compensation which I didn't like. Normally, if there is a delay, a discount on a future flight and/or or free meal would have been nice but we received nothing except a small apology. Other than that, I have had no problems flying with Westjet. Prices are fairly competitive and they have lots of seat sales during the year. A word of advice to anyone who flies on a standby buddy pass, try to use it to go to a destination that has daily multiple flights out if it and back such as Calgary to Toronto or Calgary to Vancouver as you are a low priority over guests flying that paid the regular fare. I would advise on not using a standby buddy pass on a flight with lots of layovers or a one flight a day in and out destination as there's a high chance the plane will be full and you'll likely be out of luck or stuck at a stopover location a lot longer than you originally planned. I would pay the regular fare to have high priority in that situation. That's my advice.",Solo Leisure,4.0,nan
nan,Economy Class,1.0,July 2018,1.0,1.0,nan,no,Toronto to Montreal,1.0," |  Toronto to Montreal. I almost always use Air Canada to fly Montreal Toronto round trip, but occasionally I am forced to book on Westjet if it's a last minute booking. Almost every time, they cancel the flight at the last minute. This happened again today; at 2pm they emailed me that my 5pm flight was cancelled and I would be changed to the 8pm. They say it is out of their control, that air traffic control decided that there were too many flights for the number of runways (suddenly!) and that they had to cancel the flight. The Westjet gate for flights to Montreal is literally as far as possible from the main terminal (it is the last gate, about 1 km from the terminal) and once they cancel your flight you have to walk all the way back to the terminal to get customer ""service"", even if you use the internet to agree to the flight change. They can't email you the boarding pass? Nope. Then another kilometre back to the gate. To pass the 3 hours in this hinterland at the end of the airport they have a few vending machines and a tiny Tim Hortons. Forget getting a proper meal or a glass of wine. Westjet is the worst. Because being changed to the 8pm flight made it so that it would have been faster for me to drive from destination than to fly, there was nothing good about it. Re: the food, small Made Good balls of granola, better than AC's pretzels.",Solo Leisure,1.0,nan
nan,Economy Class,4.0,May 2018,1.0,3.0,1.0,no,Toronto to Montego Bay,3.0," |  Toronto to Montego Bay. I have faithfully flown with WestJet for over 20 years. I take at least 10 flights a year on this airline. It has gotten consistently worse for the past 5 years. The onboard services are non-existent even in premium economy. There are no tablets or other in-flight entertainment services. You have to bring your own device and pray that it might work on their low-tech system, otherwise you will sit for the entire duration of the flight with no entertainment options. The food is simply atrocious in spite of the fact that you have to pay top dollar for it. The only good thing is that the cabin crew are reasonably friendly. It is a shame that was once a good airline is now a pitiful joke.",Couple Leisure,1.0,1.0
